paper_id,pmid,year,title,abstract_excerpt,matched_pis,matched_centers,viruses,pathogens,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,final_corpus_decision,final_corpus_reason,review_status,notes
pmid-42486102,42486102,2026,HIT-MAP: A scalable approach to multimodal mapping of subcellular organization.,"Multimodal mapping of subcellular protein organization through imaging and interaction proteomics has been mostly confined to large consortia, owing to high per-target costs, reliance on target-specific antibodies or libraries of epitope-tagged cDNAs, and the lack of unified p...",Nevan Krogan;Trey Ideker,HPMI,influenza,,proteomics;network_modeling,data_or_analysis,candidate,relevant viral/host/pathway terms matched: interaction,high,recent paper with relevant terms: proteomics,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42476231,42476231,2026,Orchestration of OXPHOS biogenesis through regulation of mitochondrial translation.,"Mitochondrial gene expression is a remnant of the endosymbiotic origin of the organelle, which contains a complete gene expression system that contributes only a handful of subunits to the complexes driving oxidative phosphorylation (OXPHOS). During evolution, many processes o...",Melanie Ott,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42473002,42473002,2026,High Q-factor multiband terahertz metasurface biosensor for biomedical refractive index sensing: a numerical study.,Terahertz (THz) metasurface absorbers have emerged as promising platforms for biomedical sensing due to their high-quality (Q) resonances and strong sensitivity to dielectric variations in biological tissues. Conventional single-band designs are effective only over a narrow fr...,Andrej Sali,HPMI,influenza,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42471513,42471513,2026,"A Pyrimidine-Based Schiff Base Fluorescent Chemosensor for Selective Detection of Mg²⁺: Synthesis, Real Water Analysis, Antibacterial, DFT and Molecular Docking Study.","A new Schiff-base fluorescent probe namely methyl 2-(((2-hydroxypyridin-3-yl) methylene) amino) pyrimidine-5-carboxylate (HL) has been designed and synthesized. Structural characterization of the purely synthesized compound was acquired by IR spectroscopy, 1H NMR, 13C NMR and...",Sumit Chanda,SYBIL,influenza,staphylococcus_aureus,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42465941,42465941,2026,Post-vaccination expansion of extrafollicular Th10 and regulatory Tfr cells distinguishes strong from weak influenza vaccine responses in older adults.,"Despite the superior efficacy of high-dose influenza vaccines, over one-third of older adults fail to respond. Yet, the mechanisms underlying this impaired vaccine responsiveness remain poorly understood. Here, we performed longitudinal profiling of older adults (n=60) receivi...",Adolfo Garcia-Sastre,SYBIL,influenza,,,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,watch,infectious-disease paper but mechanism signal is still weak: influenza,pending,
pmid-42465423,42465423,2026,Single-molecule m(6)A profiling reveals position-dependent mRNA regulation and non-canonical roles for Ythdf2 in early embryogenesis.,"The maternal-to-zygotic transition (MZT) requires coordinated clearance and deadenylation of maternally deposited mRNAs, yet the underlying molecular mechanisms remain poorly understood. N6-methyladenosine (m6A) has emerged as a key regulator of maternal mRNA fate, but prior s...",Rafael Medina,SYBIL,,,transcriptomics,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42462020,42462020,2026,Dendritic cells control tertiary lymphoid structure development and maintenance in cancer.,"Tertiary lymphoid structures (TLSs) are associated with immunotherapy response, yet the mechanisms controlling their formation and maintenance remain unclear. Using spatial transcriptomics and multiplex imaging across human tumors, we found that CCR7+ mature dendritic cells (D...",Michael Schotsaert,SYBIL,,,transcriptomics,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42458163,42458163,2026,Minimally Invasive Spinal Interventions for Back and Neck Pain in the Pediatric Population: a Systematic Review.,"OBJECTIVE: To evaluate the effectiveness and safety of spinal interventions for pediatric patients with chronic back and neck pain who failed conservative management. DESIGN: Systematic review. METHODS: Following PRISMA 2020 guidelines, a comprehensive search of PubMed, Embase...",Rafael Medina,SYBIL,,,,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42456075,42456075,2026,Peripheral Nerve Stimulation of the Phrenic Nerve for Intractable Hiccups: A Novel use Case Series.,"BACKGROUND: Intractable hiccups are defined as hiccups that persist for more than one month. Although rare, they are often refractory to conventional therapies and can significantly impair quality of life. CASE REPORT: Our case series describes the use of phrenic nerve periphe...",Rafael Medina,SYBIL,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42454370,42454370,2026,A potential RNA-RNA distal interaction competing with a functional pseudoknot in the 3'-untranslated region of SARS-like coronaviruses.,"In the 3' untranslated region of betacoronaviruses, a pseudoknot involving stem-loop 3SL2 has been proposed to form a binding site for the viral RNA polymerase enabling the initiation of negative-sense RNA synthesis during the processes of virus replication and discontinuous t...",Adolfo Garcia-Sastre,SYBIL,sars-cov-2;sars-cov;coronavirus,,,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral, interaction",high,"recent paper with relevant terms: virus, viral",include,"viral context plus mechanism/resource terms: virus, viral, sars, interaction",pending,
pmid-42450156,42450156,2026,"Epigenetic Functions of SMYD5 and Its Role in Development, Cancer and Other Cellular Processes.","The lysine methyltransferase SMYD5 is an important regulator of development and has been implicated in multiple malignancies, such as heart disease, lung and gastric cancers, breast and hepatocellular carcinomas, and inflammatory bowel disease. Further, SMYD5 has been linked t...",Melanie Ott,HPMI,hiv,,,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,watch,infectious-disease paper but mechanism signal is still weak: hiv,pending,
pmid-42442564,42442564,2026,A phylogenomic dive into giant genomes: unravelling the evolutionary history of Tmesipteris (Psilotales).,"Genomic gigantism is rare and reaches its extreme in fork ferns (genus Tmesipteris, Psilotaceae, Psilotales), whose unresolved systematics have obscured the roles of polyploidy, hybridization, and repetitive element dynamics in forming exceptionally large genomes. Here, we add...",Rafael Medina,SYBIL,,,network_modeling,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42435633,42435633,2026,An analysis of the readability of Gynecologic Cancer patient education materials.,OBJECTIVE: The National Institute of Health (NIH) and American Medical Association (AMA) recommend patient education material be written at or below a 7th grade reading level. The objective of this study was to assess the reading level of gynecologic cancer patient education m...,Sumit Chanda,SYBIL,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42432271,42432271,2026,Implementation of a prospective neurosurgical complication registry in routine clinical practice.,"BACKGROUND: Reliable and complete documentation is a prerequisite for quality improvement in neurosurgical care. To strengthen internal process monitoring and reduce variability in documentation practices, our department implemented a structured, web-based neurosurgical compli...",Alan Hauser,SCRIPT,,,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42420916,42420916,2026,Recurrence-free survival is prolonged in high-grade serous ovarian cancer with high PD-L1 expression.,BACKGROUND: High-grade serous ovarian carcinoma (HGSOC) is the most common and clinically aggressive epithelial ovarian cancer subtype and is frequently characterized by relapse despite standard treatment. The FIGO staging system guides treatment decisions and provides prognos...,Kristian Andersen,CViSB,,,,primary_research,candidate,relevant viral/host/pathway terms matched: pathway,high,recent paper with relevant terms: pathway,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42416259,42416259,2026,COVID-19 disrupted patterns of cause-specific mortality in Switzerland.,"OBJECTIVES: To understand disruptions in mortality patterns during the COVID-19 pandemic beyond deaths directly attributed to SARS-CoV-2. METHODS: We analysed Swiss weekly deaths (2011-2021) by age, sex, region, and nine cause groups. For each age group, a Bayesian multivariat...",Alan Hauser,SCRIPT,sars-cov-2;sars-cov,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,watch,infectious-disease paper but mechanism signal is still weak: sars,pending,
pmid-42409264,42409264,2026,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,Developing safe and effective treatments against emerging RNA viruses is an important goal in pandemic preparedness efforts. 4'-fluorouridine (4'-FlU) is a broad-spectrum antiviral that was shown to inhibit viral RNA-dependent RNA polymerases (RdRps). Given its notable range o...,Sumit Chanda,SYBIL,coronavirus;influenza,,,primary_research,high,explicit cross-virus/shared-host language: broad-spectrum,high,"recent paper with relevant terms: viral, host",include,explicit cross-virus or shared-host framing in title/abstract,pending,
pmid-42401593,42401593,2026,Muscle macrophage regenerative response after squalene-adjuvanted influenza vaccination is associated with type II-skewed response and is reduced with age.,"Squalene-based adjuvants like MF59 and AddaVax induce transient muscle injury, but their downstream mechanisms remain unclear. We show that intramuscular injection of a quadrivalent inactivated influenza vaccine (QIV) with AddaVax triggers a muscle regenerative-like immune res...",Michael Schotsaert,SYBIL,influenza,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,watch,"infectious-disease paper but mechanism signal is still weak: viral, influenza",pending,
pmid-42400144,42400144,2026,Danish validation of the Alcohol Use Disorder Identification Test (AUDIT).,AIM: To assess the diagnostic accuracy and optimal cut-off scores of the Alcohol Use Disorder Identification Test (AUDIT) and AUDIT-Consumption (AUDIT-C) in a Danish general population. METHODS: Questionnaire-based cross-sectional study. Data collection from 26 September to 29...,Kristian Andersen,CViSB,,,network_modeling,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42386990,42386990,2026,A genome-scale CRISPRi perturbation atlas of human induced pluripotent stem cells.,"Comprehensively mapping the relationship between genotype and phenotype offers essential insights into how a cell's state arises from its genetic components. Toward this goal, we generated an expressed genome-scale CRISPRi perturbation cell atlas in KOLF2.1J human induced plur...",Nevan Krogan;Trey Ideker,HPMI,influenza,,crispr_screen;transcriptomics;network_modeling,data_or_analysis,candidate,relevant viral/host/pathway terms matched: interaction,high,recent paper with relevant terms: screen,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42386782,42386782,2026,Mapping SARS-CoV-2 immunity after an XBB.1.5 booster by antigenic cartography of merged human and hamster sera.,"The ongoing evolution of SARS-CoV-2, particularly the emergence and rapid spread of new immune-evasive variants, continues to challenge the durability of vaccine-induced protection. Understanding how repeated variant exposures shape neutralizing antibody breadth is therefore e...",Michael Schotsaert,SYBIL,sars-cov-2;sars-cov,,network_modeling,data_or_analysis,candidate,relevant viral/host/pathway terms matched: infection,low,no strong backlog-priority keywords matched,watch,infectious-disease paper but mechanism signal is still weak: sars,pending,
pmid-42384743,42384743,2026,Artificial Intelligence for Discovery in Life Sciences.,"Artificial intelligence is becoming a transformative tool in life sciences, not just by improving the results of existing technologies but also by introducing fundamental new ways of discovery. Initially applied to denoising, segmentation, or pattern recognition, it now extend...",Sumit Chanda,SYBIL,influenza,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42378814,42378814,2026,Phase 1 trial of intranasal NDV-HXP-S in previously vaccinated adults.,BACKGROUND: Newcastle disease virus hexapro spike (NDV-HXP-S) is a recombinant vaccine designed to elicit both systemic and mucosal immunity against SARS-CoV-2. Intramuscular vaccines protect against severe disease but provide limited mucosal protection. We conducted a Phase 1...,Adolfo Garcia-Sastre,SYBIL,sars-cov-2;sars-cov,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,high,recent paper with relevant terms: virus,watch,"infectious-disease paper but mechanism signal is still weak: virus, sars",pending,
pmid-42378517,42378517,2026,How vaccine research took me on an international journey.,,Michael Schotsaert,SYBIL,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42377255,42377255,2026,Lineage dynamics and risk factors underlying serotype 4 invasive pneumococcal disease in Spain.,BACKGROUND: The emergence of vaccine-covered serotypes causing invasive pneumococcal disease (IPD) is a serious concern worldwide. METHODS: We characterized all national serotype 4 IPD isolates from children and adults received at the Spanish Pneumococcal Reference Laboratory...,Adolfo Garcia-Sastre;Michael Schotsaert,SYBIL,sars-cov-2;influenza,,,primary_research,candidate,relevant viral/host/pathway terms matched: infection,low,no strong backlog-priority keywords matched,watch,infectious-disease paper but mechanism signal is still weak: influenza,pending,
pmid-42367836,42367836,2026,"Ubiquitin Chloromethylketone Probe Enables Activity-based, Selective Protein Profiling of E2 Ubiquitin Conjugating Enzymes.","Ubiquitin (Ub) conjugating enzymes (E2s) are central to Ub signaling, yet their systematic activity-based profiling remains challenging due to the weak nucleophilicity and elevated pKa of their catalytic cysteines. Existing Ub probes primarily target deubiquitinases (DUBs) and...",Sumit Chanda,SYBIL,,,proteomics,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,high,recent paper with relevant terms: proteomics,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42359563,42359563,2026,Watch Me Play!: results of a feasibility study of a remotely delivered intervention to promote mental health resilience for children (age 0-8 years) across UK early years and children's services.,"BACKGROUND: Mental health problems among children in England are rising, with significant wait times and barriers preventing many from accessing timely support. Watch Me Play! (WMP) is a caregiver-child interaction intervention designed to enhance child development and promote...",Ryan McNamara,CViSB,,,,methods,candidate,relevant viral/host/pathway terms matched: interaction,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42335442,42335442,2026,Prognostic Biomarker Signature of Relapse in Neuromyelitis Optica Spectrum Disorders in the CIRCLES Observational Study.,"BACKGROUND AND OBJECTIVES: Neuromyelitis optica spectrum disorders (NMOSDs) comprise rare autoimmune diseases of the CNS in which disabilities accrue with relapses. The ability to predict and prevent relapses could dramatically improve clinical outcomes, potentially reducing m...",Michael Yeaman,UCLA-Persistent-BSI,,,proteomics;network_modeling,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42327335,42327335,2026,Secreted ORF8 reprograms macrophages to enhance SARS-CoV-2 infection of lung epithelial cells.,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) primarily targets the respiratory epithelium, yet severe disease features diffuse lung injury and hyperinflammatory syndromes driven by dysregulated immune activation. Emerging evidence indicates that resident and in...",Melanie Ott,HPMI,sars-cov-2;sars-cov;coronavirus,,,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral",watch,"infectious-disease paper but mechanism signal is still weak: virus, viral, coronavirus, sars",pending,
pmid-42309287,42309287,2026,Impaired glycoRNA biogenesis in metabolic-dysfunction associated steatotic liver disease.,"BACKGROUND & AIMS: Glycosylated proteins and lipids regulate multiple cellular processes and play key roles in organ damage and regeneration. Recently, glycosylated non-coding small RNAs (glycoRNA) have been identified, however, their expression in the liver and their involvem...",Melanie Ott,HPMI,,,,data_or_analysis,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,watch,infectious-disease paper but mechanism signal is still weak: viral,pending,
pmid-42286248,42286248,2026,Harmonization and integration of pharmacogenomics screens.,"MOTIVATION: Large pharmacogenomics screens have generated a wealth of information cataloguing the responses of more than a thousand tumor cell-line models to FDA-approved and exploratory drugs. Although centralized repositories have consolidated data access, the diversity of e...",Trey Ideker,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42282583,42282583,2026,Thousandfold Expansion Microscopy.,"Biological macromolecules, such as proteins, are made of concatenated building blocks. We hypothesized that individual protein residues could be imaged by anchoring their side chains to a swellable polymer, cleaving backbone amide bonds, and expanding residues away from each o...",Sumit Chanda,SYBIL,,,network_modeling,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42282014,42282014,2026,A proteogenomic RNA processing mechanism drives sex differences in meningioma.,"Meningiomas are the most common primary intracranial tumors and the only brain tumors that are more common in females compared with males1. Progestin hormonal therapies increase the risk of meningioma, and progestin-induced or pregnancy-associated meningiomas can regress as se...",Nevan Krogan;Danielle Swaney,HPMI,,,proteomics;network_modeling,data_or_analysis,candidate,relevant viral/host/pathway terms matched: interaction,high,recent paper with relevant terms: proteomics,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42277855,42277855,2026,Stigmatism among physicians and nurses towards patients with alcohol use disorder: a systematic review.,"BACKGROUND AND AIMS: Alcohol use disorder (AUD) is a common and debilitating condition in Western countries. AUD is often stigmatized, which can worsen the condition and be a barrier for treatment seeking. This is a systematic review that aimed to identify and analyze stigmati...",Kristian Andersen,CViSB,,,network_modeling,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42274369,42274369,2026,"Price Burden, Psychological Wear-Out and Quit Behaviour: A Structural Analysis of Cigarette Consumption and Cessation Among Smokers in India.","BACKGROUND: Tobacco taxation is often described as the single most effective lever for reducing smoking, yet evidence from low- and middle-income settings suggests smokers may adapt rather than quit when prices rise. OBJECTIVE: To examine how price sensitivity awareness (PSA),...",Sumit Chanda,SYBIL,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42273960,42273960,2026,Sodium Bicarbonate for In-Hospital Cardiac Arrest: A Randomized Clinical Trial.,"IMPORTANCE: Patients with in-hospital cardiac arrest have poor outcomes. Sodium bicarbonate is commonly administered during cardiac arrest, but the effects on clinical outcomes are unknown. OBJECTIVE: To determine whether administration of sodium bicarbonate during in-hospital...",Kristian Andersen,CViSB,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42269836,42269836,2026,In vivo base editing alleviates hepatic iron accumulation and fibrosis in models of HFE-related hereditary hemochromatosis.,"BACKGROUND & AIMS: HFE-related hereditary hemochromatosis is caused by loss-of-function mutations in the HFE gene, leading to excessive intestinal iron absorption and hepatic deposition. The C282Y variant in homozygosity accounts for 80-90% of diagnosed cases. If untreated, ir...",Melanie Ott,HPMI,,,transcriptomics;network_modeling,data_or_analysis,candidate,relevant viral/host/pathway terms matched: viral,high,recent paper with relevant terms: viral,watch,infectious-disease paper but mechanism signal is still weak: viral,pending,
pmid-42253816,42253816,2026,Cardiopulmonary resuscitation in donation after brain death donors aged ≥65 years: impact on outcomes after kidney transplantation - a multi-center study.,"A history of cardiopulmonary resuscitation (CPR) is common in donation after brain death (DBD) donors. While good outcomes have been demonstrated for kidney transplantation (KT) from younger CPR donors (aged typically 18-50 years), it is unclear whether this is true for the gr...",Melanie Ott,HPMI,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42253285,42253285,2026,Spinal Implant-Associated Infection in Type 2 and Type 1 Diabetes: Phenotype-Specific Inflammatory Features and Therapeutic Response to Semaglutide.,"BACKGROUND: Diabetes mellitus (DM) is a major risk factor for postoperative infection and wound complications in spine surgery, yet distinctions between Type 2 (T2DM) and Type 1 (T1DM) pathophysiology are rarely addressed. This study compares infectious burden, wound healing,...",Michael Yeaman,UCLA-Persistent-BSI,influenza,staphylococcus_aureus,,data_or_analysis,candidate,relevant viral/host/pathway terms matched: infection,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42252026,42252026,2026,Myeloid-avid mammalian target of rapamycin-inhibiting nanobiologic attenuates allograft fibrosis after lung transplantation.,"Chronic lung allograft dysfunction (CLAD) is characterized by fibrotic graft remodeling and limits long-term survival after pulmonary transplantation. Despite clinical evidence that myeloid cells drive conditions that increase the risk of CLAD development, contemporary immunos...",Michael Schotsaert,SYBIL,,,transcriptomics;network_modeling,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong backlog-priority keywords matched,exclude,no clear viral host-mechanism or cross-virus signal in title/abstract,pending,
pmid-42251067,42251067,2026,Rapid development and field evaluation of a portable CRISPR-based assay for Mpox during the 2025 Sierra Leone outbreak.,"The large 2025 Mpox clade IIb outbreak in Sierra Leone underscores the urgent need for portable, low-cost diagnostics in decentralized settings. While CRISPR-based assays offer high sensitivity and flexibility, their deployment during active outbreaks remains limited. Here we...",Donald S Grant,CViSB,influenza,,crispr_screen,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, crispr",high,"recent paper with relevant terms: virus, crispr",watch,infectious-disease paper but mechanism signal is still weak: virus,pending,
