dataset_id,source_paper_id,repository,accession,title,assay_type,host_system,pathogen,reuse_value,status
pmid-30833725-pride-pxd011728,pmid-30833725,PRIDE,PXD011728,Identification of antiviral roles for the exon-junction complex and nonsense-mediated decay in flaviviral infection. [PRIDE PXD011728; AP-MS_interactome],AP-MS_interactome,mice,dengue;zika;flavivirus_general,high,candidate
pmid-32353859-pride-pxd018117,pmid-32353859,PRIDE,PXD018117,A SARS-CoV-2 protein interaction map reveals targets for drug repurposing. [PRIDE PXD018117; AP-MS_interactome],AP-MS_interactome,HEK293T_cells;Vero_E6_cells;human_lung_tissue,sars_cov_2;coronavirus_general,high,candidate
pmid-32511329-pride-pxd018117,pmid-32511329,PRIDE,PXD018117,A SARS-CoV-2-Human Protein-Protein Interaction Map Reveals Drug Targets and Potential Drug-Repurposing. [PRIDE PXD018117; AP-MS_interactome],AP-MS_interactome,HEK293T_cells;human_lung_tissue;bat_cells_or_hosts,sars_cov_2;coronavirus_general,high,candidate
pmid-32645325-pride-pxd019113,pmid-32645325,PRIDE,PXD019113,The Global Phosphorylation Landscape of SARS-CoV-2 Infection. [PRIDE PXD019113; proteomics],proteomics,A549_cells;Calu-3_cells;HEK293T_cells,sars_cov_2;coronavirus_general,high,candidate
pmid-33060197-pride-pxd021588,pmid-33060197,PRIDE,PXD021588,Comparative host-coronavirus protein interaction networks reveal pan-viral disease mechanisms. [PRIDE PXD021588; AP-MS_interactome],AP-MS_interactome,A549_cells;HEK293T_cells;Vero_E6_cells,sars_cov_2;sars_cov_1;mers_cov,high,candidate
pmid-35337019-pride-pxd029207,pmid-35337019,PRIDE,PXD029207,A BioID-Derived Proximity Interactome for SARS-CoV-2 Proteins. [PRIDE PXD029207; proximity_labeling],proximity_labeling,A549_cells;human_lung_tissue;mice,sars_cov_2;coronavirus_general,high,candidate
pmid-35291294-pride-pxd031611,pmid-35291294,PRIDE,PXD031611,Low expression of EXOSC2 protects against clinical COVID-19 and impedes SARS-CoV-2 replication. [PRIDE PXD031611; proteomics],proteomics,Calu-3_cells;HEK293T_cells;Vero_E6_cells,sars_cov_2,high,candidate
pmid-41646792-pride-pxd051341,pmid-41646792,PRIDE,PXD051341,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies. [PRIDE PXD051341; proteomics],proteomics,PBMCs;macrophages;human_lung_tissue,sars_cov_2,high,candidate
pmid-42258748-pride-pxd051341,pmid-42258748,PRIDE,PXD051341,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies. [PRIDE PXD051341; proteomics],proteomics,PBMCs;macrophages;human_lung_tissue,sars_cov_2,high,candidate
pmid-41646792-pride-pxd051948,pmid-41646792,PRIDE,PXD051948,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies. [PRIDE PXD051948; proteomics],proteomics,PBMCs;macrophages;human_lung_tissue,sars_cov_2,high,candidate
pmid-42258748-pride-pxd051948,pmid-42258748,PRIDE,PXD051948,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies. [PRIDE PXD051948; proteomics],proteomics,PBMCs;macrophages;human_lung_tissue,sars_cov_2,high,candidate
pmid-41646792-pride-pxd051982,pmid-41646792,PRIDE,PXD051982,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies. [PRIDE PXD051982; proteomics],proteomics,PBMCs;macrophages;human_lung_tissue,sars_cov_2,high,candidate
pmid-42258748-pride-pxd051982,pmid-42258748,PRIDE,PXD051982,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies. [PRIDE PXD051982; proteomics],proteomics,PBMCs;macrophages;human_lung_tissue,sars_cov_2,high,candidate
pmid-42134328-pride-pxd065873,pmid-42134328,PRIDE,PXD065873,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential. [PRIDE PXD065873; AP-MS_interactome],AP-MS_interactome,HEK293T_cells;Vero_E6_cells;human_lung_tissue,sars_cov_2;coronavirus_general,high,candidate
pmid-42013838-pride-pxd071892,pmid-42013838,PRIDE,PXD071892,Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T cells. [PRIDE PXD071892; proteomics],proteomics,HEK293T_cells;primary_CD4_T_cells;PBMCs,hiv,high,candidate
pmid-33060197-sra-srp0675,pmid-33060197,SRA,SRP0675,Comparative host-coronavirus protein interaction networks reveal pan-viral disease mechanisms. [SRA SRP0675; AP-MS_interactome],AP-MS_interactome,A549_cells;HEK293T_cells;Vero_E6_cells,sars_cov_2;sars_cov_1;mers_cov,high,candidate
pmid-33654293-single_cell_portal-scp1257,pmid-33654293,Single_Cell_Portal,SCP1257,Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics. [Single_Cell_Portal SCP1257; transcriptomics],transcriptomics,PBMCs;macrophages;human_lung_tissue,sars_cov_2,high,candidate
