paper_id,pmid,source_collection,year,title,center,pi_candidates,decision_reason,parse_status,body_word_count
pmid-36197970,36197970,pi-backlog,2022,"Common and species-specific molecular signatures, networks, and regulators of influenza virus infection in mice, ferrets, and humans.",SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host factor, pathway",normalized,10803
pmid-42150007,42150007,pi-backlog,2026,Self-Dimerization Induced Proximity Targeting Chimeras (SDIPTAC) Lead to DCAF1 Loss of Function and Inhibition of HIV Replication.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, interaction, replication",cached_normalized,10668
pmid-30550790,30550790,hpmi,2018,Comparative Flavivirus-Host Protein Interaction Mapping Reveals Mechanisms of Dengue and Zika Virus Pathogenesis.,HPMI,,"explicit cross-virus/shared-host full-text language: cross-virus, cross virus",normalized,10594
pmid-36095012,36095012,pi-backlog,2022,SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, interaction",normalized,10282
pmid-40339581,40339581,current-program,2025,The recency and geographical origins of the bat viruses ancestral to SARS-CoV and SARS-CoV-2.,,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",cached_normalized,10180
pmid-33464917,33464917,hpmi,2021,Proteomic Approaches to Study SARS-CoV-2 Biology and COVID-19 Pathology.,HPMI,,"virus-focused title/abstract plus weaker cross-virus framing in body: species barriers, coronavirus, sars-cov-2, sars, covid-19, pathway",normalized,10019
pmid-36519174,36519174,pi-backlog,2022,Interaction between chicken TRIM25 and MDA5 and their role in mediated antiviral activity against IBDV infection.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: virus, viral, pathway, interaction, replication",normalized,9834
pmid-33654293,33654293,current-program,2021,Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics.,,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, viral, sars-cov-2, sars",normalized,9516
pmid-35018374,35018374,pi-backlog,2022,SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, interaction",normalized,9503
pmid-32084337,32084337,hpmi,2020,A Quantitative Genetic Interaction Map of HIV Infection.,HPMI,,explicit cross-virus/shared-host full-text language: pan-viral,normalized,9493
pmid-31253590,31253590,hpmi,2019,ARIH2 Is a Vif-Dependent Regulator of CUL5-Mediated APOBEC3G Degradation in HIV Infection.,HPMI,,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, proteomics, restriction factor",normalized,9434
pmid-34942634,34942634,hpmi,2022,Evolution of enhanced innate immune evasion by SARS-CoV-2.,HPMI,,"virus-focused title/abstract plus weaker cross-virus framing in body: host adaptation, sars-cov-2, sars, interaction, proteomics, immune evasion",normalized,9363
pmid-41091914,41091914,current-program,2025,An intramuscular prime and mucosal boost vaccine regimen protects against lethal clade 2.3.4.4b H5N1 challenge in cynomolgus macaques.,CViSB,Kristian Andersen;Ryan McNamara,"viral context plus mechanism-rich title/abstract: influenza, h5n1, virus, viral, influenza, replication",cached_normalized,9281
pmid-34556855,34556855,hpmi,2021,Restriction factor compendium for influenza A virus reveals a mechanism for evasion of autophagy.,HPMI,,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, influenza, interaction, proteomics, transcriptomics, screen",normalized,8919
pmid-34986351,34986351,current-program,2022,Ebola virus delta peptide is an enterotoxin.,CViSB,Robert Garry,"viral context plus mechanism-rich title/abstract: ebola, virus, ebola, pathway, pathways",normalized,8781
pmid-35632848,35632848,pi-backlog,2022,"Type I and Type II Interferon Antagonism Strategies Used by Paramyxoviridae: Previous and New Discoveries, in Comparison.",SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: virus, viral, pathway, replication",normalized,8710
pmid-42258748,42258748,current-program,2026,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,CViSB,Donald S Grant;Richard Wunderink,"viral context plus mechanism-rich title/abstract: influenza, sars-cov-2, sars, covid-19, viral, influenza",cached_normalized,8699
pmid-30550789,30550789,hpmi,2018,Protein Interaction Mapping Identifies RBBP6 as a Negative Regulator of Ebola Virus Replication.,HPMI,,"viral context plus mechanism-rich title/abstract: ebola, virus, viral, ebola, pathway, pathways",normalized,8659
pmid-33333024,33333024,hpmi,2021,Genetic Screens Identify Host Factors for SARS-CoV-2 and Common Cold Coronaviruses.,HPMI,,explicit cross-virus/shared-host full-text language: multiple viruses,normalized,8573
pmid-39645657,39645657,current-program,2024,"Vimentin modulates regulatory T cell receptor-ligand interactions at distal pole complex, leading to dysregulated host response to viral pneumonia.",,,"viral context plus mechanism-rich title/abstract: influenza, viral, influenza, host response, interaction, interactions",cached_normalized,8562
pmid-41654489,41654489,pi-backlog,2026,Prenatal and postnatal effects of gestational immune activation on synaptic and neurodevelopmental pathways via epigenetic mechanisms.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, h1n1, virus, influenza, pathway, pathways",cached_normalized,8551
pmid-41917196,41917196,pi-backlog,2026,Programmable kinetic barcoding for multiplexed RNA detection with Cas13a.,HPMI,Melanie Ott,explicit cross-virus/shared-host full-text language: multiple viruses,cached_normalized,8519
pmid-21483486,21483486,pi-backlog,2011,Dissection of the influenza A virus endocytic routes reveals macropinocytosis as an alternative entry pathway.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, pathway, pathways",normalized,8443
pmid-34937051,34937051,current-program,2022,Local and systemic responses to SARS-CoV-2 infection in children and adults.,SCRIPT,Richard Wunderink,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, viral, sars-cov-2, sars",normalized,8342
pmid-32287326,32287326,pi-backlog,2020,Characterizing Emerging Canine H3 Influenza Viruses.,SYBIL,Adolfo Garcia-Sastre,"virus-focused title/abstract plus weaker cross-virus framing in body: species barriers, influenza, network",normalized,8336
pmid-39868236,39868236,current-program,2025,Tissue-resident skeletal muscle macrophages promote recovery from viral pneumonia-induced sarcopenia in normal aging.,CViSB,Donald S Grant,"viral context plus mechanism-rich title/abstract: influenza, covid-19, viral, influenza, covid-19, interaction",cached_normalized,8316
pmid-41384839,41384839,current-program,2026,Maternal proteome profiling reveals dynamic gestational age-specific responses to de novo vaccination.,,,"viral context plus mechanism-rich title/abstract: coronavirus, covid-19, virus, coronavirus, covid-19, pathway",cached_normalized,8245
pmid-31375585,31375585,pi-backlog,2019,Innate Immune Response to Influenza Virus at Single-Cell Resolution in Human Epithelial Cells Revealed Paracrine Induction of Interferon Lambda 1.,SYBIL,Adolfo Garcia-Sastre,explicit cross-virus/shared-host full-text language: multiple viruses,normalized,8184
pmid-41554267,41554267,pi-backlog,2026,"ALG-000184 (pevifoscorvir sodium) monotherapy in participants with chronic HBV infection: a phase 1, multicentre, randomised, dose escalation trial.",SYBIL,Sumit Chanda,"viral context plus mechanism-rich title/abstract: hepatitis b virus, hbv, virus, viral, hepatitis b virus, hbv",cached_normalized,8133
pmid-33730579,33730579,pi-backlog,2021,A genome-wide CRISPR screen identifies UFMylation and TRAMP-like complexes as host factors required for hepatitis A virus infection.,HPMI,Melanie Ott,explicit cross-virus/shared-host full-text language: shared host,normalized,8099
pmid-37000623,37000623,current-program,2023,Fc-mediated pan-sarbecovirus protection after alphavirus vector vaccination.,CViSB,Ryan McNamara,explicit cross-virus/shared-host full-text language: cross-virus,normalized,8067
pmid-39464067,39464067,pi-backlog,2024,Identification and Targeting of Regulators of SARS-CoV-2-Host Interactions in the Airway Epithelium.,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",cached_normalized,8019
pmid-41646792,41646792,current-program,2026,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,SCRIPT,Richard Wunderink,"viral context plus mechanism-rich title/abstract: influenza, sars-cov-2, sars, covid-19, viral, influenza",cached_normalized,7965
pmid-35337019,35337019,hpmi,2022,A BioID-Derived Proximity Interactome for SARS-CoV-2 Proteins.,HPMI,,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, viral",normalized,7939
pmid-21075352,21075352,pi-backlog,2010,Mouse STAT2 restricts early dengue virus replication.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: dengue, virus, viral, dengue, pathway, replication",normalized,7849
pmid-39138384,39138384,current-program,2024,Distinctive evolution of alveolar T cell responses is associated with clinical outcomes in unvaccinated patients with SARS-CoV-2 pneumonia.,CViSB,Donald S Grant;Richard Wunderink,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, sars-cov-2, sars, pathway, pathways",cached_normalized,7840
pmid-38648902,38648902,pi-backlog,2024,The IRE1α-XBP1 arm of the unfolded protein response is a host factor activated in SARS-CoV-2 infection.,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, host factor",cached_normalized,7838
pmid-32023470,32023470,pi-backlog,2020,OTUB1 Is a Key Regulator of RIG-I-Dependent Immune Signaling and Is Targeted for Proteasomal Degradation by Influenza A NS1.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, pathways",normalized,7821
pmid-41034576,41034576,hpmi,2025,A miniature CRISPR-Cas10 enzyme confers immunity by inhibitory signalling.,HPMI,,"viral context plus mechanism-rich title/abstract: virus, viral, pathway, pathways, crispr, immune evasion",cached_normalized,7779
pmid-31921042,31921042,pi-backlog,2019,"Functional Characterization and Direct Comparison of Influenza A, B, C, and D NS1 Proteins in vitro and in vivo.",SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host factor, host factors",normalized,7688
pmid-34127972,34127972,hpmi,2021,Evolution of enhanced innate immune evasion by the SARS-CoV-2 B.1.1.7 UK variant.,HPMI,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, interaction",normalized,7650
pmid-39652575,39652575,pi-backlog,2025,HBV Remodels PP2A Complexes to Rewire Kinase Signaling in Hepatocellular Carcinoma.,HPMI,Trey Ideker,"viral context plus mechanism-rich title/abstract: hepatitis b virus, hbv, virus, hepatitis b virus, hbv, host factor",cached_normalized,7627
pmid-35325204,35325204,current-program,2022,Selection Analysis Identifies Clusters of Unusual Mutational Changes in Omicron Lineage BA.1 That Likely Impact Spike Function.,,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, sars-cov-2, sars, interaction",normalized,7605
pmid-20617177,20617177,pi-backlog,2010,Adaptation of hepatitis C virus to mouse CD81 permits infection of mouse cells in the absence of human entry factors.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: hcv, hepatitis c virus, virus, host factor, host factors, interaction",normalized,7533
pmid-42409264,42409264,pi-backlog,2026,Substrate and target selectivity of 4'-fluoroadenosine against viral and host polymerases.,SYBIL,Sumit Chanda,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, coronavirus, interaction, interactions",cached_normalized,7526
pmid-32415096,32415096,pi-backlog,2020,mRNA display with library of even-distribution reveals cellular interactors of influenza virus NS1.,SYBIL,Sumit Chanda,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, interaction, interactions, protein interaction",normalized,7514
pmid-32353859,32353859,hpmi,2020,A SARS-CoV-2 protein interaction map reveals targets for drug repurposing.,HPMI,,"explicit cross-virus/shared-host full-text language: multiple viruses, pan-viral",normalized,7488
pmid-32720752,32720752,current-program,2020,Impaired phagocytic function in CX3CR1(+) tissue-resident skeletal muscle macrophages prevents muscle recovery after influenza A virus-induced pneumonia in old mice.,,,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, pathway, pathways, macrophage",normalized,7362
pmid-35417684,35417684,hpmi,2022,Global post-translational modification profiling of HIV-1-infected cells reveals mechanisms of host cellular pathway remodeling.,HPMI,,"viral context plus mechanism-rich title/abstract: hiv, virus, hiv, pathway, pathways, proteomics",normalized,7334
pmid-34981043,34981043,current-program,2021,Context-specific emergence and growth of the SARS-CoV-2 Delta variant.,,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, virus, sars-cov-2, sars",normalized,7272
pmid-21852950,21852950,pi-backlog,2011,Differential contribution of PB1-F2 to the virulence of highly pathogenic H5N1 influenza A virus in mammalian and avian species.,SYBIL,Adolfo Garcia-Sastre,"virus-focused title/abstract plus weaker cross-virus framing in body: species barriers, influenza, h5n1, replication",normalized,7210
pmid-34981069,34981069,current-program,2021,Context-specific emergence and growth of the SARS-CoV-2 Delta variant.,,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, virus, sars-cov-2, sars",normalized,7175
pmid-34129317,34129317,pi-backlog,2021,Screening a Library of FDA-Approved and Bioactive Compounds for Antiviral Activity against SARS-CoV-2.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, viral",normalized,7102
pmid-32240278,32240278,pi-backlog,2020,Chemical intervention of influenza virus mRNA nuclear export.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, screen",normalized,7064
pmid-24586175,24586175,pi-backlog,2014,Human genome-wide RNAi screen identifies an essential role for inositol pyrophosphates in Type-I interferon response.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, screen",normalized,7030
pmid-38045338,38045338,hpmi,2023,Assembly reactions of SARS-CoV-2 nucleocapsid protein with nucleic acid.,HPMI,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, interaction",cached_normalized,7025
pmid-39580801,39580801,pi-backlog,2024,TRIM65 regulates innate immune signaling by enhancing K6-linked ubiquitination of IRF3 and its chromatin recruitment.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: viral, pathway, pathways, interaction",cached_normalized,6992
pmid-33429418,33429418,current-program,2021,Circuits between infected macrophages and T cells in SARS-CoV-2 pneumonia.,CViSB,Donald S Grant;Richard Wunderink,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, coronavirus",normalized,6985
pmid-29370303,29370303,pi-backlog,2018,MERS-CoV 4b protein interferes with the NF-κB-dependent innate immune response during infection.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: coronavirus, virus, viral, coronavirus, pathway, pathways",normalized,6857
pmid-38306481,38306481,pi-backlog,2024,Viral afterlife: SARS-CoV-2 as a reservoir of immunomimetic peptides that reassemble into proinflammatory supramolecular complexes.,UCLA-Persistent-BSI,Michael Yeaman,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, covid-19, virus, viral",cached_normalized,6836
pmid-41459948,41459948,pi-backlog,2026,Disease modulation by TIV vaccination during secondary pneumococcal infections in influenza-infected mice.,SYBIL,Michael Schotsaert,"viral context plus mechanism-rich title/abstract: influenza, h1n1, virus, viral, influenza, host response",cached_normalized,6825
pmid-39187718,39187718,hpmi,2024,Birth of protein folds and functions in the virome.,HPMI,,"viral context plus mechanism-rich title/abstract: virus, viral, interaction, interactions, immune evasion, replication",cached_normalized,6818
pmid-27783955,27783955,pi-backlog,2016,A Cas9 Ribonucleoprotein Platform for Functional Genetic Studies of HIV-Host Interactions in Primary Human T Cells.,HPMI,Jennifer Doudna,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, host factor, host factors, interaction",normalized,6695
pmid-38643200,38643200,current-program,2024,Deviations in RSV epidemiological patterns and population structures in the United States following the COVID-19 pandemic.,,,explicit cross-virus/shared-host full-text language: pan-viral,cached_normalized,6677
pmid-30209081,30209081,pi-backlog,2018,Multiple Routes to Oncogenesis Are Promoted by the Human Papillomavirus-Host Protein Network.,HPMI,Trey Ideker,"viral context plus mechanism-rich title/abstract: virus, viral, pathway, interaction, interactions, protein interaction",normalized,6676
pmid-35982664,35982664,hpmi,2022,NF-κB inhibitor alpha has a cross-variant role during SARS-CoV-2 infection in ACE2-overexpressing human airway organoids.,HPMI,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, replication",normalized,6548
pmid-39089348,39089348,pi-backlog,2024,Patient subtyping analysis of baseline multi-omic data reveals distinct pre-immune states associated with antibody response to seasonal influenza vaccination.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, influenza, proteomics, transcriptomics",cached_normalized,6420
pmid-23593007,23593007,pi-backlog,2013,Lipid droplet-binding protein TIP47 regulates hepatitis C Virus RNA replication through interaction with the viral NS5A protein.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: hcv, hepatitis c virus, virus, viral, interaction, screen",normalized,6370
pmid-34031651,34031651,hpmi,2021,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.",HPMI,,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",normalized,6361
pmid-34013269,34013269,hpmi,2021,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.",HPMI,,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",normalized,6361
pmid-34225493,34225493,pi-backlog,2021,Expression of the Ebola Virus VP24 Protein Compromises the Integrity of the Nuclear Envelope and Induces a Laminopathy-Like Cellular Phenotype.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: ebola, virus, viral, ebola, pathway, pathways",normalized,6327
pmid-38168164,38168164,current-program,2023,Altered RSV Epidemiology and Genetic Diversity Following the COVID-19 Pandemic.,,,explicit cross-virus/shared-host full-text language: pan-viral,cached_normalized,6304
pmid-35291294,35291294,pi-backlog,2022,Low expression of EXOSC2 protects against clinical COVID-19 and impedes SARS-CoV-2 replication.,HPMI,Nevan Krogan,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, virus, viral, sars-cov-2",normalized,6265
pmid-23825951,23825951,pi-backlog,2013,Cellular RNA binding proteins NS1-BP and hnRNP K regulate influenza A virus RNA splicing.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, proteomics, replication",normalized,6225
pmid-30833725,30833725,hpmi,2019,Identification of antiviral roles for the exon-junction complex and nonsense-mediated decay in flaviviral infection.,HPMI,,"viral context plus mechanism-rich title/abstract: dengue, zika, flavivirus, virus, viral, dengue",normalized,6196
pmid-29391557,29391557,pi-backlog,2018,SMARCA2-regulated host cell factors are required for MxA restriction of influenza A viruses.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, h5n1, virus, viral, influenza, screen",normalized,6172
pmid-31851929,31851929,pi-backlog,2019,Viral Fitness Landscapes in Diverse Host Species Reveal Multiple Evolutionary Lines for the NS1 Gene of Influenza A Viruses.,SYBIL,Adolfo Garcia-Sastre,explicit cross-virus/shared-host full-text language: conserved host,normalized,6120
pmid-42067193,42067193,pi-backlog,2026,Repurposing drug screen for the identification of helicase inhibitors from viruses of pandemic concern.,HPMI,Melanie Ott,"explicit cross-virus/shared-host full-text language: multiple viruses, pan-viral",cached_normalized,6002
pmid-40579228,40579228,hpmi,2025,Inference of differential kinase interaction networks with KINference.,HPMI,,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, sars-cov-2, sars, pathway",cached_normalized,5981
pmid-39026801,39026801,pi-backlog,2024,Global siRNA Screen Reveals Critical Human Host Factors of SARS-CoV-2 Multicycle Replication.,SYBIL;HPMI,Adolfo Garcia-Sastre;Trey Ideker,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",cached_normalized,5967
pmid-34512601,34512601,pi-backlog,2021,African Swine Fever Virus Induces STAT1 and STAT2 Degradation to Counteract IFN-I Signaling.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: virus, viral, pathway, replication",normalized,5904
pmid-18003608,18003608,pi-backlog,2008,2'-deoxy-4'-azido nucleoside analogs are highly potent inhibitors of hepatitis C virus replication despite the lack of 2'-alpha-hydroxyl groups.,SYBIL,Sumit Chanda,"viral context plus mechanism-rich title/abstract: hcv, hepatitis c virus, virus, viral, interaction, replication",normalized,5821
pmid-32511329,32511329,hpmi,2020,A SARS-CoV-2-Human Protein-Protein Interaction Map Reveals Drug Targets and Potential Drug-Repurposing.,HPMI,,"explicit cross-virus/shared-host full-text language: multiple viruses, conserved host",normalized,5820
pmid-26329395,26329395,pi-backlog,2015,Manipulation of the host protein acetylation network by human immunodeficiency virus type 1.,HPMI,Melanie Ott,explicit cross-virus/shared-host full-text language: conserved host,normalized,5804
pmid-26845514,26845514,pi-backlog,2016,Therapeutics Targeting Protein Acetylation Perturb Latency of Human Viruses.,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: hiv, virus, viral, hiv, pathway, pathways",normalized,5760
pmid-35867415,35867415,pi-backlog,2022,Proteomic Identification of Potential Target Proteins of Cathepsin W for Its Development as a Drug Target for Influenza.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host factor, host factors",normalized,5757
pmid-38768348,38768348,pi-backlog,2024,Inhibition of mRNA nuclear export promotes SARS-CoV-2 pathogenesis.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",cached_normalized,5756
pmid-21464929,21464929,pi-backlog,2011,A transient homotypic interaction model for the influenza A virus NS1 protein effector domain.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, host factor, host factors, interaction",normalized,5748
pmid-32995787,32995787,hpmi,2020,Functional genomic screens identify human host factors for SARS-CoV-2 and common cold coronaviruses.,HPMI,,explicit cross-virus/shared-host full-text language: multiple viruses,normalized,5696
pmid-33427208,33427208,current-program,2021,Dissecting strategies to tune the therapeutic potential of SARS-CoV-2-specific monoclonal antibody CR3022.,UCLA-Persistent-BSI,Melissa Johnson,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",normalized,5689
pmid-25616068,25616068,pi-backlog,2015,A combined proteomics/genomics approach links hepatitis C virus infection with nonsense-mediated mRNA decay.,HPMI,Melanie Ott,explicit cross-virus/shared-host full-text language: multiple viruses,normalized,5607
pmid-21876670,21876670,pi-backlog,2011,Activation of HIV transcription by the viral Tat protein requires a demethylation step mediated by lysine-specific demethylase 1 (LSD1/KDM1).,HPMI,Melanie Ott,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, interaction, interactions",normalized,5605
pmid-24237697,24237697,pi-backlog,2013,Type I interferon imposes a TSG101/ISG15 checkpoint at the Golgi for glycoprotein trafficking during influenza virus infection.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, pathway, pathways, crispr",normalized,5541
pmid-19521506,19521506,pi-backlog,2009,Influenza B virus ribonucleoprotein is a potent activator of the antiviral kinase PKR.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, interaction, replication",normalized,5522
pmid-34731594,34731594,current-program,2022,Age-related Differences in the Nasal Mucosal Immune Response to SARS-CoV-2.,,,"viral context plus mechanism-rich title/abstract: influenza, coronavirus, sars-cov-2, sars, rsv, virus",normalized,5512
pmid-37901225,37901225,current-program,2023,Hypercapnia increases ACE2 expression and pseudo-SARS-CoV-2 entry in bronchial epithelial cells by augmenting cellular cholesterol.,,,"viral context plus mechanism-rich title/abstract: influenza, coronavirus, sars-cov-2, sars, virus, viral",cached_normalized,5354
pmid-32092305,32092305,pi-backlog,2020,Influenza virus NS1- C/EBPβ gene regulatory complex inhibits RIG-I transcription.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, interaction, epithelial",normalized,5296
pmid-33979618,33979618,hpmi,2021,Efficient generation of isogenic primary human myeloid cells using CRISPR-Cas9 ribonucleoproteins.,HPMI,,"viral context plus mechanism-rich title/abstract: hiv, hiv, interaction, interactions, crispr, restriction factor",normalized,5278
pmid-18854154,18854154,pi-backlog,2008,Global analysis of host-pathogen interactions that regulate early-stage HIV-1 replication.,HPMI,Trey Ideker,"viral context plus mechanism-rich title/abstract: hiv, virus, viral, hiv, interaction, interactions",normalized,5261
pmid-42454370,42454370,pi-backlog,2026,A potential RNA-RNA distal interaction competing with a functional pseudoknot in the 3'-untranslated region of SARS-like coronaviruses.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",cached_normalized,5226
