source_collection,paper_id,pmid,doi,year,title,center,pi_candidates,cross_virus_relevance,priority,subset_reason,pmcid,pubmed_url,pmc_url,publisher_url,open_access_status,full_text_source,full_text_status,oa_landing_path,oa_pdf_path,manual_download_needed,manual_download_reason
pi-backlog,pmid-41654489,41654489,10.1038/s41398-026-03884-z,2026,Prenatal and postnatal effects of gestational immune activation on synaptic and neurodevelopmental pathways via epigenetic mechanisms.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: virus, influenza, transcriptome",PMC12923905,https://pubmed.ncbi.nlm.nih.gov/41654489/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12923905/,https://doi.org/10.1038/s41398-026-03884-z,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41654489.url,papers/fulltext/inventory/oa/pmid-41654489.pdf,no,
pi-backlog,pmid-41554267,41554267,10.1016/S2468-1253(25)00293-6,2026,"ALG-000184 (pevifoscorvir sodium) monotherapy in participants with chronic HBV infection: a phase 1, multicentre, randomised, dose escalation trial.",SYBIL,Sumit Chanda,candidate,high,"viral context plus mechanism/resource terms: virus, pathway",,https://pubmed.ncbi.nlm.nih.gov/41554267/,,https://doi.org/10.1016/S2468-1253(25)00293-6,publisher_or_doi_only,publisher,manual_check_needed,papers/fulltext/inventory/oa/pmid-41554267.url,papers/fulltext/inventory/oa/pmid-41554267.pdf,yes,publisher/DOI link available but OA status not confirmed from current metadata
pi-backlog,pmid-41548573,41548573,10.1002/jbio.70219,2026,Biomolecular Fingerprint of Crohn's Disease: A Comparative Raman Spectroscopic Study of Blood and Tissue Samples.,SYBIL,Sumit Chanda,high,low,explicit cross-virus or shared-host framing in title/abstract,PMC12812440,https://pubmed.ncbi.nlm.nih.gov/41548573/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12812440/,https://doi.org/10.1002/jbio.70219,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41548573.url,papers/fulltext/inventory/oa/pmid-41548573.pdf,no,
pi-backlog,pmid-41459948,41459948,10.1128/jvi.01774-25,2026,Disease modulation by TIV vaccination during secondary pneumococcal infections in influenza-infected mice.,SYBIL,Michael Schotsaert,candidate,high,"viral context plus mechanism/resource terms: virus, viral, influenza, host response",PMC12911902,https://pubmed.ncbi.nlm.nih.gov/41459948/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12911902/,https://doi.org/10.1128/jvi.01774-25,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41459948.url,papers/fulltext/inventory/oa/pmid-41459948.pdf,no,
hpmi,pmid-42149727,42149727,10.7554/eLife.82289,2026,Cas9(+) conditionally immortalized neutrophil progenitors as a tool for genome-wide CRISPR screening for neutrophil differentiation and function.,HPMI,,candidate,high,candidate relevance plus virus/pathogen/assay support,PMC13233066,https://pubmed.ncbi.nlm.nih.gov/42149727/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13233066/,https://doi.org/10.7554/eLife.82289,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-42149727.url,papers/fulltext/inventory/oa/pmid-42149727.pdf,no,
hpmi,pmid-42134328,42134328,10.1016/j.chom.2026.04.015,2026,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential.,HPMI,,high,high,explicit cross-virus/shared-host signal,PMC13286030,https://pubmed.ncbi.nlm.nih.gov/42134328/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13286030/,https://doi.org/10.1016/j.chom.2026.04.015,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-42134328.url,papers/fulltext/inventory/oa/pmid-42134328.pdf,no,
hpmi,pmid-41797714,41797714,10.1172/jci.insight.198342,2026,Human iPSC-derived alveolar macrophages reveal macrophage subtype functions of itaconate in M. tuberculosis defense.,HPMI,,candidate,high,candidate relevance plus virus/pathogen/assay support,PMC13041677,https://pubmed.ncbi.nlm.nih.gov/41797714/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13041677/,https://doi.org/10.1172/jci.insight.198342,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41797714.url,papers/fulltext/inventory/oa/pmid-41797714.pdf,no,
hpmi,pmid-41688792,41688792,10.1038/s44318-026-00715-1,2026,Membrane-associated effluxosomes coordinate multi-metal resistance in Mycobacterium tuberculosis.,HPMI,,candidate,high,candidate relevance plus virus/pathogen/assay support,PMC13043812,https://pubmed.ncbi.nlm.nih.gov/41688792/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13043812/,https://doi.org/10.1038/s44318-026-00715-1,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41688792.url,papers/fulltext/inventory/oa/pmid-41688792.pdf,no,
hpmi,pmid-41676649,41676649,10.1101/2024.03.05.583578,2026,Regulation of virion production by the ORF8 signal peptide across SARS-CoV-2 variants.,HPMI,,candidate,high,candidate relevance plus virus/pathogen/assay support,PMC12889891,https://pubmed.ncbi.nlm.nih.gov/41676649/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12889891/,https://doi.org/10.1101/2024.03.05.583578,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41676649.url,papers/fulltext/inventory/oa/pmid-41676649.pdf,no,
hpmi,pmid-41555498,41555498,10.1093/bioinformatics/btag031,2026,textToKnowledgeGraph: generation of molecular interaction knowledge graphs using large language models for exploration in Cytoscape.,HPMI,,candidate,medium,candidate relevance plus virus/pathogen/assay support,PMC12916169,https://pubmed.ncbi.nlm.nih.gov/41555498/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12916169/,https://doi.org/10.1093/bioinformatics/btag031,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41555498.url,papers/fulltext/inventory/oa/pmid-41555498.pdf,no,
current-program,pmid-42258748,42258748,10.1172/jci.insight.203056,2026,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,CViSB,Donald S Grant;Richard Wunderink,candidate,high,candidate relevance plus virus/pathogen/assay support,PMC13313542,https://pubmed.ncbi.nlm.nih.gov/42258748/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13313542/,https://doi.org/10.1172/jci.insight.203056,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-42258748.url,papers/fulltext/inventory/oa/pmid-42258748.pdf,no,
current-program,pmid-42182519,42182519,10.64898/2026.05.12.724509,2026,Pathogen-specific host responses define distinct pneumonia endotypes in the human lung.,SCRIPT,Richard Wunderink,candidate,high,candidate relevance plus virus/pathogen/assay support,PMC13192929,https://pubmed.ncbi.nlm.nih.gov/42182519/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13192929/,https://doi.org/10.64898/2026.05.12.724509,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-42182519.url,papers/fulltext/inventory/oa/pmid-42182519.pdf,no,
current-program,pmid-42179346,42179346,10.1093/jimmun/vkag106,2026,"A multiplexed, systems-based approach for prediction of antibody neutralization breadth for soluble human receptors.",CViSB,Ryan McNamara,candidate,high,candidate relevance plus virus/pathogen/assay support,PMC13200002,https://pubmed.ncbi.nlm.nih.gov/42179346/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13200002/,https://doi.org/10.1093/jimmun/vkag106,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-42179346.url,papers/fulltext/inventory/oa/pmid-42179346.pdf,no,
current-program,pmid-41794027,41794027,10.1016/j.cell.2026.02.006,2026,Dynamics of natural selection preceding human viral epidemics and pandemics.,CViSB,Kristian Andersen,candidate,high,candidate relevance plus virus/pathogen/assay support,PMC13092335,https://pubmed.ncbi.nlm.nih.gov/41794027/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13092335/,https://doi.org/10.1016/j.cell.2026.02.006,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41794027.url,papers/fulltext/inventory/oa/pmid-41794027.pdf,no,
current-program,pmid-41646792,41646792,10.64898/2026.01.12.26343938,2026,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,SCRIPT,Richard Wunderink,candidate,high,candidate relevance plus virus/pathogen/assay support,PMC12870487,https://pubmed.ncbi.nlm.nih.gov/41646792/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12870487/,https://doi.org/10.64898/2026.01.12.26343938,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41646792.url,papers/fulltext/inventory/oa/pmid-41646792.pdf,no,
current-program,pmid-41646655,41646655,10.64898/2026.01.26.26344861,2026,Synonymous substitution rate slowdown preceding the emergence of SARS-CoV-2 variants and during persistent infections.,CViSB,Kristian Andersen,candidate,high,candidate relevance plus virus/pathogen/assay support,PMC12870713,https://pubmed.ncbi.nlm.nih.gov/41646655/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12870713/,https://doi.org/10.64898/2026.01.26.26344861,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41646655.url,papers/fulltext/inventory/oa/pmid-41646655.pdf,no,
current-program,pmid-41384839,41384839,10.1093/jimmun/vkaf298,2026,Maternal proteome profiling reveals dynamic gestational age-specific responses to de novo vaccination.,,,candidate,medium,candidate relevance plus virus/pathogen/assay support,,https://pubmed.ncbi.nlm.nih.gov/41384839/,,https://doi.org/10.1093/jimmun/vkaf298,publisher_or_doi_only,publisher,manual_check_needed,papers/fulltext/inventory/oa/pmid-41384839.url,papers/fulltext/inventory/oa/pmid-41384839.pdf,yes,publisher/DOI link available but OA status not confirmed from current metadata
pi-backlog,pmid-41568362,41568362,10.3389/fonc.2025.1717031,2025,Identification of the HMGA2::CIBAR1-DT fusion transcript in two lipomas with chromosomal rearrangements involving chromosomes 8 and 12.,CViSB,Kristian Andersen,high,low,explicit cross-virus or shared-host framing in title/abstract,PMC12815754,https://pubmed.ncbi.nlm.nih.gov/41568362/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12815754/,https://doi.org/10.3389/fonc.2025.1717031,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41568362.url,papers/fulltext/inventory/oa/pmid-41568362.pdf,no,
pi-backlog,pmid-41436260,41436260,10.1136/bmjopen-2025-104843,2025,"Understanding the pathogenesis of uveitis in Ebola virus disease survivors: an observational cohort and cross-sectional study protocol for clinical, molecular virologic and immunologic characterisation.",CViSB,Donald S Grant,candidate,high,"viral context plus mechanism/resource terms: virus, viral, interaction",PMC12730762,https://pubmed.ncbi.nlm.nih.gov/41436260/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12730762/,https://doi.org/10.1136/bmjopen-2025-104843,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41436260.url,papers/fulltext/inventory/oa/pmid-41436260.pdf,no,
pi-backlog,pmid-41279668,41279668,10.1101/2025.10.16.682853,2025,Disease modulation by TIV vaccination during secondary pneumococcal infections in influenza-infected mice.,SYBIL,Michael Schotsaert,candidate,high,"viral context plus mechanism/resource terms: virus, viral, influenza, host response",PMC12632982,https://pubmed.ncbi.nlm.nih.gov/41279668/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12632982/,https://doi.org/10.1101/2025.10.16.682853,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41279668.url,papers/fulltext/inventory/oa/pmid-41279668.pdf,no,
pi-backlog,pmid-41142120,41142120,10.1016/j.isci.2025.113644,2025,Integrative multi-omics analysis in vivo identifies influenza virus host factors.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: virus, viral, influenza, dependency, network",PMC12552919,https://pubmed.ncbi.nlm.nih.gov/41142120/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12552919/,https://doi.org/10.1016/j.isci.2025.113644,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41142120.url,papers/fulltext/inventory/oa/pmid-41142120.pdf,no,
pi-backlog,pmid-41141506,41141506,10.1016/j.ekir.2025.07.021,2025,Liquid Biopsy-Multiomics Link Adhesion Pathway Dysregulation to Kidney Injury Severity.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: sars, pathway, interaction, proteomics",PMC12545944,https://pubmed.ncbi.nlm.nih.gov/41141506/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12545944/,https://doi.org/10.1016/j.ekir.2025.07.021,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-41141506.url,papers/fulltext/inventory/oa/pmid-41141506.pdf,no,
pi-backlog,pmid-40909530,40909530,10.1101/2025.08.21.671587,2025,Single-Cell Network Analysis Identifies CLEC4E as a Key Mediator of Proinflammatory mDC Responses in Influenza Infection.,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,candidate,high,"viral context plus mechanism/resource terms: virus, viral, influenza, network",PMC12407668,https://pubmed.ncbi.nlm.nih.gov/40909530/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12407668/,https://doi.org/10.1101/2025.08.21.671587,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40909530.url,papers/fulltext/inventory/oa/pmid-40909530.pdf,no,
pi-backlog,pmid-40802739,40802739,10.1126/scitranslmed.adx5758,2025,An mRNA-based broad-spectrum antiviral inspired by ISG15 deficiency protects against viral infections in vitro and in vivo.,SYBIL,Adolfo Garcia-Sastre,high,high,explicit cross-virus or shared-host framing in title/abstract,PMC13458225,https://pubmed.ncbi.nlm.nih.gov/40802739/,https://pmc.ncbi.nlm.nih.gov/articles/PMC13458225/,https://doi.org/10.1126/scitranslmed.adx5758,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40802739.url,papers/fulltext/inventory/oa/pmid-40802739.pdf,no,
pi-backlog,pmid-40766693,40766693,10.1101/2025.07.26.666918,2025,Coronavirus protein interaction mapping in bat and human cells identifies molecular and genetic switches for immune evasion and replication.,SYBIL;HPMI,Adolfo Garcia-Sastre;Melanie Ott,high,high,explicit cross-virus or shared-host framing in title/abstract,PMC12324264,https://pubmed.ncbi.nlm.nih.gov/40766693/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12324264/,https://doi.org/10.1101/2025.07.26.666918,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40766693.url,papers/fulltext/inventory/oa/pmid-40766693.pdf,no,
pi-backlog,pmid-40758871,40758871,10.1073/pnas.2423066122,2025,Influenza A virus NS1 protein mimics oncogenic PI3K resulting in isoform specific cellular redistribution and activation.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: virus, viral, influenza, interaction",PMC12358865,https://pubmed.ncbi.nlm.nih.gov/40758871/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12358865/,https://doi.org/10.1073/pnas.2423066122,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40758871.url,papers/fulltext/inventory/oa/pmid-40758871.pdf,no,
pi-backlog,pmid-40719420,40719420,10.1002/pro.70217,2025,Recognizing amino acid sidechains in a medium-resolution cryo-electron density map.,HPMI,Andrej Sali,unknown,low,"viral context plus mechanism/resource terms: coronavirus, network",PMC12302279,https://pubmed.ncbi.nlm.nih.gov/40719420/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12302279/,https://doi.org/10.1002/pro.70217,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40719420.url,papers/fulltext/inventory/oa/pmid-40719420.pdf,no,
pi-backlog,pmid-40687705,40687705,10.3389/fmed.2025.1604388,2025,Baseline predictors for 28-day COVID-19 severity and mortality among hospitalized patients: results from the IMPACC study.,UCLA-Persistent-BSI,Elaine Reed,candidate,high,"viral context plus mechanism/resource terms: viral, coronavirus, sars, proteomics, host response",PMC12271175,https://pubmed.ncbi.nlm.nih.gov/40687705/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12271175/,https://doi.org/10.3389/fmed.2025.1604388,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40687705.url,papers/fulltext/inventory/oa/pmid-40687705.pdf,no,
pi-backlog,pmid-40654703,40654703,10.1101/2024.12.10.627859,2025,Recognizing amino acid sidechains in a medium resolution cryo-electron density map.,HPMI,Andrej Sali,unknown,low,"viral context plus mechanism/resource terms: sars, network",PMC12247757,https://pubmed.ncbi.nlm.nih.gov/40654703/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12247757/,https://doi.org/10.1101/2024.12.10.627859,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40654703.url,papers/fulltext/inventory/oa/pmid-40654703.pdf,no,
pi-backlog,pmid-40627391,40627391,10.1073/pnas.2424367122,2025,BIK polymorphism and proteasome regulation unveil host risk factor for severe influenza.,SYBIL,Adolfo Garcia-Sastre,candidate,high,"viral context plus mechanism/resource terms: viral, influenza, interaction",PMC12280918,https://pubmed.ncbi.nlm.nih.gov/40627391/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12280918/,https://doi.org/10.1073/pnas.2424367122,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40627391.url,papers/fulltext/inventory/oa/pmid-40627391.pdf,no,
pi-backlog,pmid-40585204,40585204,10.21203/rs.3.rs-6875205/v1,2025,Empiric Azithromycin in COVID-19 Impacts the Respiratory Microbiome and Antimicrobial Resistome without Anti-inflammatory Benefit.,UCLA-Persistent-BSI,Elaine Reed,candidate,high,"viral context plus mechanism/resource terms: viral, sars, transcriptome",PMC12204364,https://pubmed.ncbi.nlm.nih.gov/40585204/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12204364/,https://doi.org/10.21203/rs.3.rs-6875205/v1,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40585204.url,papers/fulltext/inventory/oa/pmid-40585204.pdf,no,
pi-backlog,pmid-40504864,40504864,10.1371/journal.pbio.3002738,2025,Global siRNA screen identifies human host factors critical for SARS-CoV-2 replication and late stages of infection.,SYBIL;HPMI,Adolfo Garcia-Sastre;Trey Ideker,candidate,high,"viral context plus mechanism/resource terms: virus, viral, coronavirus, sars, pathway, dependency",PMC12204624,https://pubmed.ncbi.nlm.nih.gov/40504864/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12204624/,https://doi.org/10.1371/journal.pbio.3002738,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40504864.url,papers/fulltext/inventory/oa/pmid-40504864.pdf,no,
pi-backlog,pmid-40494346,40494346,10.1016/j.cell.2025.05.012,2025,Neuroendocrine cells orchestrate regeneration through Desert hedgehog signaling.,HPMI,Melanie Ott,candidate,high,"viral context plus mechanism/resource terms: influenza, sars, pathway",PMC12232213,https://pubmed.ncbi.nlm.nih.gov/40494346/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12232213/,https://doi.org/10.1016/j.cell.2025.05.012,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40494346.url,papers/fulltext/inventory/oa/pmid-40494346.pdf,no,
pi-backlog,pmid-40475131,40475131,10.1101/2025.05.19.25327799,2025,"Understanding the pathogenesis of uveitis in Ebola virus disease survivors: a study protocol for clinical, molecular virologic, and immunologic characterization.",CViSB,Donald S Grant,candidate,high,"viral context plus mechanism/resource terms: virus, viral, interaction",PMC12140520,https://pubmed.ncbi.nlm.nih.gov/40475131/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12140520/,https://doi.org/10.1101/2025.05.19.25327799,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40475131.url,papers/fulltext/inventory/oa/pmid-40475131.pdf,no,
pi-backlog,pmid-40378209,40378209,10.1126/sciadv.adu2079,2025,Identification and targeting of regulators of SARS-CoV-2-host interactions in the airway epithelium.,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,candidate,high,"viral context plus mechanism/resource terms: virus, viral, sars, network, host response",PMC12083520,https://pubmed.ncbi.nlm.nih.gov/40378209/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12083520/,https://doi.org/10.1126/sciadv.adu2079,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40378209.url,papers/fulltext/inventory/oa/pmid-40378209.pdf,no,
pi-backlog,pmid-40267184,40267184,10.1126/sciadv.adt7836,2025,"Structure-based discovery of highly bioavailable, covalent, broad-spectrum coronavirus M(Pro) inhibitors with potent in vivo efficacy.",HPMI,Melanie Ott,high,high,explicit cross-virus or shared-host framing in title/abstract,PMC12017303,https://pubmed.ncbi.nlm.nih.gov/40267184/,https://pmc.ncbi.nlm.nih.gov/articles/PMC12017303/,https://doi.org/10.1126/sciadv.adt7836,pmc_open_access,pmc,oa_pdf_downloaded,papers/fulltext/inventory/oa/pmid-40267184.url,papers/fulltext/inventory/oa/pmid-40267184.pdf,no,
pi-backlog,pmid-40037847,40037847,10.21873/anticanres.17479,2025,Cryptic Rearrangement of the KMT2A Gene in a B-cell Acute Lymphoblastic Leukemia.,CViSB,Kristian Andersen,high,low,explicit cross-virus or shared-host framing in title/abstract,,https://pubmed.ncbi.nlm.nih.gov/40037847/,,https://doi.org/10.21873/anticanres.17479,publisher_or_doi_only,publisher,manual_check_needed,papers/fulltext/inventory/oa/pmid-40037847.url,papers/fulltext/inventory/oa/pmid-40037847.pdf,yes,publisher/DOI link available but OA status not confirmed from current metadata
