paper_id,title,pmid,doi,center,year,paper_status,abstract_length,dataset_scan_status,resource_scan_status
pmid-41593502,Integration of bulk RNA-seq pipeline metrics for assessing low-quality samples.,41593502,10.1186/s12859-025-06298-8,,2026,metadata_ingested,1792,pending,pending
pmid-41460103,Pharmacokinetic-pharmacodynamic target attainment with continuous infusion piperacillin in patients admitted to the ICU with hospital-acquired pneumonia.,41460103,10.1128/aac.01760-25,,2026,metadata_ingested,1818,pending,pending
pmid-41460101,Critical threshold target attainment rates for tazobactam combined with piperacillin among patients admitted to the ICU with hospital-acquired pneumonia.,41460101,10.1128/aac.01766-25,,2026,metadata_ingested,1727,pending,pending
pmid-41429578,The Sixth Annual Symposium of the Midwest Aging Consortium.,41429578,10.1093/gerona/glaf280,,2026,metadata_ingested,1392,pending,pending
pmid-41384839,Maternal proteome profiling reveals dynamic gestational age-specific responses to de novo vaccination.,41384839,10.1093/jimmun/vkaf298,,2026,metadata_ingested,1613,pending,pending
pmid-40700713,Multi-Omic and Single-Cell Approaches for Elucidating Cell Biology and Pathobiology of Lung Disease.,40700713,10.1165/rcmb.2025-0092PS,,2026,metadata_ingested,1059,pending,pending
pmid-42002983,Evaluation of antigen and antibody assays for surveillance of Lassa virus in peri-domestic rodents in southeastern Sierra Leone: a cross-sectional study.,42002983,10.1016/j.lanmic.2025.101188,,2025,metadata_ingested,1877,pending,pending
pmid-41472675,Rational Design of Multiclade Coronavirus Spike Immunodominant Domain Nanoparticles to Elicit Broad Antibody Responses.,41472675,10.21203/rs.3.rs-7997313/v1,,2025,metadata_ingested,2322,pending,pending
pmid-41415465,Influenza A infection accelerates disease-associated microglia formation during physiological aging.,41415465,10.64898/2025.12.11.693336,,2025,metadata_ingested,2105,pending,pending
pmid-41380668,Transitions in lung microbiota landscape associate with distinct patterns of pneumonia progression.,41380668,10.1016/j.chom.2025.11.011,,2025,metadata_ingested,1152,pending,pending
pmid-41332588,Unconventional linkers facilitate potent stabilized coronavirus stem antibody responses following nanoparticle vaccination.,41332588,10.1101/2025.11.19.689216,,2025,metadata_ingested,1829,pending,pending
pmid-41282925,Microbial cell-free DNA sequencing of bronchoalveolar lavage fluid improves diagnostic yield and may add clinical utility in immunocompromised patients with severe pneumonia.,41282925,10.1101/2025.11.05.25339543,,2025,metadata_ingested,1784,pending,pending
pmid-41280073,Umbilical Cord Blood Cell Transcriptional and Methylation Signatures at Birth Are Associated with BPD Development.,41280073,10.1101/2025.11.04.686323,,2025,metadata_ingested,1260,pending,pending
pmid-41279404,GhostFold: Accurate protein structure prediction using structure-constrained synthetic coevolutionary signals.,41279404,10.1101/2025.10.13.682177,,2025,metadata_ingested,1749,pending,pending
pmid-41278889,Biologically informed neural network models are robust to spurious interactions via self-pruning.,41278889,10.1101/2025.10.24.684155,,2025,metadata_ingested,1989,pending,pending
pmid-41278878,A Single-Cell Atlas of Transcriptional and Immunoglobulin Repertoire Evolution in Early B Cell Development.,41278878,10.1101/2025.10.08.681095,,2025,metadata_ingested,1385,pending,pending
pmid-41256685,Multivariate analysis of glycogenes reveals coordinated regulation of immunoglobulin glycosylation in an immortalized human B cell system.,41256685,10.1101/2025.09.30.679651,,2025,metadata_ingested,1860,pending,pending
pmid-41256554,Rational Design of Multiclade Coronavirus Spike Immunodominant Domain Nanoparticles to Elicit Broad Antibody Responses.,41256554,10.1101/2025.10.01.679649,,2025,metadata_ingested,2359,pending,pending
pmid-41162684,Systematic data capture reduces the need for source data verification: exploratory analysis from a phase 2 multicenter randomized controlled platform trial.,41162684,10.1038/s43856-025-01126-9,,2025,metadata_ingested,1644,pending,pending
pmid-41157585,Intra-Host Evolution of SARS-CoV-2 During Persistent Infection of Pediatric COVID-19 Patients.,41157585,10.3390/v17101313,,2025,metadata_ingested,1966,pending,pending
pmid-41091914,An intramuscular prime and mucosal boost vaccine regimen protects against lethal clade 2.3.4.4b H5N1 challenge in cynomolgus macaques.,41091914,10.1126/scitranslmed.ady2282,,2025,metadata_ingested,1578,pending,pending
pmid-40997178,From reactive to proactive: Continuous protein monitoring for preventive health care.,40997178,10.1126/science.ady6497,,2025,metadata_ingested,997,pending,pending
pmid-40986708,A Cornucopia of Plasma Proteomics in Moderate-Severity Community-acquired Pneumonia.,40986708,10.1164/rccm.202507-1734ED,,2025,metadata_ingested,0,pending,pending
pmid-40977378,Large language models accurately identify immunosuppression in intensive care unit patients.,40977378,10.1093/jamia/ocaf141,,2025,metadata_ingested,1913,pending,pending
pmid-40964040,Versatile wastewater monitoring of pathogens and antimicrobial resistance enabled by metatranscriptomics and long-read metagenomics.,40964040,10.21203/rs.3.rs-7492978/v1,,2025,metadata_ingested,1167,pending,pending
pmid-40963760,Cryptic spread of SARS-CoV-2 undermined targeted travel restrictions.,40963760,10.1101/2025.08.29.25334701,,2025,metadata_ingested,1506,pending,pending
pmid-40962430,Multi-omics profiling in severe pneumonia: the importance of robust study design.,40962430,10.1183/13993003.00760-2025,,2025,metadata_ingested,198,pending,pending
pmid-40962401,"Five-decade prevalence of delirium in pneumonia, risk factors and associated mortality: a systematic review and meta-analysis.",40962401,10.1183/16000617.0111-2025,,2025,metadata_ingested,2115,pending,pending
pmid-40956625,Maintenance DNA methylation is required for induced Treg reparative function following viral pneumonia in mice.,40956625,10.1172/JCI192925,,2025,metadata_ingested,1391,pending,pending
pmid-40950134,Data-optimal scaling of paired antibody language models.,40950134,10.1101/2025.09.02.673765,,2025,metadata_ingested,980,pending,pending
pmid-40934267,A curriculum learning approach to training antibody language models.,40934267,10.1371/journal.pcbi.1013473,,2025,metadata_ingested,1235,pending,pending
pmid-40931632,"Welsh, González, and Negulescu share Lasker Award recognizing transformative treatments for people with cystic fibrosis.",40931632,10.1172/JCI198727,,2025,metadata_ingested,0,pending,pending
pmid-40844272,Recent advances in the inference of deep viral evolutionary history.,40844272,10.1128/jvi.00292-25,,2025,metadata_ingested,1575,pending,pending
pmid-40832362,Profibrotic monocyte-derived alveolar macrophages as a biomarker and therapeutic target in systemic sclerosis-associated interstitial lung disease.,40832362,10.1101/2025.08.07.669006,,2025,metadata_ingested,1355,pending,pending
pmid-40796194,Infinite Mixture Models for Improved Modeling of Across-Site Evolutionary Variation.,40796194,10.1093/molbev/msaf199,,2025,metadata_ingested,1792,pending,pending
pmid-40791728,Development of a pilot machine learning model to predict successful cure in critically ill patients with community-acquired pneumonia.,40791728,10.1101/2025.07.14.25331407,,2025,metadata_ingested,2202,pending,pending
pmid-40786117,Zigzag path connects two Monte Carlo samplers: Hamiltonian counterpart to a piecewise deterministic Markov process.,40786117,10.1080/01621459.2024.2395587,,2025,metadata_ingested,1532,pending,pending
pmid-40778124,"Real-time, multi-pathogen wastewater genomic surveillance with Freyja 2.",40778124,10.1101/2025.07.26.25332245,,2025,metadata_ingested,1153,pending,pending
pmid-40758886,"The entities enabling scientific fraud at scale are large, resilient, and growing rapidly.",40758886,10.1073/pnas.2420092122,,2025,metadata_ingested,1551,pending,pending
pmid-40731125,Developing and validating machine learning models to predict next-day extubation.,40731125,10.1038/s41598-025-12264-4,,2025,metadata_ingested,2121,pending,pending
pmid-40701969,Open-source computational pipeline flags instances of acute respiratory distress syndrome in mechanically ventilated adult patients.,40701969,10.1038/s41467-025-61418-5,,2025,metadata_ingested,1152,pending,pending
pmid-40678224,Detecting Evolutionary Change-Points with Branch-Specific Substitution Models and Shrinkage Priors.,40678224,10.21203/rs.3.rs-6926809/v1,,2025,metadata_ingested,1327,pending,pending
pmid-40671951,Detecting Evolutionary Change-Points with Branch-Specific Substitution Models and Shrinkage Priors.,40671951,,,2025,metadata_ingested,1327,pending,pending
pmid-40658245,"Correspondence on ""A common longitudinal intensive care unit data format (CLIF) for critical illness research"". Author's reply.",40658245,10.1007/s00134-025-08029-2,,2025,metadata_ingested,0,pending,pending
pmid-40646293,Continuous vital sign monitoring of acute Lassa fever using wearable biosensor devices in West Africa.,40646293,10.1038/s43856-025-01002-6,,2025,metadata_ingested,1820,pending,pending
pmid-40632835,Adenovirus and mRNA vaccines as well as mucosal boosting improve protective efficacy against influenza virus challenge in macaques.,40632835,10.1126/scitranslmed.adu7646,,2025,metadata_ingested,1484,pending,pending
pmid-40630536,Integration of Bulk RNA-seq Pipeline Metrics for Assessing Low-Quality Samples.,40630536,10.21203/rs.3.rs-6976695/v1,,2025,metadata_ingested,1794,pending,pending
pmid-40624354,"BEAST X for Bayesian phylogenetic, phylogeographic and phylodynamic inference.",40624354,10.1038/s41592-025-02751-x,,2025,metadata_ingested,618,pending,pending
pmid-40586539,"Draft genome sequences of Stenotrophomonas maltophilia strains UPSm1, UPSm3, and UPSm5 and Stenotrophomonas pavanii strain UPSm2.",40586539,10.1128/mra.00313-25,,2025,metadata_ingested,310,pending,pending
pmid-40586301,Novel enzyme-based reduced representation method for DNA methylation profiling with low inputs.,40586301,10.1093/nar/gkaf558,,2025,metadata_ingested,1549,pending,pending
pmid-40575131,Focused learning by antibody language models using preferential masking of non-templated regions.,40575131,10.1016/j.patter.2025.101239,,2025,metadata_ingested,1111,pending,pending
pmid-40569388,Comparative performance of viral landscape phylogeography approaches.,40569388,10.1073/pnas.2506743122,,2025,metadata_ingested,1213,pending,pending
pmid-40502596,Machine Learning Analysis of Electronic Health Records Identifies Interstitial Lung Disease and Predicts Mortality in Patients with Systemic Sclerosis.,40502596,10.1101/2025.06.02.25328786,,2025,metadata_ingested,2492,pending,pending
pmid-40493423,Cord blood proteomics identifies biomarkers of early-onset neonatal sepsis.,40493423,10.1172/jci.insight.193826,,2025,metadata_ingested,1735,pending,pending
pmid-40492065,"Five-Decade Prevalence of Delirium in Pneumonia, Risk Factors, and Associated Mortality: A Systematic Review and Meta-Analysis.",40492065,10.1101/2025.06.01.25328725,,2025,metadata_ingested,1915,pending,pending
pmid-40447716,"International importance and spread of SARS-CoV-2 variants Alpha, Delta, and Omicron BA.1 into Spain.",40447716,10.1038/s43856-025-00912-9,,2025,metadata_ingested,1407,pending,pending
pmid-40388983,Genomics reveals zoonotic and sustained human mpox spread in West Africa.,40388983,10.1038/s41586-025-09128-2,,2025,metadata_ingested,1585,pending,pending
pmid-40372025,Individual target pharmacokinetic/pharmacodynamic attainment rates among cefepime-treated patients admitted to the ICU with hospital-acquired pneumonia with and without ECMO.,40372025,10.1128/aac.00102-25,,2025,metadata_ingested,1774,pending,pending
pmid-40339581,The recency and geographical origins of the bat viruses ancestral to SARS-CoV and SARS-CoV-2.,40339581,10.1016/j.cell.2025.03.035,,2025,metadata_ingested,1039,pending,pending
pmid-40316844,Antibiotic de-escalation patterns and outcomes in critically ill patients with suspected pneumonia as informed by bronchoalveolar lavage results.,40316844,10.1007/s10096-025-05144-2,,2025,metadata_ingested,1971,pending,pending
pmid-40215972,Library-based single-cell analysis of CAR signaling reveals drivers of in vivo persistence.,40215972,10.1016/j.cels.2025.101260,,2025,metadata_ingested,1079,pending,pending
pmid-40207916,Pseudomonas aeruginosa population dynamics in a vancomycin-induced murine model of gastrointestinal carriage.,40207916,10.1128/mbio.03136-24,,2025,metadata_ingested,2435,pending,pending
pmid-40196646,Longitudinal analysis of drift in the circulating human antibody repertoire over four years.,40196646,10.1101/2025.03.20.644446,,2025,metadata_ingested,1511,pending,pending
pmid-40196585,Comparative performance of novel viral landscape phylogeography approaches.,40196585,10.1101/2025.03.24.645003,,2025,metadata_ingested,1236,pending,pending
pmid-40168990,"Immunological drivers of zoonotic virus emergence, evolution, and endemicity.",40168990,10.1016/j.immuni.2025.03.014,,2025,metadata_ingested,984,pending,pending
pmid-40167310,Regulatory T Cells Require TBET to Regulate Activated CD8+ T Cells During Recovery from Influenza.,40167310,10.1165/rcmb.2024-0254LE,,2025,metadata_ingested,0,pending,pending
pmid-40133528,Transmission dynamics of the 2022 mpox epidemic in New York City.,40133528,10.1038/s41591-025-03526-9,,2025,metadata_ingested,1456,pending,pending
pmid-40100289,AMPK is necessary for Treg functional adaptation to microenvironmental stress during malignancy and viral pneumonia.,40100289,10.1172/JCI179572,,2025,metadata_ingested,1474,pending,pending
pmid-40080116,A common longitudinal intensive care unit data format (CLIF) for critical illness research.,40080116,10.1007/s00134-025-07848-7,,2025,metadata_ingested,1963,pending,pending
pmid-40060663,A curriculum learning approach to training antibody language models.,40060663,10.1101/2025.02.27.640641,,2025,metadata_ingested,864,pending,pending
pmid-40060513,Maintenance DNA methylation is required for induced regulatory T cell reparative function following viral pneumonia.,40060513,10.1101/2025.02.25.640199,,2025,metadata_ingested,1351,pending,pending
pmid-40060453,Dynamics of natural selection preceding human viral epidemics and pandemics.,40060453,10.1101/2025.02.26.640439,,2025,metadata_ingested,1049,pending,pending
pmid-40046892,An Observational Cohort Study of Bronchoalveolar Lavage Fluid Galactomannan and Aspergillus Culture Positivity in Patients Requiring Mechanical Ventilation.,40046892,10.1093/ofid/ofaf090,,2025,metadata_ingested,1712,pending,pending
pmid-39994477,Steps to prevent and respond to an H5N1 epidemic in the USA.,39994477,10.1038/s41591-025-03527-8,,2025,metadata_ingested,0,pending,pending
pmid-39945534,Tracing more than two decades of Japanese encephalitis virus circulation in mainland China.,39945534,10.1128/jvi.01575-24,,2025,metadata_ingested,2274,pending,pending
pmid-39868236,Tissue-resident skeletal muscle macrophages promote recovery from viral pneumonia-induced sarcopenia in normal aging.,39868236,10.1101/2025.01.09.631996,,2025,metadata_ingested,1033,pending,pending
pmid-39867358,Large language models outperform traditional structured data-based approaches in identifying immunosuppressed patients.,39867358,10.1101/2025.01.16.25320564,,2025,metadata_ingested,514,pending,pending
pmid-39836474,The impact of remdesivir on SARS-CoV-2 evolution in vivo.,39836474,10.1172/jci.insight.182376,,2025,metadata_ingested,1466,pending,pending
pmid-39829857,Distinct Control of histone H1 expression within the Histone Locus body by CRAMP1.,39829857,10.1101/2025.01.07.631602,,2025,metadata_ingested,1070,pending,pending
pmid-39737444,Integrating dynamical modeling and phylogeographic inference to characterize global influenza circulation.,39737444,10.1093/pnasnexus/pgae561,,2025,metadata_ingested,1931,pending,pending
pmid-39704343,The Fifth Annual Symposium of the Midwest Aging Consortium.,39704343,10.1093/gerona/glae296,,2025,metadata_ingested,1047,pending,pending
pmid-39645657,"Vimentin modulates regulatory T cell receptor-ligand interactions at distal pole complex, leading to dysregulated host response to viral pneumonia.",39645657,10.1016/j.celrep.2024.115056,,2024,metadata_ingested,983,pending,pending
pmid-39631779,Evolution of a Graph Model for the OMOP Common Data Model.,39631779,10.1055/s-0044-1791487,,2024,metadata_ingested,2091,pending,pending
pmid-39625970,How fast are viruses spreading in the wild?,39625970,10.1371/journal.pbio.3002914,,2024,metadata_ingested,1873,pending,pending
pmid-39605488,Conformational ensemble-based framework enables rapid development of Lassa virus vaccine candidates.,39605488,10.1101/2024.11.21.624760,,2024,metadata_ingested,1818,pending,pending
pmid-39576825,Long-term visual outcomes and histopathologic findings after cataract surgery in Ebola virus disease survivors in the Ebola virus RNA persistence in ocular tissues and fluids (EVICT) study.,39576825,10.1371/journal.pntd.0012662,,2024,metadata_ingested,2957,pending,pending
pmid-39574676,Decoding protein dynamicity in DNA ligase activity through deep learning-based structural ensembles.,39574676,10.1101/2024.11.07.622521,,2024,metadata_ingested,1589,pending,pending
pmid-39553994,Focused learning by antibody language models using preferential masking of non-templated regions.,39553994,10.1101/2024.10.23.619908,,2024,metadata_ingested,1114,pending,pending
pmid-39488529,Live imaging of airway epithelium reveals that mucociliary clearance modulates SARS-CoV-2 spread.,39488529,10.1038/s41467-024-53791-4,,2024,metadata_ingested,1164,pending,pending
pmid-39484236,Humoral waning kinetics against SARS-CoV-2 is dictated by disease severity and vaccine platform.,39484236,10.1101/2024.10.17.24315607,,2024,metadata_ingested,1221,pending,pending
pmid-39475648,Robust extraction of pneumonia-associated clinical states from electronic health records.,39475648,10.1073/pnas.2417688121,,2024,metadata_ingested,1696,pending,pending
pmid-39390446,Emergence of the B.1.214.2 SARS-CoV-2 lineage with an Omicron-like spike insertion and a unique upper airway immune signature.,39390446,10.1186/s12879-024-09967-w,,2024,metadata_ingested,1372,pending,pending
pmid-39367123,Profibrotic monocyte-derived alveolar macrophages are expanded in patients with persistent respiratory symptoms and radiographic abnormalities after COVID-19.,39367123,10.1038/s41590-024-01975-x,,2024,metadata_ingested,1110,pending,pending
pmid-39314979,Antibiotic De-escalation Patterns and Outcomes in Critically Ill Patients with Suspected Pneumonia as Informed by Bronchoalveolar Lavage Results.,39314979,10.1101/2024.09.10.24313149,,2024,metadata_ingested,2034,pending,pending
pmid-39303692,Genetic tracing of market wildlife and viruses at the epicenter of the COVID-19 pandemic.,39303692,10.1016/j.cell.2024.08.010,,2024,metadata_ingested,1088,pending,pending
pmid-39255040,Antibiotic use during influenza infection augments lung eosinophils that impair immunity against secondary bacterial pneumonia.,39255040,10.1172/JCI180986,,2024,metadata_ingested,1251,pending,pending
pmid-39229171,Pseudomonas aeruginosa population dynamics in a vancomycin-induced murine model of gastrointestinal carriage.,39229171,10.1101/2024.08.19.608679,,2024,metadata_ingested,1515,pending,pending
pmid-39224511,Compartment-specific antibody correlates of protection to SARS-CoV-2 Omicron in macaques.,39224511,10.1016/j.isci.2024.110174,,2024,metadata_ingested,1093,pending,pending
pmid-39213326,The global population stru cture of Lacticaseibacillus rhamnosus and its application to an investigation of a rare case of infective endocarditis.,39213326,10.1371/journal.pone.0300843,,2024,metadata_ingested,1793,pending,pending
pmid-39213155,SARS-CoV-2 infection prior to vaccination amplifies Fc-mediated humoral profiles in an age-dependent manner.,39213155,10.1016/j.celrep.2024.114684,,2024,metadata_ingested,1181,pending,pending
pmid-39179693,Evolution of SARS-CoV-2 in the murine central nervous system drives viral diversification.,39179693,10.1038/s41564-024-01786-8,,2024,metadata_ingested,1107,pending,pending
pmid-39169236,Phenotype and specificity of lung T cell responses correlate with outcome in SARS-CoV-2 pneumonia.,39169236,10.1038/s41590-024-01941-7,,2024,metadata_ingested,0,pending,pending
pmid-39148859,Transitions in lung microbiota landscape associate with distinct patterns of pneumonia progression.,39148859,10.1101/2024.08.02.24311426,,2024,metadata_ingested,1172,pending,pending
pmid-39138384,Distinctive evolution of alveolar T cell responses is associated with clinical outcomes in unvaccinated patients with SARS-CoV-2 pneumonia.,39138384,10.1038/s41590-024-01914-w,,2024,metadata_ingested,1105,pending,pending
pmid-39013466,Deep mutational scanning reveals functional constraints and antibody-escape potential of Lassa virus glycoprotein complex.,39013466,10.1016/j.immuni.2024.06.013,,2024,metadata_ingested,1043,pending,pending
pmid-39006420,"Dispersal history of SARS-CoV-2 variants Alpha, Delta, and Omicron (BA.1) in Spain.",39006420,10.1101/2024.07.01.24309632,,2024,metadata_ingested,1192,pending,pending
pmid-39001278,The Impact of Next-Generation Sequencing Added to Multiplex PCR on Antibiotic Stewardship in Critically Ill Patients with Suspected Pneumonia.,39001278,10.3390/diagnostics14131388,,2024,metadata_ingested,1925,pending,pending
pmid-38964363,Lassa fever research priorities: towards effective medical countermeasures by the end of the decade.,38964363,10.1016/S1473-3099(24)00229-9,,2024,metadata_ingested,1390,pending,pending
pmid-38947052,Genomic epidemiology uncovers the timing and origin of the emergence of mpox in humans.,38947052,10.1101/2024.06.18.24309104,,2024,metadata_ingested,1154,pending,pending
pmid-38947021,Molecular epidemiology of recurrent zoonotic transmission of mpox virus in West Africa.,38947021,10.1101/2024.06.18.24309115,,2024,metadata_ingested,1559,pending,pending
pmid-38947010,Evolution of the Umbilical Cord Blood Proteome Across Gestational Development.,38947010,10.1101/2024.06.21.24309280,,2024,metadata_ingested,1449,pending,pending
pmid-38940448,"Dispersal history of SARS-CoV-2 in Galicia, Spain.",38940448,10.1002/jmv.29773,,2024,metadata_ingested,1372,pending,pending
pmid-38853959,FOXP3+ Regulatory T Cells Require TBET to Regulate Activated CD8+ T Cells During Recovery from Influenza Infection.,38853959,10.1101/2024.05.30.596295,,2024,metadata_ingested,1132,pending,pending
pmid-38848216,Deep repertoire mining uncovers ultra-broad coronavirus neutralizing antibodies targeting multiple spike epitopes.,38848216,10.1016/j.celrep.2024.114307,,2024,metadata_ingested,1221,pending,pending
pmid-38801652,Ebola Virus-Specific Neutralizing Antibody Persists at High Levels in Survivors 2 Years After Resolution of Disease in a Sierra Leonean Cohort.,38801652,10.1093/infdis/jiae155,,2024,metadata_ingested,1046,pending,pending
pmid-38800360,Improving antibody language models with native pairing.,38800360,10.1016/j.patter.2024.100967,,2024,metadata_ingested,1029,pending,pending
pmid-38766045,Neutrophil percentages in bronchoalveolar lavage fluid: Implications for diagnosing bacterial pneumonia in patients with immunocompromise and neutropenia.,38766045,10.1101/2024.05.04.24306709,,2024,metadata_ingested,2116,pending,pending
pmid-38643200,Deviations in RSV epidemiological patterns and population structures in the United States following the COVID-19 pandemic.,38643200,10.1038/s41467-024-47757-9,,2024,metadata_ingested,1133,pending,pending
pmid-38559244,Integrating dynamical modeling and phylogeographic inference to characterize global influenza circulation.,38559244,10.1101/2024.03.14.24303719,,2024,metadata_ingested,1942,pending,pending
pmid-38551979,Scalable gradients enable Hamiltonian Monte Carlo sampling for phylodynamic inference under episodic birth-death-sampling models.,38551979,10.1371/journal.pcbi.1011640,,2024,metadata_ingested,1742,pending,pending
pmid-38546716,Meta-Research: Understudied genes are lost in a leaky pipeline between genome-wide assays and reporting of results.,38546716,10.7554/eLife.93429,,2024,metadata_ingested,1540,pending,pending
pmid-38502186,Prolonged exposure to lung-derived cytokines is associated with activation of microglia in patients with COVID-19.,38502186,10.1172/jci.insight.178859,,2024,metadata_ingested,2101,pending,pending
pmid-38464001,Compartment-Specific Antibody Correlates of Protection to SARS-CoV-2 Omicron in Macaques.,38464001,10.1101/2024.03.01.582951,,2024,metadata_ingested,1310,pending,pending
pmid-38463998,"Dispersal history of SARS-CoV-2 in Galicia, Spain.",38463998,10.1101/2024.02.27.24303385,,2024,metadata_ingested,1062,pending,pending
pmid-38453939,A SWI/SNF-dependent transcriptional regulation mediated by POU2AF2/C11orf53 at enhancer.,38453939,10.1038/s41467-024-46492-5,,2024,metadata_ingested,1387,pending,pending
pmid-38446806,"Genomic characterization of SARS-CoV-2 in Guinea, West Africa.",38446806,10.1371/journal.pone.0299082,,2024,metadata_ingested,1176,pending,pending
pmid-38428427,Mediator complex subunit 1 architects a tumorigenic Treg cell program independent of inflammation.,38428427,10.1016/j.xcrm.2024.101441,,2024,metadata_ingested,1060,pending,pending
pmid-38386777,Tissue-Resident Alveolar Macrophages Reduce Ozone-induced Inflammation via MerTK-mediated Efferocytosis.,38386777,10.1165/rcmb.2023-0390OC,,2024,metadata_ingested,1744,pending,pending
pmid-38383504,Novel subtypes of severe COVID-19 respiratory failure based on biological heterogeneity: a secondary analysis of a randomized controlled trial.,38383504,10.1186/s13054-024-04819-0,,2024,metadata_ingested,2511,pending,pending
pmid-38370841,An observational cohort study of bronchoalveolar lavage fluid galactomannan and Aspergillus culture positivity in patients requiring mechanical ventilation.,38370841,10.1101/2024.02.07.24302392,,2024,metadata_ingested,2476,pending,pending
pmid-38370709,Deep mutational scanning reveals functional constraints and antigenic variability of Lassa virus glycoprotein complex.,38370709,10.1101/2024.02.05.579020,,2024,metadata_ingested,1028,pending,pending
pmid-38365222,Culturing the Future of Medicine: The Imperative of Strengthening the Infectious Diseases Physician-Scientist Pipeline.,38365222,10.1093/infdis/jiae074,,2024,metadata_ingested,0,pending,pending
pmid-38360726,Transcriptional profiling of peripheral blood mononuclear cells identifies inflammatory phenotypes in Ataxia Telangiectasia.,38360726,10.1186/s13023-024-03073-5,,2024,metadata_ingested,2088,pending,pending
pmid-38326571,Genome-wide association study identifies human genetic variants associated with fatal outcome from Lassa fever.,38326571,10.1038/s41564-023-01589-3,,2024,metadata_ingested,1155,pending,pending
