paper_id,pmid,year,title,abstract_excerpt,center,pi_candidates,pathogens,viruses,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,review_status,notes
pmid-41805254,41805254,2026,Complete genome sequences of KPC-producing Klebsiella pneumoniae isolates pre- and post-development of meropenem/vaborbactam resistance.,"Klebsiella pneumoniae carbapenemase-producing K. pneumoniae (KPC-Kp) are high-priority pathogens. Although meropenem/vaborbactam is a preferred treatment, resistance can emerge. Two KPC-Kp isolates from the Centers for Disease Control and Prevention(CDC) Antimicrobial Resistan...",SCRIPT,Alan Hauser,klebsiella_pneumoniae,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41794121,41794121,2026,Evaluating the Association Between Patient Priorities and ICU Care Delivery in Adults Receiving Mechanical Ventilation.,"BACKGROUND: Understanding how ICU treatments align with a patient's priorities is crucial to evaluating and improving critical care. Measuring this alignment is challenging, however, because patient priorities evolve over time and are not systematically documented in electroni...",SCRIPT,Richard Wunderink,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41794027,41794027,2026,Dynamics of natural selection preceding human viral epidemics and pandemics.,"Using a phylogenetic framework to characterize natural selection, we investigate the hypothesis that zoonotic viruses require adaptation prior to zoonosis to sustain human-to-human transmission. Examining the zoonotic emergence of Ebola virus, Marburg virus, mpox virus, influe...",CViSB,Kristian Andersen,,sars-cov-2;sars-cov;influenza,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral, sars, cov, influenza",pending,
pmid-41763193,41763193,2026,Microbiologic Diagnosis of Respiratory Infections in Critically Ill Immunocompromised Patients.,"Critically ill, immunocompromised individuals are vulnerable to both common and uncommon etiologies of respiratory infection. Identifying the etiology of infection has therapeutic, prognostic, and public health implications. In some circumstances, immunocompromised patients ma...",,,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,high,recent paper with relevant terms: respiratory infection,pending,
pmid-41711574,41711574,2026,Aminoglycosides enhance meropenem/vaborbactam activity against KPC-producing Klebsiella pneumoniae in the hollow fiber infection model.,"Meropenem/vaborbactam is a preferred treatment option for KPC-producing Klebsiella pneumoniae (KPC-Kp) infections, but clinical cure rates remain suboptimal when it is used alone. This study aimed to assess the pharmacodynamic activity of meropenem/vaborbactam alone and in com...",SCRIPT,Alan Hauser,klebsiella_pneumoniae,influenza,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41663757,41663757,2026,Human CRAMP1 specifically promotes the expression of histone H1 genes.,Proper histone gene expression is critical for cell viability and maintenance of genomic integrity. Multiple histone genes are organized into three genomic loci that encode replication-coupled core and linker histones. Histone gene expression and transcript processing are orch...,,,,,proteomics,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41646792,41646792,2026,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,Community-acquired pneumonia is a major cause of morbidity and mortality globally. Specific molecular endotypes are currently not well defined and different viral or bacterial pathogens may trigger specific host responses and pathogenic mechanisms. We performed longitudinal pr...,SCRIPT,Richard Wunderink,,sars-cov-2;sars-cov;influenza,proteomics,data_or_analysis,candidate,relevant viral/host/pathway terms matched: viral,high,"recent paper with relevant terms: viral, sars, cov, influenza",pending,
pmid-41646725,41646725,2026,Developing and externally validating machine learning models to forecast short-term risk of ventilator-associated pneumonia.,"PURPOSE: Ventilator-associated pneumonia (VAP) remains one of the most serious hospital-acquired infections in the intensive care unit (ICU), with high morbidity and mortality. Early identification of patients at risk for developing VAP could enable timely diagnostics and inte...",SCRIPT,Richard Wunderink,,,clinical_modeling,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41646655,41646655,2026,Synonymous substitution rate slowdown preceding the emergence of SARS-CoV-2 variants and during persistent infections.,"The emergence of variants has shaped the COVID-19 pandemic. The lack of directly observed precursors to these variants has led to proposals that variants emerge from either persistent infections, transmission in non-human animal populations after reverse-zoonosis, or cryptic t...",CViSB,Kristian Andersen,,sars-cov-2;sars-cov,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral, sars, cov",pending,
pmid-41603707,41603707,2026,Complete genome sequences of Staphylococcus aureus isolates with a novel sequence type from a patient with hospital-acquired pneumonia.,"The complete genome of a Staphylococcus aureus isolate causing hospital-acquired pneumonia was sequenced. Genetic changes in subsequent isolates (cultured 8, 20, and 22 days later) from the lungs of the patient were identified. The genome comprised a 2.74 Mb chromosome encodin...",SCRIPT,Richard Wunderink;Alan Hauser,staphylococcus_aureus,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41593502,41593502,2026,Integration of bulk RNA-seq pipeline metrics for assessing low-quality samples.,"BACKGROUND: With the rise of RNA-seq as an essential and ubiquitous tool for biomedical research, the need for guidelines on quality control (QC) is pressing. Specifically, there remains limited data as to which technical metrics are most informative in identifying low-quality...",,,,,transcriptomics;clinical_modeling,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41460103,41460103,2026,Pharmacokinetic-pharmacodynamic target attainment with continuous infusion piperacillin in patients admitted to the ICU with hospital-acquired pneumonia.,"Optimizing β-lactam antibiotic exposure in critically ill patients with hospital-acquired pneumonia (HAP) remains a challenge due to significant pharmacokinetic variability, particularly in the setting of renal dysfunction and replacement therapies. Continuous infusion (CI) of...",SCRIPT,Alan Hauser;Richard Wunderink,,influenza,clinical_modeling,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41460101,41460101,2026,Critical threshold target attainment rates for tazobactam combined with piperacillin among patients admitted to the ICU with hospital-acquired pneumonia.,"Optimizing antibiotic exposures in hospital-acquired pneumonia (HAP) is crucial; however, dosing decisions often overlook target levels for the beta-lactamase inhibitor tazobactam (TAZ), and the impact of renal dysfunction and renal replacement therapy on TAZ pharmacokinetics...",SCRIPT,Alan Hauser;Richard Wunderink,,influenza,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41429578,41429578,2026,The Sixth Annual Symposium of the Midwest Aging Consortium.,"Geroscience research benefits from interdisciplinary approaches, team science, and collaborations, which collectively facilitate the discovery of aging mechanisms and their translation into tangible, clinical interventions. Since its inception in 2019, the Midwest Aging Consor...",,,,,transcriptomics;metabolomics,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-41384839,41384839,2026,Maternal proteome profiling reveals dynamic gestational age-specific responses to de novo vaccination.,Pregnancy is characterized by dynamic immunological adaptations which are essential for maintaining both maternal and fetal health. The first-time use of coronavirus disease 2019 (COVID-19) vaccines in pregnant individuals presented an opportunity to discover pregnancy-specifi...,,,,sars-cov-2,proteomics,data_or_analysis,candidate,relevant viral/host/pathway terms matched: proteome,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-40700713,40700713,2026,Multi-Omic and Single-Cell Approaches for Elucidating Cell Biology and Pathobiology of Lung Disease.,"In this Perspective, we review the major themes from a Basic Science Core session at the American Thoracic Society 2024 International Conference: multi-omic and single-cell approaches for elucidating cellular biology and pathobiology of lung disease, with a focus on novel biol...",,,,,,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,recent paper but no strong viral/pathway keywords matched,pending,
pmid-42002983,42002983,2025,Evaluation of antigen and antibody assays for surveillance of Lassa virus in peri-domestic rodents in southeastern Sierra Leone: a cross-sectional study.,"BACKGROUND: Lassa fever, caused by Lassa mammarenavirus (LASV), is a rodent-borne disease endemic to west Africa. Zoonotic surveillance of LASV provides epidemiological insights into its potential presence. We aimed to assess LASV antigen and antibody prevalence in peri-domest...",CViSB,Donald S Grant;Kristian Andersen;Robert Garry,,,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,medium,older paper with relevant terms: virus,pending,
pmid-41472675,41472675,2025,Rational Design of Multiclade Coronavirus Spike Immunodominant Domain Nanoparticles to Elicit Broad Antibody Responses.,"Four seasonal endemic human coronaviruses (HCoVs), HCoV-HKU1, HCoV-OC43, HCoV-229E, and HCoV-NL63, are culprits of mild upper respiratory and periodic severe diseases in vulnerable populations. Despite their prevalence, understanding HCoVs' antigenic and immune signatures rema...",CViSB,Ryan McNamara,,sars-cov-2;sars-cov,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: coronavirus,pending,
pmid-41415465,41415465,2025,Influenza A infection accelerates disease-associated microglia formation during physiological aging.,"Severe pneumonia is associated with an increased risk of cognitive decline and dementia, particularly in the elderly. Changes in microglia, the most abundant immune cell population in the brain, are also associated with cognitive decline and dementia, including the emergence o...",CViSB,Donald S Grant,,influenza,transcriptomics;metabolomics,data_or_analysis,candidate,relevant viral/host/pathway terms matched: virus,medium,older paper with relevant terms: virus,pending,
pmid-41380668,41380668,2025,Transitions in lung microbiota landscape associate with distinct patterns of pneumonia progression.,"The precise microbial determinants driving clinical outcomes in severe pneumonia are unknown. Competing ecological forces produce dynamic microbiota states in health and disease, and a more thorough understanding of these states has the potential to improve pneumonia therapy....",SCRIPT,Alan Hauser;Richard Wunderink,,,transcriptomics,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: host,pending,
pmid-41332588,41332588,2025,Unconventional linkers facilitate potent stabilized coronavirus stem antibody responses following nanoparticle vaccination.,"Vaccine technologies that protect against a range of related pathogens within viral families, such as human immunodeficiency virus (HIV), influenza, and coronaviruses (CoVs) represent the future of viral vaccine development. Towards developing broad-spectrum CoV and influenza...",CViSB,Ryan McNamara,,sars-cov-2;sars-cov;mers-cov;influenza;hiv,,primary_research,high,explicit cross-virus/shared-host language: broad-spectrum,medium,"older paper with relevant terms: virus, viral, coronavirus",pending,
pmid-41282925,41282925,2025,Microbial cell-free DNA sequencing of bronchoalveolar lavage fluid improves diagnostic yield and may add clinical utility in immunocompromised patients with severe pneumonia.,"BACKGROUND: Despite sophisticated standard of care (SOC) testing (including bronchoalveolar lavage (BAL) fluid culture and multiplex PCR), the etiology of pneumonia in immunocompromised patients is frequently unknown. Microbial cell-free DNA (mcfDNA) sequencing increases diagn...",SCRIPT,Richard Wunderink,,influenza,,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-41280073,41280073,2025,Umbilical Cord Blood Cell Transcriptional and Methylation Signatures at Birth Are Associated with BPD Development.,"Bronchopulmonary dysplasia (BPD) is the most common respiratory disease in preterm infants born at less than 28 weeks gestation. Most existing clinical prediction models for BPD show limited accuracy in predicting BPD development when validated using external data, stressing t...",,,,,transcriptomics;epigenomics,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-41279404,41279404,2025,GhostFold: Accurate protein structure prediction using structure-constrained synthetic coevolutionary signals.,"The accuracy of protein structure prediction models such as AlphaFold2 is tightly coupled to the depth and quality of multiple sequence alignments (MSAs), posing a persistent challenge for proteins with few or no identifiable homologs. We present GhostFold, a method for conjur...",,,,influenza,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-41278889,41278889,2025,Biologically informed neural network models are robust to spurious interactions via self-pruning.,Computational models of cellular networks hold promise to uncover disease mechanisms and guide therapeutic strategies. Biology-informed neural networks (BINNs) is an emerging approach to create such models by combining the predictive power of deep learning with prior knowledge...,,,,,clinical_modeling,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-41278878,41278878,2025,A Single-Cell Atlas of Transcriptional and Immunoglobulin Repertoire Evolution in Early B Cell Development.,"The development of human B cells in the bone marrow can be separated into functionally and transcriptionally distinct subsets, which while canonically described have yet to be profiled deeply and individually and with NGS and bioinformatic techniques. In this study, single-cel...",,,,influenza,transcriptomics,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-41256685,41256685,2025,Multivariate analysis of glycogenes reveals coordinated regulation of immunoglobulin glycosylation in an immortalized human B cell system.,"While neutralizing ability has traditionally been considered the most important antibody function, appreciation has grown for Fc-mediated 'extra-neutralizing' functions, which are shaped by IgG glycosylation. However, there remain fundamental questions as to how B lymphocytes...",,,,,transcriptomics;clinical_modeling,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-41256554,41256554,2025,Rational Design of Multiclade Coronavirus Spike Immunodominant Domain Nanoparticles to Elicit Broad Antibody Responses.,"Four seasonal endemic human coronaviruses (EhCoVs), HKU1-CoV, OC43-CoV, 229E-CoV, and NL63-CoV, are culprits of mild upper respiratory and periodic severe diseases in vulnerable populations. Despite their prevalence, understanding EhCoVs' antigenic and immune signatures remain...",CViSB,Ryan McNamara,,sars-cov-2;sars-cov,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: coronavirus,pending,
pmid-41162684,41162684,2025,Systematic data capture reduces the need for source data verification: exploratory analysis from a phase 2 multicenter randomized controlled platform trial.,"BACKGROUND: The COVID-19 pandemic gave rise to clinical trials focused on systematic, accurate primary data capture, and reduced reliance on source data verification (SDV). Here, we report on a natural experiment that allowed us to assess the quality, cost, and impact of this...",,,,sars-cov-2,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-41157585,41157585,2025,Intra-Host Evolution of SARS-CoV-2 During Persistent Infection of Pediatric COVID-19 Patients.,"The Coronavirus disease 2019 (COVID-19) pandemic had a profound global impact, yet children exhibited distinct clinical and epidemiological patterns compared to adults. Pediatric cases of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) were generally characterized...",,,,sars-cov-2;sars-cov,,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral, host, coronavirus",pending,
pmid-41091914,41091914,2025,An intramuscular prime and mucosal boost vaccine regimen protects against lethal clade 2.3.4.4b H5N1 challenge in cynomolgus macaques.,The H5N1 clade 2.3.4.4b avian influenza virus outbreak in poultry and dairy cattle is a potential pandemic threat for humans. A safe and effective H5N1 influenza vaccine will be needed if the virus acquires the capacity for efficient human-to-human transmission and may also be...,CViSB,Kristian Andersen;Ryan McNamara,,influenza,,primary_research,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral",pending,
pmid-40997178,40997178,2025,From reactive to proactive: Continuous protein monitoring for preventive health care.,"Continuous biomarker monitoring is revolutionizing chronic disease management, with glucose monitoring for diabetes as the primary example. Given the success of this approach, a transition to continuous protein monitoring (CPM, a real-time, implantable or wearable technology)...",,,,,clinical_modeling,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-40986708,40986708,2025,A Cornucopia of Plasma Proteomics in Moderate-Severity Community-acquired Pneumonia.,,SCRIPT,Richard Wunderink,,,proteomics,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-40977378,40977378,2025,Large language models accurately identify immunosuppression in intensive care unit patients.,OBJECTIVE: Rule-based structured data algorithms and natural language processing (NLP) approaches applied to unstructured clinical notes have limited accuracy and poor generalizability for identifying immunosuppression. Large language models (LLMs) may effectively identify pat...,SCRIPT,Richard Wunderink,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-40964040,40964040,2025,Versatile wastewater monitoring of pathogens and antimicrobial resistance enabled by metatranscriptomics and long-read metagenomics.,Widespread interest in the development of population-wide pathogen and antimicrobial resistance (AMR) monitoring has revealed wastewater's microbial footprint as a marker of public health. Near-source wastewater remains a difficult sample type for microbiome analyses but repre...,CViSB,Kristian Andersen,,,transcriptomics,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: pathogen,pending,
pmid-40963760,40963760,2025,Cryptic spread of SARS-CoV-2 undermined targeted travel restrictions.,"The effectiveness of travel restrictions in mitigating the spread of novel viral variants remains understudied, particularly in regions with sparse genomic surveillance. We evaluated the efficacy of these restrictions in Western Asia, where countries sequenced less than one pe...",CViSB,Kristian Andersen,,sars-cov-2;sars-cov,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,medium,older paper with relevant terms: viral,pending,
pmid-40962430,40962430,2025,Multi-omics profiling in severe pneumonia: the importance of robust study design.,"In this issue of the European Respiratory Journal, Fennell and co-workers report a robust, well-designed study characterising the lung microenvironment of SARS-CoV-2 pneumonia https://bit.ly/4iJbN1d",,,,sars-cov-2;sars-cov,,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-40962401,40962401,2025,"Five-decade prevalence of delirium in pneumonia, risk factors and associated mortality: a systematic review and meta-analysis.","BACKGROUND: Delirium can occur in patients with pneumonia, but its prevalence is inconsistent across studies. Unreliable estimates and uncertainty regarding the significance of patient-specific versus microbiological risk factors hinder delirium management and prognosis. Here,...",SCRIPT,Richard Wunderink,,sars-cov-2,,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-40956625,40956625,2025,Maintenance DNA methylation is required for induced Treg reparative function following viral pneumonia in mice.,"FOXP3+ natural regulatory T cells (nTregs) promote resolution of inflammation and repair of epithelial damage following viral pneumonia-induced lung injury, thus representing a cellular therapy for patients with severe viral pneumonia and the acute respiratory distress syndrom...",,,,influenza,epigenomics,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral",pending,
pmid-40950134,40950134,2025,Data-optimal scaling of paired antibody language models.,"Scaling laws for large language models in natural language domains are typically derived under the assumption that performance is primarily compute-constrained. In contrast, antibody language models (AbLMs) trained on paired sequences are primarily data-limited, thus requiring...",,,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-40934267,40934267,2025,A curriculum learning approach to training antibody language models.,"There is growing interest in pre-training antibody language models (AbLMs) with a mixture of unpaired and natively paired sequences, seeking to combine the proven benefits of training with natively paired sequences with the massive scale of unpaired antibody sequence datasets....",,,,,,methods,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-40931632,40931632,2025,"Welsh, González, and Negulescu share Lasker Award recognizing transformative treatments for people with cystic fibrosis.",,,,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-40844272,40844272,2025,Recent advances in the inference of deep viral evolutionary history.,"The rapid rate of virus evolution, while useful for outbreak investigations, poses a challenge for accurately estimating long-term viral evolutionary divergence and leaves us with little genomic traces at deep evolutionary timescales, complicating the reconstruction of deep vi...",,,,,,review,candidate,"relevant viral/host/pathway terms matched: virus, viral",medium,"older paper with relevant terms: virus, viral, host",pending,
pmid-40832362,40832362,2025,Profibrotic monocyte-derived alveolar macrophages as a biomarker and therapeutic target in systemic sclerosis-associated interstitial lung disease.,Interstitial lung disease (ILD) is present in over 60% of patients with systemic sclerosis (SSc) and is the leading cause of SSc-related deaths. Profibrotic monocyte-derived alveolar macrophages (MoAM) play a causal role in the pathogenesis of pulmonary fibrosis in animal mode...,,,,influenza,transcriptomics,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-40796194,40796194,2025,Infinite Mixture Models for Improved Modeling of Across-Site Evolutionary Variation.,"Scientific studies in many areas of biology routinely employ evolutionary analyses based on inference of phylogenetic trees from molecular sequence data. Evolutionary processes that act at the molecular level are highly variable, and properly accounting for heterogeneity is cr...",,,,,,primary_research,candidate,relevant viral/host/pathway terms matched: viral,medium,older paper with relevant terms: viral,pending,
pmid-40791728,40791728,2025,Development of a pilot machine learning model to predict successful cure in critically ill patients with community-acquired pneumonia.,"Severe community-acquired pneumonia (CAP) remains a major cause of critical illness, yet there are no validated early clinical criteria to predict short-term treatment outcomes in these patients. Short-term pneumonia treatment outcomes are less affected by confounding factors...",SCRIPT,Richard Wunderink,,,clinical_modeling,review,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
pmid-40786117,40786117,2025,Zigzag path connects two Monte Carlo samplers: Hamiltonian counterpart to a piecewise deterministic Markov process.,"Zigzag and other piecewise deterministic Markov process samplers have attracted significant interest for their non-reversibility and other appealing properties for Bayesian posterior computation. Hamiltonian Monte Carlo is another state-of-the-art sampler, exploiting fictitiou...",,,,hiv,,primary_research,candidate,relevant viral/host/pathway terms matched: virus,medium,older paper with relevant terms: virus,pending,
pmid-40778124,40778124,2025,"Real-time, multi-pathogen wastewater genomic surveillance with Freyja 2.","Case-based infectious disease surveillance is fundamental to public health, but is resource-intensive, logistically complex, and prone to sampling bias. Wastewater testing and sequencing have increasingly been used for population-scale monitoring of pathogen dynamics, includin...",CViSB,Kristian Andersen,,sars-cov-2;influenza,,data_or_analysis,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,medium,older paper with relevant terms: pathogen,pending,
pmid-40758886,40758886,2025,"The entities enabling scientific fraud at scale are large, resilient, and growing rapidly.","Science is characterized by collaboration and cooperation, but also by uncertainty, competition, and inequality. While there has always been some concern that these pressures may compel some to defect from the scientific research ethos-i.e., fail to make genuine contributions...",,,,,,primary_research,unknown,no explicit cross-virus or strong viral host-mechanism terms matched,low,no strong literature-priority keywords matched,pending,
