source_collection,paper_id,pmid,doi,year,center,title,pi_candidates,subset_reason,virus_or_pathogen,assay_types,cross_virus_relevance,priority
pi-backlog,pmid-41654489,41654489,10.1038/s41398-026-03884-z,2026,SYBIL,Prenatal and postnatal effects of gestational immune activation on synaptic and neurodevelopmental pathways via epigenetic mechanisms.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, influenza, transcriptome",influenza,transcriptomics;epigenomics;network_modeling,candidate,high
pi-backlog,pmid-41554267,41554267,10.1016/S2468-1253(25)00293-6,2026,SYBIL,"ALG-000184 (pevifoscorvir sodium) monotherapy in participants with chronic HBV infection: a phase 1, multicentre, randomised, dose escalation trial.",Sumit Chanda,"viral context plus mechanism/resource terms: virus, pathway",,,candidate,high
pi-backlog,pmid-41548573,41548573,10.1002/jbio.70219,2026,SYBIL,Biomolecular Fingerprint of Crohn's Disease: A Comparative Raman Spectroscopic Study of Blood and Tissue Samples.,Sumit Chanda,explicit cross-virus or shared-host framing in title/abstract,,,high,low
pi-backlog,pmid-41459948,41459948,10.1128/jvi.01774-25,2026,SYBIL,Disease modulation by TIV vaccination during secondary pneumococcal infections in influenza-infected mice.,Michael Schotsaert,"viral context plus mechanism/resource terms: virus, viral, influenza, host response",influenza,,candidate,high
hpmi,pmid-42149727,42149727,10.7554/eLife.82289,2026,HPMI,Cas9(+) conditionally immortalized neutrophil progenitors as a tool for genome-wide CRISPR screening for neutrophil differentiation and function.,,candidate relevance plus virus/pathogen/assay support,,crispr_screen;genome_editing,candidate,high
hpmi,pmid-42134328,42134328,10.1016/j.chom.2026.04.015,2026,HPMI,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential.,,explicit cross-virus/shared-host signal,sars-cov-2;sars-cov;coronavirus;influenza,protein_interaction_mapping;proteomics,high,high
hpmi,pmid-41688792,41688792,10.1038/s44318-026-00715-1,2026,HPMI,Membrane-associated effluxosomes coordinate multi-metal resistance in Mycobacterium tuberculosis.,,candidate relevance plus virus/pathogen/assay support,influenza;mycobacterium_tuberculosis,,candidate,high
hpmi,pmid-41676649,41676649,10.1101/2024.03.05.583578,2026,HPMI,Regulation of virion production by the ORF8 signal peptide across SARS-CoV-2 variants.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,high
hpmi,pmid-41555498,41555498,10.1093/bioinformatics/btag031,2026,HPMI,textToKnowledgeGraph: generation of molecular interaction knowledge graphs using large language models for exploration in Cytoscape.,,candidate relevance plus virus/pathogen/assay support,,structural_biology,candidate,medium
current-program,pmid-42258748,42258748,10.1172/jci.insight.203056,2026,CViSB,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,Donald S Grant;Richard Wunderink,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,proteomics,candidate,high
current-program,pmid-42182519,42182519,10.64898/2026.05.12.724509,2026,SCRIPT,Pathogen-specific host responses define distinct pneumonia endotypes in the human lung.,Richard Wunderink,candidate relevance plus virus/pathogen/assay support,sars-cov-2;influenza,transcriptomics;clinical_modeling,candidate,high
current-program,pmid-42179346,42179346,10.1093/jimmun/vkag106,2026,CViSB,"A multiplexed, systems-based approach for prediction of antibody neutralization breadth for soluble human receptors.",Ryan McNamara,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,high
current-program,pmid-41794027,41794027,10.1016/j.cell.2026.02.006,2026,CViSB,Dynamics of natural selection preceding human viral epidemics and pandemics.,Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,high
current-program,pmid-41646792,41646792,10.64898/2026.01.12.26343938,2026,SCRIPT,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,Richard Wunderink,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,proteomics,candidate,high
current-program,pmid-41646655,41646655,10.64898/2026.01.26.26344861,2026,CViSB,Synonymous substitution rate slowdown preceding the emergence of SARS-CoV-2 variants and during persistent infections.,Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,high
current-program,pmid-41384839,41384839,10.1093/jimmun/vkaf298,2026,,Maternal proteome profiling reveals dynamic gestational age-specific responses to de novo vaccination.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2,proteomics,candidate,medium
pi-backlog,pmid-41568362,41568362,10.3389/fonc.2025.1717031,2025,CViSB,Identification of the HMGA2::CIBAR1-DT fusion transcript in two lipomas with chromosomal rearrangements involving chromosomes 8 and 12.,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
pi-backlog,pmid-41436260,41436260,10.1136/bmjopen-2025-104843,2025,CViSB,"Understanding the pathogenesis of uveitis in Ebola virus disease survivors: an observational cohort and cross-sectional study protocol for clinical, molecular virologic and immunologic characterisation.",Donald S Grant,"viral context plus mechanism/resource terms: virus, viral, interaction",influenza,,candidate,high
pi-backlog,pmid-41279668,41279668,10.1101/2025.10.16.682853,2025,SYBIL,Disease modulation by TIV vaccination during secondary pneumococcal infections in influenza-infected mice.,Michael Schotsaert,"viral context plus mechanism/resource terms: virus, viral, influenza, host response",influenza,,candidate,high
pi-backlog,pmid-41142120,41142120,10.1016/j.isci.2025.113644,2025,SYBIL,Integrative multi-omics analysis in vivo identifies influenza virus host factors.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, dependency, network",influenza,metabolomics;network_modeling,candidate,high
pi-backlog,pmid-41141506,41141506,10.1016/j.ekir.2025.07.021,2025,SYBIL,Liquid Biopsy-Multiomics Link Adhesion Pathway Dysregulation to Kidney Injury Severity.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: sars, pathway, interaction, proteomics",sars-cov-2;sars-cov,proteomics;transcriptomics,candidate,high
pi-backlog,pmid-40909530,40909530,10.1101/2025.08.21.671587,2025,SYBIL,Single-Cell Network Analysis Identifies CLEC4E as a Key Mediator of Proinflammatory mDC Responses in Influenza Infection.,Adolfo Garcia-Sastre;Michael Schotsaert,"viral context plus mechanism/resource terms: virus, viral, influenza, network",influenza,transcriptomics;network_modeling,candidate,high
pi-backlog,pmid-40802739,40802739,10.1126/scitranslmed.adx5758,2025,SYBIL,An mRNA-based broad-spectrum antiviral inspired by ISG15 deficiency protects against viral infections in vitro and in vivo.,Adolfo Garcia-Sastre,explicit cross-virus or shared-host framing in title/abstract,sars-cov-2;sars-cov;coronavirus;influenza;zika,,high,high
pi-backlog,pmid-40766693,40766693,10.1101/2025.07.26.666918,2025,SYBIL;HPMI,Coronavirus protein interaction mapping in bat and human cells identifies molecular and genetic switches for immune evasion and replication.,Adolfo Garcia-Sastre;Melanie Ott,explicit cross-virus or shared-host framing in title/abstract,sars-cov-2;sars-cov;coronavirus;influenza,proteomics,high,high
pi-backlog,pmid-40758871,40758871,10.1073/pnas.2423066122,2025,SYBIL,Influenza A virus NS1 protein mimics oncogenic PI3K resulting in isoform specific cellular redistribution and activation.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, interaction",influenza,network_modeling,candidate,high
pi-backlog,pmid-40719420,40719420,10.1002/pro.70217,2025,HPMI,Recognizing amino acid sidechains in a medium-resolution cryo-electron density map.,Andrej Sali,"viral context plus mechanism/resource terms: coronavirus, network",coronavirus,network_modeling,unknown,low
pi-backlog,pmid-40687705,40687705,10.3389/fmed.2025.1604388,2025,UCLA-Persistent-BSI,Baseline predictors for 28-day COVID-19 severity and mortality among hospitalized patients: results from the IMPACC study.,Elaine Reed,"viral context plus mechanism/resource terms: viral, coronavirus, sars, proteomics, host response",sars-cov-2;sars-cov;coronavirus,proteomics;transcriptomics;metabolomics;network_modeling,candidate,high
pi-backlog,pmid-40654703,40654703,10.1101/2024.12.10.627859,2025,HPMI,Recognizing amino acid sidechains in a medium resolution cryo-electron density map.,Andrej Sali,"viral context plus mechanism/resource terms: sars, network",sars-cov-2;sars-cov,network_modeling,unknown,low
pi-backlog,pmid-40627391,40627391,10.1073/pnas.2424367122,2025,SYBIL,BIK polymorphism and proteasome regulation unveil host risk factor for severe influenza.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, influenza, interaction",influenza,,candidate,high
pi-backlog,pmid-40585204,40585204,10.21203/rs.3.rs-6875205/v1,2025,UCLA-Persistent-BSI,Empiric Azithromycin in COVID-19 Impacts the Respiratory Microbiome and Antimicrobial Resistome without Anti-inflammatory Benefit.,Elaine Reed,"viral context plus mechanism/resource terms: viral, sars, transcriptome",sars-cov-2;sars-cov,transcriptomics,candidate,high
pi-backlog,pmid-40504864,40504864,10.1371/journal.pbio.3002738,2025,SYBIL;HPMI,Global siRNA screen identifies human host factors critical for SARS-CoV-2 replication and late stages of infection.,Adolfo Garcia-Sastre;Trey Ideker,"viral context plus mechanism/resource terms: virus, viral, coronavirus, sars, pathway, dependency",sars-cov-2;sars-cov;mers-cov;coronavirus,crispr_screen;proteomics,candidate,high
pi-backlog,pmid-40494346,40494346,10.1016/j.cell.2025.05.012,2025,HPMI,Neuroendocrine cells orchestrate regeneration through Desert hedgehog signaling.,Melanie Ott,"viral context plus mechanism/resource terms: influenza, sars, pathway",sars-cov-2;sars-cov;influenza,,candidate,high
pi-backlog,pmid-40475131,40475131,10.1101/2025.05.19.25327799,2025,CViSB,"Understanding the pathogenesis of uveitis in Ebola virus disease survivors: a study protocol for clinical, molecular virologic, and immunologic characterization.",Donald S Grant,"viral context plus mechanism/resource terms: virus, viral, interaction",influenza,,candidate,high
pi-backlog,pmid-40378209,40378209,10.1126/sciadv.adu2079,2025,SYBIL,Identification and targeting of regulators of SARS-CoV-2-host interactions in the airway epithelium.,Adolfo Garcia-Sastre;Michael Schotsaert,"viral context plus mechanism/resource terms: virus, viral, sars, network, host response",sars-cov-2;sars-cov,crispr_screen;transcriptomics;epigenomics;network_modeling,candidate,high
pi-backlog,pmid-40267184,40267184,10.1126/sciadv.adt7836,2025,HPMI,"Structure-based discovery of highly bioavailable, covalent, broad-spectrum coronavirus M(Pro) inhibitors with potent in vivo efficacy.",Melanie Ott,explicit cross-virus or shared-host framing in title/abstract,sars-cov-2;sars-cov;coronavirus,,high,high
pi-backlog,pmid-40037847,40037847,10.21873/anticanres.17479,2025,CViSB,Cryptic Rearrangement of the KMT2A Gene in a B-cell Acute Lymphoblastic Leukemia.,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
pi-backlog,pmid-40035960,40035960,10.1007/s11033-025-10378-6,2025,SYBIL,A detailed comparative in silico and functional analysis of ccd1 gene in maize gives new insights of its expression and functions.,Sumit Chanda,explicit cross-virus or shared-host framing in title/abstract,,,high,low
pi-backlog,pmid-40013775,40013775,10.1128/jvi.00052-25,2025,SYBIL,Pandemic risk stemming from the bovine H5N1 outbreak: an account of the knowns and unknowns.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, influenza, network",influenza,network_modeling,candidate,high
pi-backlog,pmid-39978373,39978373,10.1016/S1473-3099(25)00068-4,2025,SYBIL,Europe needs a sustainably funded influenza research and response network.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: influenza, network",influenza,network_modeling,unknown,low
pi-backlog,pmid-39975920,39975920,10.21203/rs.3.rs-5760877/v1,2025,SYBIL,Muscle macrophage regenerative response after squalene-adjuvanted influenza vaccination drives Th2-skewed response and is reduced with age.,Michael Schotsaert,"viral context plus mechanism/resource terms: virus, viral, influenza, host response",influenza,,candidate,high
pi-backlog,pmid-39652575,39652575,10.1158/0008-5472.CAN-24-0456,2025,HPMI,HBV Remodels PP2A Complexes to Rewire Kinase Signaling in Hepatocellular Carcinoma.,Trey Ideker,"viral context plus mechanism/resource terms: virus, interaction, network",influenza,proteomics;network_modeling,candidate,high
hpmi,pmid-41392175,41392175,10.1038/s41467-025-67455-4,2025,HPMI,A non-spike nucleocapsid R204P mutation in SARS-CoV-2 Omicron XEC enhances inflammation and pathogenicity.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,high
hpmi,pmid-41256720,41256720,10.1101/2025.09.26.678671,2025,HPMI,Genome-wide screen in Mycobacterium tuberculosis infected macrophages reveals innate regulation of antibacterial mediators by IRF2.,,candidate relevance plus virus/pathogen/assay support,influenza;mycobacterium_tuberculosis,crispr_screen,candidate,high
hpmi,pmid-41249169,41249169,10.1038/s41467-025-66058-3,2025,HPMI,Characterizing and controlling CRISPR repair outcomes in nondividing human cells.,,candidate relevance plus virus/pathogen/assay support,,genome_editing,candidate,medium
hpmi,pmid-41208107,41208107,10.1093/immhor/vlaf051,2025,HPMI,Shared and distinct responses of human and murine alveolar macrophages and monocyte-derived macrophages to Mycobacterium tuberculosis.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_tuberculosis,,candidate,high
hpmi,pmid-41171885,41171885,10.1371/journal.ppat.1012829,2025,HPMI,Mycobacterium tuberculosis triggers reduced inflammatory cytokine responses and virulence in mice lacking Tax1bp1.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_tuberculosis,,candidate,high
hpmi,pmid-41165411,41165411,10.1128/jb.00287-25,2025,HPMI,The mevalonate pathway of isoprenoid biosynthesis supports metabolic flexibility in Mycobacterium marinum.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_marinum,,candidate,high
hpmi,pmid-41034576,41034576,10.1038/s41586-025-09569-9,2025,HPMI,A miniature CRISPR-Cas10 enzyme confers immunity by inhibitory signalling.,,candidate relevance plus virus/pathogen/assay support,influenza,structural_biology,candidate,high
hpmi,pmid-40777401,40777401,10.1101/2025.07.23.664455,2025,HPMI,Human iPSC derived alveolar macrophages reveal macrophage subtype specific functions of itaconate in M. tuberculosis host defense.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_tuberculosis,,candidate,high
hpmi,pmid-40777357,40777357,10.1101/2025.07.17.664328,2025,HPMI,textToKnowledgeGraph: Generation of Molecular Interaction Knowledge Graphs Using Large Language Models for Exploration in Cytoscape.,,candidate relevance plus virus/pathogen/assay support,,structural_biology,candidate,medium
hpmi,pmid-40766380,40766380,10.1101/2025.07.28.667291,2025,HPMI,"An unusual genetic switch controls Mycobacterium avium pathogenesis, antibiotic resistance and colony morphology.",,candidate relevance plus virus/pathogen/assay support,,transcriptomics,candidate,high
hpmi,pmid-40672248,40672248,10.1101/2025.07.11.664281,2025,HPMI,The mevalonate pathway of isoprenoid biosynthesis supports metabolic flexibility in Mycobacterium marinum.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_marinum,,candidate,high
hpmi,pmid-40671523,40671523,10.1093/nar/gkaf649,2025,HPMI,Directed evolution expands CRISPR-Cas12a genome-editing capacity.,,candidate relevance plus virus/pathogen/assay support,,genome_editing,candidate,high
hpmi,pmid-40579228,40579228,10.1093/bioinformatics/btaf349,2025,HPMI,Inference of differential kinase interaction networks with KINference.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,proteomics,candidate,high
hpmi,pmid-40502047,40502047,10.1101/2025.05.28.656516,2025,HPMI,A non-spike nucleocapsid R204P mutation in SARS-CoV-2 Omicron XEC enhances inflammation and pathogenicity.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,high
hpmi,pmid-40402573,40402573,10.1172/JCI179822,2025,HPMI,Myeloid cell genome-wide screen identifies variants associated with Mycobacterium tuberculosis-induced cytokine transcriptional responses.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_tuberculosis,transcriptomics,candidate,high
hpmi,pmid-40163530,40163530,10.1371/journal.ppat.1013020,2025,HPMI,Enhanced RNA replication and pathogenesis in recent SARS-CoV-2 variants harboring the L260F mutation in NSP6.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,high
hpmi,pmid-40093075,40093075,10.1101/2025.02.28.640814,2025,HPMI,Shared and distinct responses of human and murine alveolar macrophages and monocyte-derived macrophages to Mycobacterium tuberculosis.,,candidate relevance plus virus/pathogen/assay support,mycobacterium_tuberculosis,,candidate,high
hpmi,pmid-40025722,40025722,10.1021/acs.jproteome.4c01040,2025,HPMI,Affinity Purification Mass Spectrometry on the Orbitrap-Astral Mass Spectrometer Enables High-Throughput Protein-Protein Interaction Mapping.,,candidate relevance plus virus/pathogen/assay support,,protein_interaction_mapping;proteomics,candidate,high
hpmi,pmid-39990302,39990302,10.1101/2025.02.11.637750,2025,HPMI,Mutational scanning of TnpB reveals latent activity for genome editing.,,candidate relevance plus virus/pathogen/assay support,,genome_editing,candidate,medium
hpmi,pmid-39969084,39969084,10.1002/pro.70050,2025,HPMI,Torsional twist of the SARS-CoV and SARS-CoV-2 SUD-N and SUD-M domains.,,explicit cross-virus/shared-host signal,sars-cov-2;sars-cov;coronavirus,structural_biology,high,high
hpmi,pmid-39966655,39966655,10.1038/s41587-024-02540-5,2025,HPMI,Single-molecule live-cell RNA imaging with CRISPR-Csm.,,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
hpmi,pmid-39698811,39698811,10.1093/nar/gkae1192,2025,HPMI,CRISPR-Cas12a bends DNA to destabilize base pairs during target interrogation.,,candidate relevance plus virus/pathogen/assay support,influenza,structural_biology;genome_editing,candidate,medium
hpmi,pmid-39415058,39415058,10.1038/s41587-024-02437-3,2025,HPMI,Lung and liver editing by lipid nanoparticle delivery of a stable CRISPR-Cas9 ribonucleoprotein.,,candidate relevance plus virus/pathogen/assay support,,genome_editing,candidate,high
hpmi,pmid-38979269,38979269,10.1101/2024.06.25.600517,2025,HPMI,Neuronal DNA repair reveals strategies to influence CRISPR editing outcomes.,,candidate relevance plus virus/pathogen/assay support,influenza,genome_editing,candidate,medium
current-program,pmid-41415465,41415465,10.64898/2025.12.11.693336,2025,CViSB,Influenza A infection accelerates disease-associated microglia formation during physiological aging.,Donald S Grant,candidate relevance plus virus/pathogen/assay support,influenza,transcriptomics;metabolomics,candidate,medium
current-program,pmid-41332588,41332588,10.1101/2025.11.19.689216,2025,CViSB,Unconventional linkers facilitate potent stabilized coronavirus stem antibody responses following nanoparticle vaccination.,Ryan McNamara,explicit cross-virus/shared-host signal,sars-cov-2;sars-cov;mers-cov;influenza;hiv,,high,medium
current-program,pmid-41157585,41157585,10.3390/v17101313,2025,,Intra-Host Evolution of SARS-CoV-2 During Persistent Infection of Pediatric COVID-19 Patients.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-41091914,41091914,10.1126/scitranslmed.ady2282,2025,CViSB,An intramuscular prime and mucosal boost vaccine regimen protects against lethal clade 2.3.4.4b H5N1 challenge in cynomolgus macaques.,Kristian Andersen;Ryan McNamara,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
current-program,pmid-40963760,40963760,10.1101/2025.08.29.25334701,2025,CViSB,Cryptic spread of SARS-CoV-2 undermined targeted travel restrictions.,Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-40956625,40956625,10.1172/JCI192925,2025,,Maintenance DNA methylation is required for induced Treg reparative function following viral pneumonia in mice.,,candidate relevance plus virus/pathogen/assay support,influenza,epigenomics,candidate,medium
current-program,pmid-40786117,40786117,10.1080/01621459.2024.2395587,2025,,Zigzag path connects two Monte Carlo samplers: Hamiltonian counterpart to a piecewise deterministic Markov process.,,candidate relevance plus virus/pathogen/assay support,hiv,,candidate,medium
current-program,pmid-40632835,40632835,10.1126/scitranslmed.adu7646,2025,CViSB,Adenovirus and mRNA vaccines as well as mucosal boosting improve protective efficacy against influenza virus challenge in macaques.,Kristian Andersen;Ryan McNamara,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
current-program,pmid-40569388,40569388,10.1073/pnas.2506743122,2025,,Comparative performance of viral landscape phylogeography approaches.,,explicit cross-virus/shared-host signal,,,high,medium
current-program,pmid-40447716,40447716,10.1038/s43856-025-00912-9,2025,,"International importance and spread of SARS-CoV-2 variants Alpha, Delta, and Omicron BA.1 into Spain.",,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,medium
current-program,pmid-40339581,40339581,10.1016/j.cell.2025.03.035,2025,,The recency and geographical origins of the bat viruses ancestral to SARS-CoV and SARS-CoV-2.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
current-program,pmid-40196585,40196585,10.1101/2025.03.24.645003,2025,,Comparative performance of novel viral landscape phylogeography approaches.,,explicit cross-virus/shared-host signal,,,high,medium
current-program,pmid-40133528,40133528,10.1038/s41591-025-03526-9,2025,UCLA-Persistent-BSI,Transmission dynamics of the 2022 mpox epidemic in New York City.,Melissa Johnson,explicit cross-virus/shared-host signal,hiv,,high,low
current-program,pmid-40100289,40100289,10.1172/JCI179572,2025,,AMPK is necessary for Treg functional adaptation to microenvironmental stress during malignancy and viral pneumonia.,,candidate relevance plus virus/pathogen/assay support,influenza,epigenomics,candidate,medium
current-program,pmid-40060513,40060513,10.1101/2025.02.25.640199,2025,,Maintenance DNA methylation is required for induced regulatory T cell reparative function following viral pneumonia.,,candidate relevance plus virus/pathogen/assay support,influenza,epigenomics,candidate,medium
current-program,pmid-40060453,40060453,10.1101/2025.02.26.640439,2025,CViSB,Dynamics of natural selection preceding human viral epidemics and pandemics.,Kristian Andersen,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov;influenza,,candidate,medium
current-program,pmid-39945534,39945534,10.1128/jvi.01575-24,2025,,Tracing more than two decades of Japanese encephalitis virus circulation in mainland China.,,candidate relevance plus virus/pathogen/assay support,influenza,,candidate,medium
current-program,pmid-39868236,39868236,10.1101/2025.01.09.631996,2025,CViSB,Tissue-resident skeletal muscle macrophages promote recovery from viral pneumonia-induced sarcopenia in normal aging.,Donald S Grant,candidate relevance plus virus/pathogen/assay support,sars-cov-2;influenza,,candidate,medium
current-program,pmid-39836474,39836474,10.1172/jci.insight.182376,2025,,The impact of remdesivir on SARS-CoV-2 evolution in vivo.,,candidate relevance plus virus/pathogen/assay support,sars-cov-2;sars-cov,,candidate,medium
pi-backlog,pmid-39621658,39621658,10.1371/journal.pone.0312880,2024,SYBIL,Structural and hemodynamic analysis of Weaire-Phelan scaffolds made of Ti-alloy as bone replacement component: A preclinical investigation.,Sumit Chanda,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
pi-backlog,pmid-39616949,39616949,10.1016/j.jbc.2024.107975,2024,HPMI,Correction: Diacylglycerol acyltransferase-1 localizes hepatitis C virus NS5A protein to lipid droplets and enhances NS5A interaction with the viral capsid core.,Melanie Ott,"viral context plus mechanism/resource terms: virus, viral, interaction",hcv,,candidate,high
pi-backlog,pmid-39580801,39580801,10.1016/j.celrep.2024.114960,2024,SYBIL,TRIM65 regulates innate immune signaling by enhancing K6-linked ubiquitination of IRF3 and its chromatin recruitment.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, interaction",,epigenomics,candidate,high
pi-backlog,pmid-39567630,39567630,10.1038/s41598-024-80263-y,2024,CViSB,Cell surface marker heterogeneity in human myeloma cell lines for modeling of disease and therapy.,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,,transcriptomics;network_modeling,high,low
pi-backlog,pmid-39468980,39468980,10.52198/25.STI.45.GY1826,2024,CViSB,What Happens to Endometriosis During the Menstrual Cycle?,Robert Garry,explicit cross-virus or shared-host framing in title/abstract,,,high,low
pi-backlog,pmid-39466906,39466906,10.1002/jmv.70023,2024,SYBIL,Comparative Analysis of 2022 Outbreak MPXV and Previous Clade II MPXV.,Adolfo Garcia-Sastre,explicit cross-virus or shared-host framing in title/abstract,,proteomics,high,high
pi-backlog,pmid-39464067,39464067,10.1101/2024.10.11.617898,2024,SYBIL,Identification and Targeting of Regulators of SARS-CoV-2-Host Interactions in the Airway Epithelium.,Adolfo Garcia-Sastre;Michael Schotsaert,"viral context plus mechanism/resource terms: virus, sars, network, host response",sars-cov-2;sars-cov,crispr_screen;transcriptomics;epigenomics;network_modeling,candidate,high
pi-backlog,pmid-39391249,39391249,10.3389/fonc.2024.1428984,2024,CViSB,Molecular genetic characterization of myeloid neoplasms with idic(X)(q13) and i(X)(q10).,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,,,high,low
pi-backlog,pmid-39384042,39384042,10.1016/j.jbc.2024.107871,2024,SYBIL,Cellular NS1-BP protein interacts with the mRNA export receptor NXF1 to mediate nuclear export of influenza virus M mRNAs.,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, influenza, pathway",influenza,,candidate,high
pi-backlog,pmid-39324493,39324493,10.1002/gcc.23272,2024,CViSB,RUNX1::MIR99AHG Chimera in Acute Myeloid Leukemia.,Kristian Andersen,explicit cross-virus or shared-host framing in title/abstract,influenza,,high,low
