source_collection,paper_id,pmid,year,center,title,pi_candidates,viruses,pathogens,assay_types,paper_kind,cross_virus_relevance,cross_virus_reason,priority,priority_reason,abstract_excerpt
hpmi,pmid-41676649,41676649,2026,HPMI,Regulation of virion production by the ORF8 signal peptide across SARS-CoV-2 variants.,,sars-cov-2;sars-cov,,,primary_research,candidate,"relevant host-pathogen/pathway terms matched: virus, viral",high,"recent HPMI paper with relevant terms: virus, viral, sars, cov","The open reading frame 8 (ORF8), an accessory protein of SARS-CoV-2, is prone to deletions and mutations across different viral variants, which was first described in several Singapore variants. The reason why viral evolution favors loss or inactivation of ORF8 is not fully un..."
hpmi,pmid-41392175,41392175,2025,HPMI,A non-spike nucleocapsid R204P mutation in SARS-CoV-2 Omicron XEC enhances inflammation and pathogenicity.,,sars-cov-2;sars-cov,,,primary_research,candidate,relevant host-pathogen/pathway terms matched: viral,high,"recent HPMI paper with relevant terms: viral, sars, cov","The global circulation of SARS-CoV-2 in human populations has driven the emergence of Omicron subvariants, which have become highly diversified through recombination. In late 2024, SARS-CoV-2 Omicron XEC variant emerged from the recombination of two JN.1 progeny, KS.1.1 and KP..."
hpmi,pmid-41165411,41165411,2025,HPMI,The mevalonate pathway of isoprenoid biosynthesis supports metabolic flexibility in Mycobacterium marinum.,,,mycobacterium_marinum,,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: host-pathogen, pathway, mycobacterium",high,"recent HPMI paper with relevant terms: host-pathogen, mycobacterium","Isoprenoids are a diverse class of natural products that are essential in all domains of life. Most bacteria synthesize isoprenoids through either the methylerythritol phosphate (MEP) pathway or the mevalonate (MEV) pathway, while a small subset encodes both pathways, includin..."
pi-backlog,pmid-40909530,40909530,2025,,Single-Cell Network Analysis Identifies CLEC4E as a Key Mediator of Proinflammatory mDC Responses in Influenza Infection.,,influenza,,transcriptomics;network_modeling,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral, infection",high,"recent paper with relevant terms: virus, viral, host","The severity of influenza is often driven by an excessive host immune response rather than the virus itself, yet the key molecular drivers within specific immune cells remain poorly understood. While recent single-cell RNA sequencing studies have successfully identified immune..."
pi-backlog,pmid-40802739,40802739,2025,,An mRNA-based broad-spectrum antiviral inspired by ISG15 deficiency protects against viral infections in vitro and in vivo.,,sars-cov-2;sars-cov;coronavirus;influenza;zika,,,primary_research,high,explicit cross-virus/shared-host language: broad-spectrum,high,"recent paper with relevant terms: virus, viral","Type I interferons (IFN-Is) are cytokines with potent antiviral and inflammatory capacities. IFN-I signaling drives the expression of thousands of IFN-I-stimulated genes (ISGs), whose aggregate function results in the control of viral infections. A few of these ISGs are tasked..."
hpmi,pmid-40672248,40672248,2025,HPMI,The mevalonate pathway of isoprenoid biosynthesis supports metabolic flexibility in Mycobacterium marinum.,,,mycobacterium_marinum,,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: pathway, mycobacterium",high,recent HPMI paper with relevant terms: mycobacterium,"Isoprenoids are a diverse class of natural products that are essential in all domains of life. Most bacteria synthesize isoprenoids through either the methylerythritol phosphate (MEP) pathway or the mevalonate (MEV) pathway, while a small subset encodes both pathways, includin..."
pi-backlog,pmid-40504864,40504864,2025,,Global siRNA screen identifies human host factors critical for SARS-CoV-2 replication and late stages of infection.,,sars-cov-2;sars-cov;mers-cov;coronavirus,,crispr_screen;proteomics,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral, dependency, crispr, pathway",high,"recent paper with relevant terms: virus, viral, host, pathway, screen",Defining the subset of cellular factors governing SARS-CoV-2 replication can provide critical insights into viral pathogenesis and identify targets for host-directed antiviral therapies. While a number of genetic screens have previously reported SARS-CoV-2 host dependency fact...
hpmi,pmid-40502047,40502047,2025,HPMI,A non-spike nucleocapsid R204P mutation in SARS-CoV-2 Omicron XEC enhances inflammation and pathogenicity.,,sars-cov-2;sars-cov,,,primary_research,candidate,relevant host-pathogen/pathway terms matched: viral,high,"recent HPMI paper with relevant terms: viral, sars, cov","The global circulation of SARS-CoV-2 in human populations has driven the emergence of Omicron subvariants, which have become highly diversified through recombination. In late 2024, SARS-CoV-2 Omicron XEC variant emerged from the recombination of two JN.1 progeny, KS.1.1 and KP..."
pi-backlog,pmid-40475132,40475132,2025,,Minimalistic Transcriptomic Signatures Permit Accurate Early Prediction of COVID-19 Mortality.,,sars-cov-2;sars-cov,,transcriptomics,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: viral, infection",high,"recent paper with relevant terms: viral, host","BACKGROUND: Predicting mortality risk in patients with COVID-19 remains challenging, and accurate prognostic assays represent a persistent unmet clinical need. We aimed to identify and validate parsimonious transcriptomic signatures that accurately predict fatal outcomes withi..."
pi-backlog,pmid-40378209,40378209,2025,,Identification and targeting of regulators of SARS-CoV-2-host interactions in the airway epithelium.,,sars-cov-2;sars-cov,,crispr_screen;transcriptomics;epigenomics;network_modeling,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral, crispr",high,"recent paper with relevant terms: virus, viral, host, crispr","The impact of SARS-CoV-2 in the lung has been extensively studied, yet the molecular regulators of host-cell programs hijacked by the virus in distinct human airway epithelial cell populations remain poorly understood. Some of the reasons include overreliance on transcriptomic..."
pi-backlog,pmid-40267184,40267184,2025,,"Structure-based discovery of highly bioavailable, covalent, broad-spectrum coronavirus M(Pro) inhibitors with potent in vivo efficacy.",,sars-cov-2;sars-cov;coronavirus,,,primary_research,high,explicit cross-virus/shared-host language: broad-spectrum,high,"recent paper with relevant terms: virus, viral","The main protease (MPro) of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a validated drug target. Starting with a lead-like dihydrouracil chemotype identified in a large-library docking campaign, we improved MPro inhibition >1000-fold by engaging additional..."
hpmi,pmid-40163530,40163530,2025,HPMI,Enhanced RNA replication and pathogenesis in recent SARS-CoV-2 variants harboring the L260F mutation in NSP6.,,sars-cov-2;sars-cov,,,primary_research,candidate,relevant host-pathogen/pathway terms matched: viral,high,"recent HPMI paper with relevant terms: viral, sars, cov","The COVID-19 pandemic has been driven by SARS-CoV-2 variants with enhanced transmission and immune escape. Apart from extensive evolution in the Spike protein, non-Spike mutations are accumulating across the entire viral genome and their functional impact is not well understoo..."
pi-backlog,pmid-40132593,40132593,2025,,Long-lasting B cell convergence to distinct broadly reactive epitopes following vaccination with chimeric influenza virus hemagglutinins.,,influenza,,transcriptomics,data_or_analysis,candidate,relevant viral/host/pathway terms matched: virus,high,recent paper with relevant terms: virus,"In a phase 1 clinical trial, a chimeric hemagglutinin (cHA) immunogen induced antibody responses against the conserved hemagglutinin (HA) stalk domain as designed. Here, we determined the specificity, function, and subsets of B cells induced by cHA vaccination by pairing singl..."
pi-backlog,pmid-39652575,39652575,2025,,HBV Remodels PP2A Complexes to Rewire Kinase Signaling in Hepatocellular Carcinoma.,,influenza,,proteomics;network_modeling,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, interaction",high,"recent paper with relevant terms: virus, host","Hepatitis B virus (HBV) infections promote liver cancer initiation by inducing inflammation and cellular stress. Despite a primarily indirect effect on oncogenesis, HBV is associated with a recurrent genomic phenotype in hepatocellular carcinoma (HCC), suggesting that it impac..."
pi-backlog,pmid-39580470,39580470,2024,,Outcome of SARS-CoV-2 reinfection depends on genetic background in female mice.,,sars-cov-2;sars-cov,,network_modeling,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: viral, infection",high,"recent paper with relevant terms: viral, host","Antigenically distinct SARS-CoV-2 variants increase the reinfection risk for vaccinated and previously exposed population due to antibody neutralization escape. COVID-19 severity depends on many variables, including host immune responses, which differ depending on genetic pred..."
pi-backlog,pmid-39466906,39466906,2024,,Comparative Analysis of 2022 Outbreak MPXV and Previous Clade II MPXV.,,,,proteomics,data_or_analysis,high,explicit cross-virus/shared-host language: comparative,high,"recent paper with relevant terms: virus, viral, host",The 2022-2024 outbreak of MPOX is an important worldwide public health issue that has triggered significant concerns in the scientific community. MPOX is caused by monkeypox virus (MPXV) belonging to the Poxviridae family. The study of MPXV presents a multifaceted challenge du...
pi-backlog,pmid-39464067,39464067,2024,,Identification and Targeting of Regulators of SARS-CoV-2-Host Interactions in the Airway Epithelium.,,sars-cov-2;sars-cov,,crispr_screen;transcriptomics;epigenomics;network_modeling,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, crispr",high,"recent paper with relevant terms: virus, host, crispr","Although the impact of SARS-CoV-2 in the lung has been extensively studied, the molecular regulators and targets of the host-cell programs hijacked by the virus in distinct human airway epithelial cell populations remain poorly understood. This is in part ascribed to the use o..."
pi-backlog,pmid-39185168,39185168,2024,,Torsional Twist of the SARS-CoV and SARS-CoV-2 SUD-N and SUD-M domains.,,sars-cov-2;sars-cov;coronavirus,,,primary_research,high,explicit cross-virus/shared-host language: comparative,high,"recent paper with relevant terms: viral, host","Coronavirus non-structural protein 3 (nsp3) forms hexameric crowns of pores in the double membrane vacuole that houses the replication-transcription complex. Nsp3 in SARS-like viruses has three unique domains absent in other coronavirus nsp3 proteins. Two of these, SUD-N (Macr..."
pi-backlog,pmid-39149904,39149904,2024,,Sarbecovirus programmed ribosome frameshift RNA element folding studied by NMR spectroscopy and comparative analyses.,,sars-cov-2;sars-cov;coronavirus,,,primary_research,high,explicit cross-virus/shared-host language: comparative,high,recent paper with relevant terms: viral,"The programmed ribosomal frameshift (PRF) region is found in the RNA genome of all coronaviruses and shifts the ribosome reading frame through formation of a three-stem pseudoknot structure, allowing the translation of essential viral proteins. Using NMR spectroscopy, comparat..."
pi-backlog,pmid-39026801,39026801,2024,,Global siRNA Screen Reveals Critical Human Host Factors of SARS-CoV-2 Multicycle Replication.,,sars-cov-2;sars-cov;coronavirus,,crispr_screen,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral, dependency, crispr, pathway",high,"recent paper with relevant terms: virus, viral, host, pathway, screen",Defining the subset of cellular factors governing SARS-CoV-2 replication can provide critical insights into viral pathogenesis and identify targets for host-directed antiviral therapies. While a number of genetic screens have previously reported SARS-CoV-2 host dependency fact...
pi-backlog,pmid-38979204,38979204,2024,,Broad-spectrum RNA antiviral inspired by ISG15 (-/-) deficiency.,,sars-cov-2;sars-cov;influenza;zika,,,primary_research,high,explicit cross-virus/shared-host language: broad-spectrum,high,recent paper with relevant terms: viral,"UNLABELLED: Type I interferons (IFN-I) are cytokines with potent antiviral and inflammatory capacities. IFN-I signaling drives the expression of hundreds of IFN-I stimulated genes (ISGs), whose aggregate function results in the control of viral infection. A few of these ISGs a..."
hpmi,pmid-38961189,38961189,2024,HPMI,NF-κB inhibitor alpha controls SARS-CoV-2 infection in ACE2-overexpressing human airway organoids.,,sars-cov-2;sars-cov,,transcriptomics,data_or_analysis,candidate,relevant host-pathogen/pathway terms matched: viral,medium,"older HPMI paper with relevant terms: viral, sars, cov","As SARS-CoV-2 continues to spread worldwide, tractable primary airway cell models that recapitulate the cell-intrinsic response to arising viral variants are needed. Here we describe an adult stem cell-derived human airway organoid model overexpressing the ACE2 receptor (ACE2-..."
pi-backlog,pmid-38630846,38630846,2024,,Host-microbe multiomic profiling reveals age-dependent immune dysregulation associated with COVID-19 immunopathology.,,sars-cov-2;sars-cov;coronavirus,,transcriptomics,data_or_analysis,candidate,relevant viral/host/pathway terms matched: viral,high,"recent paper with relevant terms: viral, host","Age is a major risk factor for severe coronavirus disease 2019 (COVID-19), yet the mechanisms behind this relationship have remained incompletely understood. To address this, we evaluated the impact of aging on host immune response in the blood and the upper airway, as well as..."
pi-backlog,pmid-38571499,38571499,2024,,NUP214 fusion genes in acute leukemias: genetic characterization of rare cases.,,,,transcriptomics,data_or_analysis,high,explicit cross-virus/shared-host language: comparative,high,recent paper with relevant terms: screen,"INTRODUCTION: Alterations of the NUP214 gene (9q34) are recurrent in acute leukemias. Rearrangements of chromosomal band 9q34 targeting this locus can be karyotypically distinct, for example t(6;9)(p22;q34)/DEK::NUP214, or cryptic, in which case no visible change of 9q34 is se..."
pi-backlog,pmid-38562892,38562892,2024,,Integrated multiomics implicates dysregulation of ECM and cell adhesion pathways as drivers of severe COVID-associated kidney injury.,,sars-cov-2;sars-cov,,proteomics;transcriptomics;network_modeling,data_or_analysis,candidate,relevant viral/host/pathway terms matched: interaction,high,recent paper with relevant terms: proteomics,"COVID-19 has been a significant public health concern for the last four years; however, little is known about the mechanisms that lead to severe COVID-associated kidney injury. In this multicenter study, we combined quantitative deep urinary proteomics and machine learning to..."
pi-backlog,pmid-38411080,38411080,2024,,CRISPR-Cas9 screen of E3 ubiquitin ligases identifies TRAF2 and UHRF1 as regulators of HIV latency in primary human T cells.,,influenza;hiv,,crispr_screen;proteomics,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral, crispr, pathway, infection",high,"recent paper with relevant terms: virus, viral, host, pathway, screen","UNLABELLED: During HIV infection of CD4+ T cells, ubiquitin pathways are essential to viral replication and host innate immune response; however, the role of specific E3 ubiquitin ligases is not well understood. Proteomics analyses identified 116 single-subunit E3 ubiquitin li..."
pi-backlog,pmid-38405760,38405760,2024,,Host-Microbe Multiomic Profiling Reveals Age-Dependent COVID-19 Immunopathology.,,sars-cov-2;sars-cov;coronavirus;cmv,,transcriptomics,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, viral",high,"recent paper with relevant terms: virus, viral, host","Age is a major risk factor for severe coronavirus disease-2019 (COVID-19), yet the mechanisms responsible for this relationship have remained incompletely understood. To address this, we evaluated the impact of aging on host and viral dynamics in a prospective, multicenter coh..."
pi-backlog,pmid-38198521,38198521,2024,,Breakthrough infections by SARS-CoV-2 variants boost cross-reactive hybrid immune responses in mRNA-vaccinated Golden Syrian hamsters.,,sars-cov-2;sars-cov,,transcriptomics;network_modeling,data_or_analysis,candidate,"relevant viral/host/pathway terms matched: virus, infection",high,recent paper with relevant terms: virus,"Hybrid immunity (vaccination + natural infection) to SARS-CoV-2 provides superior protection to re-infection. We performed immune profiling studies during breakthrough infections in mRNA-vaccinated hamsters to evaluate hybrid immunity induction. The mRNA vaccine, BNT162b2, was..."
hpmi,pmid-35982664,35982664,2022,HPMI,NF-κB inhibitor alpha has a cross-variant role during SARS-CoV-2 infection in ACE2-overexpressing human airway organoids.,,sars-cov-2;sars-cov,,transcriptomics,data_or_analysis,candidate,relevant host-pathogen/pathway terms matched: viral,medium,"older HPMI paper with relevant terms: viral, sars, cov","As SARS-CoV-2 continues to spread worldwide, tractable primary airway cell models that accurately recapitulate the cell-intrinsic response to arising viral variants are needed. Here we describe an adult stem cell-derived human airway organoid model overexpressing the ACE2 rece..."
hpmi,pmid-35337019,35337019,2022,HPMI,A BioID-Derived Proximity Interactome for SARS-CoV-2 Proteins.,,sars-cov-2;sars-cov;coronavirus,,protein_interaction_mapping;proteomics,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: virus, viral, interactome",medium,"older HPMI paper with relevant terms: virus, viral, sars, cov",The novel coronavirus SARS-CoV-2 is responsible for the ongoing COVID-19 pandemic and has caused a major health and economic burden worldwide. Understanding how SARS-CoV-2 viral proteins behave in host cells can reveal underlying mechanisms of pathogenesis and assist in develo...
hpmi,pmid-34942634,34942634,2022,HPMI,Evolution of enhanced innate immune evasion by SARS-CoV-2.,,sars-cov-2;sars-cov,,proteomics,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: viral, interaction",medium,"older HPMI paper with relevant terms: viral, sars, cov","The emergence of SARS-CoV-2 variants of concern suggests viral adaptation to enhance human-to-human transmission1,2. Although much effort has focused on the characterization of changes in the spike protein in variants of concern, mutations outside of spike are likely to contri..."
hpmi,pmid-34127972,34127972,2021,HPMI,Evolution of enhanced innate immune evasion by the SARS-CoV-2 B.1.1.7 UK variant.,,sars-cov-2;sars-cov,,proteomics,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: viral, interaction",medium,"older HPMI paper with relevant terms: viral, sars, cov","Emergence of SARS-CoV-2 variants, including the globally successful B.1.1.7 lineage, suggests viral adaptations to host selective pressures resulting in more efficient transmission. Although much effort has focused on Spike adaptation for viral entry and adaptive immune escape..."
hpmi,pmid-34031651,34031651,2021,HPMI,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.",,sars-cov-2;sars-cov;coronavirus,,proteomics;structural_biology,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: viral, interaction",medium,"older HPMI paper with relevant terms: viral, sars, cov","The SARS-CoV-2 protein Nsp2 has been implicated in a wide range of viral processes, but its exact functions, and the structural basis of those functions, remain unknown. Here, we report an atomic model for full-length Nsp2 obtained by combining cryo-electron microscopy with de..."
hpmi,pmid-34013269,34013269,2021,HPMI,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.",,sars-cov-2;sars-cov;coronavirus,,proteomics;structural_biology,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: viral, interaction",medium,"older HPMI paper with relevant terms: viral, sars, cov","The SARS-CoV-2 protein Nsp2 has been implicated in a wide range of viral processes, but its exact functions, and the structural basis of those functions, remain unknown. Here, we report an atomic model for full-length Nsp2 obtained by combining cryo-electron microscopy with de..."
hpmi,pmid-32511329,32511329,2020,HPMI,A SARS-CoV-2-Human Protein-Protein Interaction Map Reveals Drug Targets and Potential Drug-Repurposing.,,sars-cov-2;sars-cov;coronavirus,,protein_interaction_mapping;proteomics,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: virus, viral, interaction, dependency",medium,"older HPMI paper with relevant terms: virus, viral, sars, cov, interaction map","An outbreak of the novel coronavirus SARS-CoV-2, the causative agent of COVID-19 respiratory disease, has infected over 290,000 people since the end of 2019, killed over 12,000, and caused worldwide social and economic disruption1,2. There are currently no antiviral drugs with..."
hpmi,pmid-32353859,32353859,2020,HPMI,A SARS-CoV-2 protein interaction map reveals targets for drug repurposing.,,sars-cov-2;sars-cov;coronavirus,,protein_interaction_mapping;proteomics,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: viral, interaction",medium,"older HPMI paper with relevant terms: viral, sars, cov, interaction map","A newly described coronavirus named severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which is the causative agent of coronavirus disease 2019 (COVID-19), has infected over 2.3 million people, led to the death of more than 160,000 individuals and caused worldwide s..."
hpmi,pmid-30833725,30833725,2019,HPMI,Identification of antiviral roles for the exon-junction complex and nonsense-mediated decay in flaviviral infection.,,influenza;dengue;zika,,proteomics,data_or_analysis,candidate,"relevant host-pathogen/pathway terms matched: virus, viral, interaction",medium,"older HPMI paper with relevant terms: virus, viral, dengue, zika","West Nile virus (WNV) is an emerging mosquito-borne flavivirus, related to dengue virus and Zika virus. To gain insight into host pathways involved in WNV infection, we performed a systematic affinity-tag purification mass spectrometry (APMS) study to identify 259 WNV-interact..."
