paper_id,pmid,year,source_collection,center,pi_candidates,title,decision_reason,parse_status,parse_source_type,viruses,host_systems,assay_types,dataset_repositories,dataset_accessions,resource_types,resource_links,raw_data_available,processed_data_available,code_available,reuse_value,pathway_relevance,access_friction,priority_bucket
pmid-36197970,36197970,2022,pi-backlog,SYBIL,Adolfo Garcia-Sastre,"Common and species-specific molecular signatures, networks, and regulators of influenza virus infection in mice, ferrets, and humans.","viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host factor, pathway",cached_normalized,pmc_xml,influenza_a,A549_cells;HEK293T_cells;PBMCs;macrophages;human_lung_tissue;mice;ferrets;human_patients,transcriptomics;network_analysis;genetic_perturbation,GEO,GEO:GSE40012;GEO:GSE89008;GEO:GSE97672;GEO:GSE98527,Synapse,synapse.org/fludynemo,true,true,false,high,high,low,tier_1
pmid-33730579,33730579,2021,pi-backlog,HPMI,Melanie Ott,A genome-wide CRISPR screen identifies UFMylation and TRAMP-like complexes as host factors required for hepatitis A virus infection.,explicit cross-virus/shared-host full-text language: shared host,cached_normalized,pmc_xml,hepatitis_a,Huh7_cells;organoids;mice,single_cell;CRISPR_screen;imaging,ArrayExpress,ArrayExpress:E-MTAB-8646,,,true,true,false,high,high,low,tier_1
pmid-33333024,33333024,2021,hpmi,HPMI,,Genetic Screens Identify Host Factors for SARS-CoV-2 and Common Cold Coronaviruses.,explicit cross-virus/shared-host full-text language: multiple viruses,cached_normalized,pmc_xml,sars_cov_2;coronavirus_general,A549_cells;Calu-3_cells;Huh7_cells;Vero_E6_cells;mice;human_patients,proteomics;single_cell;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging,ArrayExpress,ArrayExpress:E-MTAB-9638,,,true,true,false,high,high,low,tier_1
pmid-33060197,33060197,2020,hpmi,HPMI,,Comparative host-coronavirus protein interaction networks reveal pan-viral disease mechanisms.,explicit cross-virus/shared-host full-text language: pan-viral,cached_normalized,pmc_xml,sars_cov_2;sars_cov_1;mers_cov;coronavirus_general,A549_cells;HEK293T_cells;Vero_E6_cells;mice;human_patients,AP-MS_interactome;proteomics;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,PRIDE;SRA,SRA:SRP0675;PRIDE:PXD021588,GitHub,github.com/hillerlab/TOGA;github.com/kroganlab/mist,true,true,true,high,high,low,tier_1
pmid-32511329,32511329,2020,hpmi,HPMI,,A SARS-CoV-2-Human Protein-Protein Interaction Map Reveals Drug Targets and Potential Drug-Repurposing.,"explicit cross-virus/shared-host full-text language: multiple viruses, conserved host",cached_normalized,pmc_xml,sars_cov_2;coronavirus_general,HEK293T_cells;human_lung_tissue;bat_cells_or_hosts;human_patients,AP-MS_interactome;proteomics;protein_interaction_mapping;network_analysis,PRIDE,PRIDE:PXD018117,GitHub,github.com/momeara/BioChemPantry/vignette/COVID19,true,true,true,high,high,low,tier_1
pmid-32415096,32415096,2020,pi-backlog,SYBIL,Sumit Chanda,mRNA display with library of even-distribution reveals cellular interactors of influenza virus NS1.,"viral context plus mechanism-rich title/abstract: influenza, virus, influenza, interaction, interactions, protein interaction",cached_normalized,pmc_xml,influenza_a,A549_cells;HEK293T_cells;PBMCs,AP-MS_interactome;proximity_labeling;proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;network_analysis,PRIDE,PRIDE:PXD000418,,,true,true,false,high,high,low,tier_1
pmid-32353859,32353859,2020,hpmi,HPMI,,A SARS-CoV-2 protein interaction map reveals targets for drug repurposing.,"explicit cross-virus/shared-host full-text language: multiple viruses, pan-viral",cached_normalized,pmc_xml,sars_cov_2;coronavirus_general,HEK293T_cells;Vero_E6_cells;human_lung_tissue;bat_cells_or_hosts;human_patients,AP-MS_interactome;proteomics;protein_interaction_mapping;network_analysis;imaging,PRIDE,PRIDE:PXD018117,GitHub,github.com/kroganlab/mist;github.com/momeara/BioChemPantry/tree/master/vignette/COVID19,true,true,true,high,high,low,tier_1
pmid-32084337,32084337,2020,hpmi,HPMI,,A Quantitative Genetic Interaction Map of HIV Infection.,explicit cross-virus/shared-host full-text language: pan-viral,cached_normalized,pmc_xml,hiv,A549_cells;HEK293T_cells;human_patients,proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,GEO,GEO:GSE144142,,,true,true,false,high,high,low,tier_1
pmid-31375585,31375585,2019,pi-backlog,SYBIL,Adolfo Garcia-Sastre,Innate Immune Response to Influenza Virus at Single-Cell Resolution in Human Epithelial Cells Revealed Paracrine Induction of Interferon Lambda 1.,explicit cross-virus/shared-host full-text language: multiple viruses,cached_normalized,pmc_xml,influenza_a,A549_cells;HEK293T_cells;NHBE_cells;airway_epithelium;mice;ferrets,single_cell;protein_interaction_mapping;imaging,GEO,GEO:GSE122031,,,true,true,false,high,high,low,tier_1
pmid-31253590,31253590,2019,hpmi,HPMI,,ARIH2 Is a Vif-Dependent Regulator of CUL5-Mediated APOBEC3G Degradation in HIV Infection.,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, proteomics, restriction factor",cached_normalized,pmc_xml,hiv,HEK293T_cells;primary_CD4_T_cells;macrophages,AP-MS_interactome;proteomics;CRISPR_screen;protein_interaction_mapping;network_analysis,PRIDE,PRIDE:PXD009012,,,true,true,false,high,high,low,tier_1
pmid-30833725,30833725,2019,hpmi,HPMI,,Identification of antiviral roles for the exon-junction complex and nonsense-mediated decay in flaviviral infection.,"viral context plus mechanism-rich title/abstract: dengue, zika, flavivirus, virus, viral, dengue",cached_normalized,pmc_xml,dengue;zika;flavivirus_general,mice,AP-MS_interactome;proteomics;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,PRIDE,PRIDE:PXD011728,,,true,true,false,high,high,low,tier_1
pmid-30550790,30550790,2018,hpmi,HPMI,,Comparative Flavivirus-Host Protein Interaction Mapping Reveals Mechanisms of Dengue and Zika Virus Pathogenesis.,"explicit cross-virus/shared-host full-text language: cross-virus, cross virus",cached_normalized,pmc_xml,dengue;zika;flavivirus_general,A549_cells;HEK293T_cells;Huh7_cells;mice,AP-MS_interactome;proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,GEO,GEO:GSE110511;GEO:GSE110512;GEO:GSE118686,,,true,true,false,high,high,low,tier_1
pmid-42182519,42182519,2026,current-program,SCRIPT,Richard Wunderink,Pathogen-specific host responses define distinct pneumonia endotypes in the human lung.,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, covid-19, host response, interaction, interactions, alveolar",cached_normalized,pmc_xml,sars_cov_2,primary_CD4_T_cells;macrophages;human_lung_tissue;mice;human_patients,proteomics;transcriptomics;single_cell;genetic_perturbation,,,,,false,false,false,medium,medium,high,tier_2
pmid-42150007,42150007,2026,pi-backlog,HPMI,Melanie Ott,Self-Dimerization Induced Proximity Targeting Chimeras (SDIPTAC) Lead to DCAF1 Loss of Function and Inhibition of HIV Replication.,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, interaction, replication",cached_normalized,pmc_xml,hiv,HEK293T_cells;PBMCs;macrophages;mice;human_patients,proteomics;protein_interaction_mapping;network_analysis;genetic_perturbation,,,,,false,false,false,medium,medium,high,tier_2
pmid-41676649,41676649,2026,hpmi,HPMI,,Regulation of virion production by the ORF8 signal peptide across SARS-CoV-2 variants.,"virus-focused title/abstract plus weaker cross-virus framing in body: host adaptation, sars-cov-2, sars, immune evasion",cached_normalized,pmc_xml,sars_cov_2,A549_cells;Calu-3_cells;HEK293T_cells;Vero_E6_cells;mice;bat_cells_or_hosts;human_patients,network_analysis;imaging,,,,,false,false,false,medium,medium,high,tier_2
pmid-41654489,41654489,2026,pi-backlog,SYBIL,Adolfo Garcia-Sastre,Prenatal and postnatal effects of gestational immune activation on synaptic and neurodevelopmental pathways via epigenetic mechanisms.,"viral context plus mechanism-rich title/abstract: influenza, h1n1, virus, influenza, pathway, pathways",cached_normalized,pmc_xml,influenza_a,mice;human_patients,transcriptomics;network_analysis,,,,,false,false,false,medium,medium,high,tier_2
pmid-41384839,41384839,2026,current-program,,,Maternal proteome profiling reveals dynamic gestational age-specific responses to de novo vaccination.,"viral context plus mechanism-rich title/abstract: coronavirus, covid-19, virus, coronavirus, covid-19, pathway",cached_normalized,pdf_grobid,sars_cov_2;coronavirus_general,macrophages;human_patients,proteomics;network_analysis;genetic_perturbation,,,,,false,false,false,medium,medium,high,tier_2
pmid-41142120,41142120,2025,pi-backlog,SYBIL,Adolfo Garcia-Sastre,Integrative multi-omics analysis in vivo identifies influenza virus host factors.,"viral context plus mechanism-rich title/abstract: influenza, h1n1, h5n1, virus, viral, influenza",cached_normalized,pmc_xml,influenza_a,human_lung_tissue;mice,network_analysis;genetic_perturbation,,,,,false,false,false,medium,medium,high,tier_2
pmid-41141506,41141506,2025,pi-backlog,SYBIL,Adolfo Garcia-Sastre,Liquid Biopsy-Multiomics Link Adhesion Pathway Dysregulation to Kidney Injury Severity.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, sars-cov-2, sars, pathway, pathways",cached_normalized,pmc_xml,sars_cov_2,organoids;human_patients,proteomics;transcriptomics;single_cell,,,,,false,false,false,medium,medium,high,tier_2
pmid-41034576,41034576,2025,hpmi,HPMI,,A miniature CRISPR-Cas10 enzyme confers immunity by inhibitory signalling.,"viral context plus mechanism-rich title/abstract: virus, viral, pathway, pathways, crispr, immune evasion",cached_normalized,pmc_xml,,,CRISPR_screen;imaging,,,,,false,false,false,medium,medium,high,tier_2
pmid-40909530,40909530,2025,pi-backlog,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,Single-Cell Network Analysis Identifies CLEC4E as a Key Mediator of Proinflammatory mDC Responses in Influenza Infection.,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, pathway, pathways",cached_normalized,pmc_xml,,mice;human_patients,single_cell;network_analysis,,,,,false,false,false,medium,medium,high,tier_2
pmid-40504864,40504864,2025,pi-backlog,SYBIL;HPMI,Adolfo Garcia-Sastre;Trey Ideker,Global siRNA screen identifies human host factors critical for SARS-CoV-2 replication and late stages of infection.,"viral context plus mechanism-rich title/abstract: coronavirus, sars-cov-2, sars, virus, viral, coronavirus",cached_normalized,pmc_xml,sars_cov_2;sars_cov_1;mers_cov;coronavirus_general,,proteomics;CRISPR_screen,,,,,false,false,false,medium,medium,high,tier_2
pmid-40378209,40378209,2025,pi-backlog,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,Identification and targeting of regulators of SARS-CoV-2-host interactions in the airway epithelium.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",cached_normalized,pmc_xml,sars_cov_2,airway_epithelium,transcriptomics;single_cell;CRISPR_screen;network_analysis;genetic_perturbation,,,,,false,false,false,medium,medium,high,tier_2
pmid-39652575,39652575,2025,pi-backlog,HPMI,Trey Ideker,HBV Remodels PP2A Complexes to Rewire Kinase Signaling in Hepatocellular Carcinoma.,"viral context plus mechanism-rich title/abstract: hepatitis b virus, hbv, virus, hepatitis b virus, hbv, host factor",cached_normalized,pmc_xml,hbv,mice,AP-MS_interactome;proteomics;network_analysis,,,,,false,false,false,medium,medium,high,tier_2
pmid-39580801,39580801,2024,pi-backlog,SYBIL,Adolfo Garcia-Sastre,TRIM65 regulates innate immune signaling by enhancing K6-linked ubiquitination of IRF3 and its chromatin recruitment.,"viral context plus mechanism-rich title/abstract: viral, pathway, pathways, interaction",cached_normalized,pdf_grobid,,A549_cells;HEK293T_cells;macrophages;mice,single_cell;CRISPR_screen;network_analysis;imaging;genetic_perturbation,,,,,false,false,false,medium,medium,high,tier_2
pmid-39464067,39464067,2024,pi-backlog,SYBIL,Adolfo Garcia-Sastre;Michael Schotsaert,Identification and Targeting of Regulators of SARS-CoV-2-Host Interactions in the Airway Epithelium.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",cached_normalized,pmc_xml,sars_cov_2,airway_epithelium,transcriptomics;single_cell;CRISPR_screen;network_analysis;genetic_perturbation,,,,,false,false,false,medium,medium,high,tier_2
pmid-38562892,38562892,2024,pi-backlog,SYBIL,Adolfo Garcia-Sastre,Integrated multiomics implicates dysregulation of ECM and cell adhesion pathways as drivers of severe COVID-associated kidney injury.,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, sars-cov-2, sars, covid-19",cached_normalized,pmc_xml,sars_cov_2,organoids;human_patients,proteomics;transcriptomics;single_cell;network_analysis,,,,,false,false,false,medium,medium,high,tier_2
pmid-38411080,38411080,2024,pi-backlog,HPMI,Melanie Ott,CRISPR-Cas9 screen of E3 ubiquitin ligases identifies TRAF2 and UHRF1 as regulators of HIV latency in primary human T cells.,"viral context plus mechanism-rich title/abstract: hiv, virus, viral, hiv, pathway, pathways",cached_normalized,pmc_xml,hiv,primary_CD4_T_cells,proteomics;CRISPR_screen,,,,,false,false,false,medium,medium,high,tier_2
pmid-37758692,37758692,2023,hpmi,HPMI,,Proteomic and genetic analyses of influenza A viruses identify pan-viral host targets.,explicit cross-virus/shared-host full-text language: pan-viral,cached_normalized,pmc_xml,influenza_a;sars_cov_2;coronavirus_general,A549_cells;NHBE_cells;human_patients,AP-MS_interactome;proteomics;phosphoproteomics;network_analysis;genetic_perturbation,,,,,false,false,false,medium,medium,high,tier_2
