paper_id,pmid,source_collection,year,title,center,pi_candidates,previous_subset_reason,parse_status,body_word_count,decision,decision_reason,title_abstract_virus_hits,title_abstract_specific_virus_hits,title_abstract_mechanism_hits,virus_hits,mechanism_hits,cross_virus_hits,off_topic_hits,non_viral_pathogen_hits,method_resource_hits,therapeutic_clinical_hits,body_excerpt
pmid-31682641,31682641,pi-backlog,2019,The ETS transcription factor ELF1 regulates a broadly antiviral program distinct from the type I interferon response.,SYBIL,Adolfo Garcia-Sastre,explicit cross-virus or shared-host framing in title/abstract,normalized,11030,relevant,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host response, replication",virus;viral;influenza,influenza,host response;replication,virus;viral;influenza;zika;rsv;ebola;yellow fever virus,host response;pathway;pathways;interaction;interactions;protein interaction;screen;crispr;dependency;replication;alveolar;epithelial,,cancer;kidney,parasite;candida,,,"on and signaling are signal transducers and activators of transcription ( STAT s) and interferon-regulatory factors ( IRF s). Triggered by pathogen sensing and pattern recognition pathways, IRF3 and IRF7 bind to interferon promoters to initiate interferon production [ 6 ]. Upon interferon signal transduction, phosphorylated STAT1/2 and IRF9 form the interferon-stimulated gene factor 3 (ISGF3) complex, which localizes to interferon-sensitive response elements (ISREs) and initiates the transcripti"
pmid-36197970,36197970,pi-backlog,2022,"Common and species-specific molecular signatures, networks, and regulators of influenza virus infection in mice, ferrets, and humans.",SYBIL,Adolfo Garcia-Sastre,explicit cross-virus or shared-host framing in title/abstract,normalized,10803,relevant,"viral context plus mechanism-rich title/abstract: influenza, virus, viral, influenza, host factor, pathway",virus;viral;influenza,influenza,host factor;pathway;pathways;epithelial;network,virus;viral;influenza;coronavirus;sars-cov-2;sars;dengue,host factor;host factors;host response;pathway;pathways;interaction;interactions;protein interaction;replication;macrophage;epithelial;network,,tumor;prostate;kidney,bacterial;toxoplasma;candida,,,"widely used in influenza research, would provide insights into the commonalities and differences of the host immune responses to IAV infection, as well as the common and specific host factors that contribute to enhanced disease severity or resilience. Here, we carry out a comprehensive comparative study of RNA sequencing (RNA-seq) data derived from blood, primary epithelial cells, and lung tissues collected from IAV-infected humans, ferrets, and mice to identify conserved and species-specific"
pmid-42150007,42150007,pi-backlog,2026,Self-Dimerization Induced Proximity Targeting Chimeras (SDIPTAC) Lead to DCAF1 Loss of Function and Inhibition of HIV Replication.,HPMI,Melanie Ott,"viral context plus mechanism/resource terms: viral, hiv, interaction",cached_normalized,10668,relevant,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, interaction, replication",viral;hiv,hiv,interaction;replication,virus;viral;hiv,pathway;pathways;interaction;interactions;interactome;protein interaction;screen;restriction factor;immune evasion;replication;macrophage;network,,tumor,,,,"e SDIPTACs only consist of two identical ligands of the same drug target connected by a linker, exhibit no significant general toxicity, and are independent of protein degradation pathways, thereby avoiding most limitations associated with RIPTACs and PROTACs. This strategy could be applied to deactivate a wide range of drug targets regardless of their function and is practically effective for antagonizing the interaction between drug targets and their protein partners, especially when the inter"
pmid-30550790,30550790,hpmi,2018,Comparative Flavivirus-Host Protein Interaction Mapping Reveals Mechanisms of Dengue and Zika Virus Pathogenesis.,HPMI,,explicit cross-virus/shared-host signal,normalized,10594,relevant,"explicit cross-virus/shared-host full-text language: cross-virus, cross virus",virus;dengue;zika,dengue;zika;flavivirus,interaction;interactions;protein interaction;replication,virus;viral;influenza;hiv;dengue;zika,host factor;host factors;pathway;pathways;interaction;interactions;interactome;protein interaction;proteomics;screen;crispr;dependency;restriction factor;immune evasion;replication;network,cross-virus;cross virus;broad-spectrum,,parasite;candida,,,"act test), and 45 shared at the pathway or complex level ( Figure S6A ), suggesting that we are uncovering shared biology across both hosts. To gain a global understanding of how cross-virus and cross-host virus-host PPIs may be conserved at the complex and pathway level, enrichment analyses was performed on all three networks (DENV-human, ZIKV-human and DENV-mosquito) at the level of biological processes and cellular compartments ( Figures 4A and S6B , Table S5 ). One advantage of focusing on"
pmid-36095012,36095012,pi-backlog,2022,SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein.,HPMI,Melanie Ott,"viral context plus mechanism/resource terms: viral, sars, interactome, interaction",normalized,10282,relevant,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, interaction",viral;sars-cov-2;sars,sars-cov-2;sars,interaction;interactome;replication,virus;viral;influenza;coronavirus;sars-cov-2;sars;covid-19;hiv,pathway;pathways;interaction;interactions;interactome;protein interaction;proteomics;crispr;restriction factor;replication;alveolar;epithelial,,cancer;tumor,bacterial;streptococcus,,inhibitor,"n cellular NAD levels. NAD is a necessary co-substrate, and SIRT5 activity is highly correlated with cellular NAD levels. In cells, most NAD is synthesized through the NAD salvage pathway [ 35 ]. Treating cells with the NAMPT inhibitor FK866 blocks the rate-limiting step in the pathway and rapidly depletes NAD levels, and supplementing cells with the NAD precursor nicotinamide mononucleotide (NMN) rescues the depletion [ 36 ] ( S1C Fig ). SIRT5 -KD cells were transfected for 24 hours with Nsp14"
pmid-40339581,40339581,current-program,2025,The recency and geographical origins of the bat viruses ancestral to SARS-CoV and SARS-CoV-2.,,,candidate relevance plus virus/pathogen/assay support,cached_normalized,10180,relevant,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, virus, viral, sars-cov-2, sars",virus;viral;sars-cov-2;sars,sars-cov-2;sars,interaction;interactions,virus;viral;sars-cov-2;sars,interaction;interactions,,,,,,
pmid-33464917,33464917,hpmi,2021,Proteomic Approaches to Study SARS-CoV-2 Biology and COVID-19 Pathology.,HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,10019,relevant,"virus-focused title/abstract plus weaker cross-virus framing in body: species barriers, coronavirus, sars-cov-2, sars, covid-19, pathway",virus;viral;coronavirus;sars-cov-2;sars;covid-19,coronavirus;sars-cov-2;sars;covid-19,pathway;pathways;interaction;protein interaction;replication,virus;viral;influenza;coronavirus;sars-cov-2;sars;covid-19;hiv;zika;ebola;hepatitis b virus,host factor;host factors;host response;pathway;pathways;interaction;interactions;interactome;protein interaction;proteomics;transcriptomics;screen;dependency;restriction factor;replication;alveolar;network,species barriers,cancer;kidney,bacterial;candida,,,"gh identification of conserved virus-host interactions across different coronavirus species, host factors that increase or mitigate pathogenicity, severity, infectivity, and cross-species barriers could be identified. These data would be a starting point for designing pan-Coronavirus treatment strategies. During infection a complicated battle takes place wherein viruses must simultaneously rewire cellular pathways they need for replication while evading the host cell’s innate immune defenses. Pe"
pmid-36519174,36519174,pi-backlog,2022,Interaction between chicken TRIM25 and MDA5 and their role in mediated antiviral activity against IBDV infection.,SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: virus, viral, pathway, interaction",normalized,9834,relevant,"viral context plus mechanism-rich title/abstract: virus, viral, pathway, interaction, replication",virus;viral,,pathway;interaction;replication,virus;viral;influenza;coronavirus,pathway;pathways;interaction;interactions;crispr;restriction factor;replication;macrophage,,cancer,,,,"tightly regulated to prevent undesirable activation on uninfected cells, as well as exacerbated responses and excessive inflammation during infection. Therefore, immune signaling pathways are highly regulated by numerous positive and negative interactions, many of which are targeted by viral proteins in order to facilitate virus replication. Innate immunity is characterized by the expression of type I interferons (IFNs) and other pro-inflammatory cytokines, which are produced when host pattern"
pmid-33654293,33654293,current-program,2021,Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics.,,,candidate relevance plus virus/pathogen/assay support,normalized,9516,relevant,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, covid-19, viral, sars-cov-2, sars",viral;sars-cov-2;sars;covid-19,sars-cov-2;sars;covid-19,pathway;pathways;macrophage;alveolar;epithelial,virus;viral;coronavirus;sars-cov-2;sars;covid-19,pathway;pathways;interaction;interactions;screen;macrophage;alveolar;epithelial;network,,cancer;ovarian;prostate;kidney,,,,"from different cell types in one tissue; cell programs distinguish double positive cells from the rest of the cells of the same type ( Methods ). Tissue programs were enriched in pathways related to viral infection and immune response, including phagosome structure, antigen processing and presentation, and apoptosis ( Fig. 4a , b , Supplementary Fig. 11a , b for selected genes, Supplementary Tables 7 - 10 ). These include CEACAM5 (lung, nasal, gut programs) and CEACAM6 42 (lung), surface attach"
pmid-35018374,35018374,pi-backlog,2022,SIRT5 is a proviral factor that interacts with SARS-CoV-2 Nsp14 protein.,HPMI,Melanie Ott,"viral context plus mechanism/resource terms: viral, sars, interactome, interaction",normalized,9503,relevant,"viral context plus mechanism-rich title/abstract: sars-cov-2, sars, viral, sars-cov-2, sars, interaction",viral;sars-cov-2;sars,sars-cov-2;sars,interaction;interactome;replication,virus;viral;influenza;coronavirus;sars-cov-2;sars;covid-19;hiv,pathway;pathways;interaction;interactions;interactome;protein interaction;proteomics;crispr;restriction factor;replication;alveolar;epithelial,,cancer;tumor,bacterial;streptococcus,,inhibitor,"n cellular NAD levels. NAD is a necessary co-substrate, and SIRT5 activity is highly correlated with cellular NAD levels. In cells, most NAD is synthesized through the NAD salvage pathway ( 35 ). Treating cells with the NAMPT inhibitor FK866 blocks the rate-limiting step in the pathway and rapidly depletes NAD levels, and supplementing cells with the NAD precursor nicotinamide mononucleotide (NMN) rescues the depletion ( 36 ) ( Supplementary Fig. S1B ). Sirt5 -KD cells were transfected for 24 ho"
pmid-32084337,32084337,hpmi,2020,A Quantitative Genetic Interaction Map of HIV Infection.,HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,9493,relevant,explicit cross-virus/shared-host full-text language: pan-viral,viral;hiv,hiv,pathway;pathways;interaction;dependency,virus;viral;influenza;hiv,host factor;host factors;pathway;pathways;interaction;interactions;protein interaction;proteomics;screen;dependency;restriction factor;replication;epithelial;network,pan-viral,,bacterial;candida,,,"ound that CNOT1 knockdown upregulates ISG15 and IFIT1 in A549 lung epithelial cells, and reduces spreading infection of influenza-A, suggesting that depletion of CNOT1 may cause a pan-viral restriction of infection ( Figure S6 ). We hypothesized that the reduction of HIV infection accompanying knockout of CNOT1, 10 or 11 resulted from upregulation of ISGs. To identify which ISGs mediate this function, we targeted each of the top 30 genes upregulated by CNOT10 knockout (FDR < 0.01) with 3 guide"
pmid-31253590,31253590,hpmi,2019,ARIH2 Is a Vif-Dependent Regulator of CUL5-Mediated APOBEC3G Degradation in HIV Infection.,HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,9434,relevant,"viral context plus mechanism-rich title/abstract: hiv, viral, hiv, proteomics, restriction factor",viral;hiv,hiv,proteomics;restriction factor,virus;viral;hiv,host factor;host factors;host response;pathway;interaction;interactions;interactome;protein interaction;proteomics;screen;crispr;restriction factor;replication;macrophage;network,,,candida,,,"with ARIH1 and ARIH2 for substrates of the CUL2 Vif/CBFß and CUL5 Vif/CBFß E3 ligases, respectively. To investigate the potential impact on HIV infection of the four Vif-dependent host factors identified here, ARIH1, ARIH2, ALIX or DCAF11, we selected them for further functional validation. To functionally validate the potential importance of Vif-dependent host factors, we used a recently developed platform for CRISPR-Cas9 genome engineering in primary CD4+ T cells ( Hultquist et al., 2019 ; 201"
pmid-34942634,34942634,hpmi,2022,Evolution of enhanced innate immune evasion by SARS-CoV-2.,HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,9363,relevant,"virus-focused title/abstract plus weaker cross-virus framing in body: host adaptation, sars-cov-2, sars, interaction, proteomics, immune evasion",viral;sars-cov-2;sars,sars-cov-2;sars,interaction;proteomics;immune evasion;replication;epithelial,virus;viral;coronavirus;sars-cov-2;sars;covid-19;hiv,host response;pathway;pathways;interaction;interactions;proteomics;immune evasion;replication;epithelial;network,host adaptation,,,,,"oes Alpha express more Orf9b early in infection, but it may also be regulated more effectively by unknown host kinases to manipulate host innate immunity, consistent with enhanced host adaptation by Alpha. Our data reveal that changes outside the spike protein—including noncoding changes—are important in SARS-CoV-2 adaptation through influencing sgRNA and protein expression. For Alpha, we discovered an upregulation of key viral innate antagonists, Orf9b, Orf6 and N, leading to enhanced innate im"
pmid-41091914,41091914,current-program,2025,An intramuscular prime and mucosal boost vaccine regimen protects against lethal clade 2.3.4.4b H5N1 challenge in cynomolgus macaques.,CViSB,Kristian Andersen;Ryan McNamara,candidate relevance plus virus/pathogen/assay support,cached_normalized,9281,relevant,"viral context plus mechanism-rich title/abstract: influenza, h5n1, virus, viral, influenza, replication",virus;viral;influenza,influenza;h5n1,replication;alveolar,virus;viral;influenza;coronavirus;sars-cov-2;sars,screen;replication;macrophage;alveolar;network,,tumor;kidney,,,,"20 min. Reactions were stopped with excess EDTA. C3 deposition was quantified through anti-C3 FITC (MP Biomedicals, no. MP0855385). Flow cytometry was done on the Intellicyt iQue Screener PLUS (Intellicyt/Sartorius, no. 11811) and analyzed using Intellicyt Fore-Cyt version 8.1. Data were exported as .csv files and analyzed using R Studio version 7.0. Viral RNA was monitored by an RT-PCR assay targeting the H5N1 nucleocapsid. RNA was isolated using the Qiagen MinElute virus spin kit and eluted i"
pmid-34556855,34556855,hpmi,2021,Restriction factor compendium for influenza A virus reveals a mechanism for evasion of autophagy.,HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,8919,relevant,"virus-focused title/abstract plus weaker cross-virus framing in body: broad-spectrum, influenza, interaction, proteomics, transcriptomics, screen",virus;viral;influenza,influenza,interaction;proteomics;transcriptomics;screen;restriction factor;replication,virus;viral;influenza;coronavirus;sars-cov-2;sars;zika,host factor;host factors;pathway;pathways;interaction;interactions;protein interaction;proteomics;transcriptomics;screen;crispr;dependency;restriction factor;replication;macrophage;epithelial;network,broad-spectrum,,legionella;bacterial;salmonella;pneumophila,,,"ular circuit probably represents a convergent evolutionary evasion strategy. Therefore, therapeutic targeting of this mechanism may be an important strategy for the development of broad-spectrum antivirals that act to restore lysosomal degradation of viral cargo. A549 (ATCC CCL-185), MDCK (ATCC CCL-34), HEK293T (ATCC CRL-3216) and MEF (ATCC CRL-2991) cells were cultured in DMEM (Fisher Scientific) supplemented with 10% FBS (Gibco), 1 mM sodium pyruvate (Life Technologies), 2 mM l -glutamine (Fis"
pmid-34986351,34986351,current-program,2022,Ebola virus delta peptide is an enterotoxin.,CViSB,Robert Garry,candidate relevance plus virus/pathogen/assay support,normalized,8781,relevant,"viral context plus mechanism-rich title/abstract: ebola, virus, ebola, pathway, pathways",virus;ebola,ebola,pathway;pathways,virus;viral;influenza;ebola,pathway;pathways;interaction;interactions;transcriptomics;replication;epithelial,,,bacterial,,,"peptide-treated tissues 9 h after treatment. Of the 3,320 gene sets in the analysis, 357 are upregulated at 9 h, using a false discovery rate cutoff 0.05. Only three mitochondrial pathways are downregulated in treated tissues at FDR %0.05. Over 70% of upregulated gene sets belong to three broad categories: (i) immune system and damage responses, (ii) growth and differentiation, and (iii) nucleotide, ribosome, and chromatin biochemistry, each with the proportions shown in Figure 5D . Example GSEA"
pmid-35632848,35632848,pi-backlog,2022,"Type I and Type II Interferon Antagonism Strategies Used by Paramyxoviridae: Previous and New Discoveries, in Comparison.",SYBIL,Adolfo Garcia-Sastre,"viral context plus mechanism/resource terms: viral, pathway",normalized,8710,relevant,"viral context plus mechanism-rich title/abstract: virus, viral, pathway, replication",virus;viral,,pathway;replication,virus;viral;influenza,host factor;host factors;pathway;pathways;interaction;interactions;replication;macrophage,,tumor,,,,"and the other with TRIM25 SPRY domain, in this way preventing TRIM25 mediated ubiquitination of RIG-I interrupting the downstream RIG-I mediated signaling. The discoveries of new host factors that regulate interferon activation have facilitated additional discoveries in how viruses have developed in parallel strategies to subvert these factors. This is true in the case of the recent discovery of de-phosphorylation and activation of RIG-I and MDA5 by PP1α/γ. MeV and NiV keep RIG-I and MDA5 in a"
pmid-42258748,42258748,current-program,2026,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,CViSB,Donald S Grant;Richard Wunderink,candidate relevance plus virus/pathogen/assay support,cached_normalized,8699,relevant,"viral context plus mechanism-rich title/abstract: influenza, sars-cov-2, sars, covid-19, viral, influenza",viral;influenza;sars-cov-2;sars;covid-19,influenza;sars-cov-2;sars;covid-19,host response;proteomics;alveolar,virus;viral;influenza;sars-cov-2;sars;covid-19;hiv,host response;pathway;pathways;interaction;interactions;proteomics;screen;macrophage;alveolar;network,,tumor;kidney;diabetes,legionella;bacterial;fungal;staphylococcus;streptococcus;pneumophila,,,"Figure 1E ). Hierarchical clustering identified 12 protein modules (6 bacterial pneumonia–specific, 3 COVID-19–specific, 3 influenza-specific), which we further interrogated using pathway analysis. Proteins belonging to the bacterial pneumonia–specific modules were enriched, among other biological processes, in neutrophil degranulation (module B2), signaling by Rho GTPases (module B4), and respiratory electron transport (module B3) ( Figure 1F , Supplemental Figure 1C , and Supplemental Table 2"
pmid-30550789,30550789,hpmi,2018,Protein Interaction Mapping Identifies RBBP6 as a Negative Regulator of Ebola Virus Replication.,HPMI,,candidate relevance plus virus/pathogen/assay support,normalized,8659,relevant,"viral context plus mechanism-rich title/abstract: ebola, virus, viral, ebola, pathway, pathways",virus;viral;ebola,ebola,pathway;pathways;interaction;protein interaction;replication,virus;viral;influenza;hiv;ebola,host factor;host factors;pathway;pathways;interaction;interactions;interactome;protein interaction;screen;replication;macrophage;network,,kidney,bacterial,,,"nock-down may increase EBOV infection. To test this hypothesis, HeLa cells were transfected with siRNAs targeting RBBP6, alongside a scrambled siRNA and an siRNA targeting NPC1, a host factor essential for EBOV entry ( Miller et al., 2012 ). These cells were challenged with EBOV containing an EGFP reporter, and infected cells were quantified by microscopy 24 hours later. As expected, NPC1 knock-down inhibited infection relative to the mock transfected and scrambled siRNA treated controls ( Figur"
