paper_id,pmid,priority_bucket,reuse_value,pathway_relevance,source_collection,center,pi_candidates,title,viruses,host_systems,assay_types,dataset_accessions,resource_types,resource_links
pmid-34556855,34556855,tier_1,medium,high,hpmi,HPMI,,Restriction factor compendium for influenza A virus reveals a mechanism for evasion of autophagy.,influenza_a,A549_cells;HEK293T_cells;macrophages;human_lung_tissue;airway_epithelium;mice;human_patients,AP-MS_interactome;proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,,NDEx,ndexbio.org/#/network/275bd84e-3d18-11e8-a935-0ac135e8bacf
pmid-34031651,34031651,tier_1,medium,high,hpmi,HPMI,,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.",sars_cov_2;coronavirus_general,HEK293T_cells;Vero_E6_cells;mice;bat_cells_or_hosts,AP-MS_interactome;proximity_labeling;proteomics;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,,GitHub,github.com/kroganlab/mist
pmid-34013269,34013269,tier_1,medium,high,hpmi,HPMI,,"CryoEM and AI reveal a structure of SARS-CoV-2 Nsp2, a multifunctional protein involved in key host processes.",sars_cov_2;coronavirus_general,HEK293T_cells;Vero_E6_cells;mice;bat_cells_or_hosts,AP-MS_interactome;proximity_labeling;proteomics;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,,GitHub,github.com/kroganlab/mist
pmid-42258748,42258748,tier_1,high,medium,current-program,CViSB,Donald S Grant;Richard Wunderink,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,sars_cov_2,PBMCs;macrophages;human_lung_tissue;mice;human_patients,proteomics;transcriptomics;single_cell;network_analysis;imaging,PRIDE:PXD051341;PRIDE:PXD051948;PRIDE:PXD051982;ArrayExpress:E-MTAB-10026,GitHub,github.com/MarieOestreich/hCoCena;github.com/schillerlab/2025_AnnaSemenova_Autoantibody
pmid-41646792,41646792,tier_1,high,medium,current-program,SCRIPT,Richard Wunderink,Longitudinal clinical proteomics reveals pneumonia type-specific protein biomarkers and autoantibodies.,sars_cov_2,PBMCs;macrophages;human_lung_tissue;mice;human_patients,proteomics;transcriptomics;single_cell;network_analysis;imaging,PRIDE:PXD051341;PRIDE:PXD051948;PRIDE:PXD051982;ArrayExpress:E-MTAB-10026,GitHub,github.com/MarieOestreich/hCoCena;github.com/schillerlab/2025_AnnaSemenova_Autoantibody
pmid-35337019,35337019,tier_1,high,medium,hpmi,HPMI,,A BioID-Derived Proximity Interactome for SARS-CoV-2 Proteins.,sars_cov_2;coronavirus_general,A549_cells;human_lung_tissue;mice;human_patients,proximity_labeling;proteomics;protein_interaction_mapping;network_analysis;genetic_perturbation,PRIDE:PXD029207;MassIVE:MSV000088245,NDEx,ndexbio.org/viewer/networks/275bd84e-3d18-11e8-a935-0ac135e8bacf
pmid-34986351,34986351,tier_1,high,medium,current-program,CViSB,Robert Garry,Ebola virus delta peptide is an enterotoxin.,ebola,Vero_E6_cells;organoids;mice;rhesus_macaques;human_patients,proteomics;transcriptomics;imaging,GEO:GSE189787,,
pmid-34225493,34225493,tier_1,high,medium,pi-backlog,SYBIL,Adolfo Garcia-Sastre,Expression of the Ebola Virus VP24 Protein Compromises the Integrity of the Nuclear Envelope and Induces a Laminopathy-Like Cellular Phenotype.,ebola,A549_cells;Huh7_cells;Vero_E6_cells;macrophages,proteomics;transcriptomics;protein_interaction_mapping,GEO:GSE155936,,
pmid-33654293,33654293,tier_1,high,medium,current-program,,,Single-cell meta-analysis of SARS-CoV-2 entry genes across tissues and demographics.,sars_cov_2,PBMCs;macrophages;human_lung_tissue;airway_epithelium;mice;human_patients,transcriptomics;single_cell;network_analysis,GEO:GSE109743;Single_Cell_Portal:SCP1257,GitHub,github.com/lilab-bcb/harmony-pytorch;github.com/theislab/diffxpy;github.com/timoast/signac
pmid-32720752,32720752,tier_1,high,medium,current-program,,,Impaired phagocytic function in CX3CR1(+) tissue-resident skeletal muscle macrophages prevents muscle recovery after influenza A virus-induced pneumonia in old mice.,influenza_a,macrophages;mice;human_patients,transcriptomics;CRISPR_screen;imaging,GEO:GSE142580,,
pmid-32645325,32645325,tier_1,high,medium,hpmi,HPMI,,The Global Phosphorylation Landscape of SARS-CoV-2 Infection.,sars_cov_2;coronavirus_general,A549_cells;Calu-3_cells;HEK293T_cells;Vero_E6_cells;NHBE_cells;human_lung_tissue;mice;bat_cells_or_hosts;human_patients,proteomics;phosphoproteomics;transcriptomics;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,GEO:GSE147507;PRIDE:PXD019113,,
pmid-42134328,42134328,tier_1,high,high,hpmi,HPMI,,Coronavirus protein interaction mapping in bat and human cells reveals network rewiring governing immune evasion and zoonotic potential.,sars_cov_2;coronavirus_general,HEK293T_cells;Vero_E6_cells;human_lung_tissue;organoids;mice;bat_cells_or_hosts,AP-MS_interactome;proteomics;transcriptomics;protein_interaction_mapping;network_analysis;imaging,GEO:GSE302357;PRIDE:PXD065873,GitHub,github.com/kroganlab/mist
pmid-42013838,42013838,tier_1,high,high,pi-backlog,HPMI,Andrej Sali,Systematic discovery of pro- and anti-HIV host factors in primary human CD4+ T cells.,hiv,HEK293T_cells;primary_CD4_T_cells;PBMCs;macrophages;mice,proteomics;transcriptomics;single_cell;CRISPR_screen;network_analysis;imaging;genetic_perturbation,GEO:GSE318876;PRIDE:PXD071892,Figshare,figshare.com/articles/dataset/Tabula_Sapiens_release_1_0/14267219
pmid-36197970,36197970,tier_1,high,high,pi-backlog,SYBIL,Adolfo Garcia-Sastre,"Common and species-specific molecular signatures, networks, and regulators of influenza virus infection in mice, ferrets, and humans.",influenza_a,A549_cells;HEK293T_cells;PBMCs;macrophages;human_lung_tissue;mice;ferrets;human_patients,transcriptomics;network_analysis;genetic_perturbation,GEO:GSE40012;GEO:GSE89008;GEO:GSE97672;GEO:GSE98527,Synapse,synapse.org/fludynemo
pmid-33730579,33730579,tier_1,high,high,pi-backlog,HPMI,Melanie Ott,A genome-wide CRISPR screen identifies UFMylation and TRAMP-like complexes as host factors required for hepatitis A virus infection.,hepatitis_a,Huh7_cells;organoids;mice,single_cell;CRISPR_screen;imaging,ArrayExpress:E-MTAB-8646,,
pmid-33333024,33333024,tier_1,high,high,hpmi,HPMI,,Genetic Screens Identify Host Factors for SARS-CoV-2 and Common Cold Coronaviruses.,sars_cov_2;coronavirus_general,A549_cells;Calu-3_cells;Huh7_cells;Vero_E6_cells;mice;human_patients,proteomics;single_cell;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging,ArrayExpress:E-MTAB-9638,,
pmid-33060197,33060197,tier_1,high,high,hpmi,HPMI,,Comparative host-coronavirus protein interaction networks reveal pan-viral disease mechanisms.,sars_cov_2;sars_cov_1;mers_cov;coronavirus_general,A549_cells;HEK293T_cells;Vero_E6_cells;mice;human_patients,AP-MS_interactome;proteomics;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,SRA:SRP0675;PRIDE:PXD021588,GitHub,github.com/hillerlab/TOGA;github.com/kroganlab/mist
pmid-32511329,32511329,tier_1,high,high,hpmi,HPMI,,A SARS-CoV-2-Human Protein-Protein Interaction Map Reveals Drug Targets and Potential Drug-Repurposing.,sars_cov_2;coronavirus_general,HEK293T_cells;human_lung_tissue;bat_cells_or_hosts;human_patients,AP-MS_interactome;proteomics;protein_interaction_mapping;network_analysis,PRIDE:PXD018117,GitHub,github.com/momeara/BioChemPantry/vignette/COVID19
pmid-32415096,32415096,tier_1,high,high,pi-backlog,SYBIL,Sumit Chanda,mRNA display with library of even-distribution reveals cellular interactors of influenza virus NS1.,influenza_a,A549_cells;HEK293T_cells;PBMCs,AP-MS_interactome;proximity_labeling;proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;network_analysis,PRIDE:PXD000418,,
pmid-32353859,32353859,tier_1,high,high,hpmi,HPMI,,A SARS-CoV-2 protein interaction map reveals targets for drug repurposing.,sars_cov_2;coronavirus_general,HEK293T_cells;Vero_E6_cells;human_lung_tissue;bat_cells_or_hosts;human_patients,AP-MS_interactome;proteomics;protein_interaction_mapping;network_analysis;imaging,PRIDE:PXD018117,GitHub,github.com/kroganlab/mist;github.com/momeara/BioChemPantry/tree/master/vignette/COVID19
pmid-32084337,32084337,tier_1,high,high,hpmi,HPMI,,A Quantitative Genetic Interaction Map of HIV Infection.,hiv,A549_cells;HEK293T_cells;human_patients,proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,GEO:GSE144142,,
pmid-31375585,31375585,tier_1,high,high,pi-backlog,SYBIL,Adolfo Garcia-Sastre,Innate Immune Response to Influenza Virus at Single-Cell Resolution in Human Epithelial Cells Revealed Paracrine Induction of Interferon Lambda 1.,influenza_a,A549_cells;HEK293T_cells;NHBE_cells;airway_epithelium;mice;ferrets,single_cell;protein_interaction_mapping;imaging,GEO:GSE122031,,
pmid-31253590,31253590,tier_1,high,high,hpmi,HPMI,,ARIH2 Is a Vif-Dependent Regulator of CUL5-Mediated APOBEC3G Degradation in HIV Infection.,hiv,HEK293T_cells;primary_CD4_T_cells;macrophages,AP-MS_interactome;proteomics;CRISPR_screen;protein_interaction_mapping;network_analysis,PRIDE:PXD009012,,
pmid-30833725,30833725,tier_1,high,high,hpmi,HPMI,,Identification of antiviral roles for the exon-junction complex and nonsense-mediated decay in flaviviral infection.,dengue;zika;flavivirus_general,mice,AP-MS_interactome;proteomics;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,PRIDE:PXD011728,,
pmid-30550790,30550790,tier_1,high,high,hpmi,HPMI,,Comparative Flavivirus-Host Protein Interaction Mapping Reveals Mechanisms of Dengue and Zika Virus Pathogenesis.,dengue;zika;flavivirus_general,A549_cells;HEK293T_cells;Huh7_cells;mice,AP-MS_interactome;proteomics;transcriptomics;CRISPR_screen;protein_interaction_mapping;network_analysis;imaging;genetic_perturbation,GEO:GSE110511;GEO:GSE110512;GEO:GSE118686,,
pmid-37901225,37901225,tier_2,high,low,current-program,,,Hypercapnia increases ACE2 expression and pseudo-SARS-CoV-2 entry in bronchial epithelial cells by augmenting cellular cholesterol.,influenza_a;sars_cov_2;coronavirus_general,Vero_E6_cells;macrophages;human_lung_tissue;airway_epithelium;mice;human_patients,transcriptomics;single_cell;imaging,GEO:GSE110362,,
pmid-35291294,35291294,tier_2,high,low,pi-backlog,HPMI,Nevan Krogan,Low expression of EXOSC2 protects against clinical COVID-19 and impedes SARS-CoV-2 replication.,sars_cov_2,Calu-3_cells;HEK293T_cells;Vero_E6_cells;human_lung_tissue;human_patients,proteomics;CRISPR_screen;genetic_perturbation,PRIDE:PXD031611,,
pmid-33979618,33979618,tier_2,high,low,hpmi,HPMI,,Efficient generation of isogenic primary human myeloid cells using CRISPR-Cas9 ribonucleoproteins.,hiv,HEK293T_cells;PBMCs;macrophages;mice,transcriptomics;CRISPR_screen;imaging;genetic_perturbation,BioProject:PRJNA684421,,
